"노원구","월계3동",한국인,809
"노원구","공릉2동",한국인,1198
"노원구","하계1동",한국인,374
"노원구","하계2동",한국인,419
"노원구","중계본동",한국인,265
"노원구","중계1동",한국인,329
"노원구","중계4동",한국인,276
"노원구","상계1동",한국인,712
"노원구","상계2동",한국인,256
"노원구","상계5동",한국인,351
"노원구","상계8동",한국인,1023
"노원구","상계9동",한국인,460
"노원구","상계10동",한국인,558
"노원구","상계3.4동",한국인,572
"노원구","상계6.7동",한국인,824
"노원구","중계2.3동",한국인,624
"노원구","공릉1동",한국인,599
"은평구","소계",한국인,10135
"은평구","녹번동",한국인,981
"은평구","불광1동",한국인,840
"은평구","갈현1동",한국인,192
"은평구","갈현2동",한국인,389
"은평구","구산동",한국인,494
"은평구","대조동",한국인,389
"은평구","응암1동",한국인,939
"은평구","응암2동",한국인,1162
"은평구","신사1동",한국인,493
"은평구","신사2동",한국인,342
"은평구","증산동",한국인,517
"은평구","수색동",한국인,898
"은평구","진관동",한국인,1155
"은평구","불광2동",한국인,308
"은평구","응암3동",한국인,325
"은평구","역촌동",한국인,711
"서대문구","소계",한국인,7339
"서대문구","천연동",한국인,463
"서대문구","홍제1동",한국인,662
"서대문구","홍제3동",한국인,456
"서대문구","홍제2동",한국인,306
"서대문구","홍은1동",한국인,546
"서대문구","홍은2동",한국인,597
"서대문구","남가좌1동",한국인,678
"서대문구","남가좌2동",한국인,926
"서대문구","북가좌1동",한국인,447
"서대문구","북가좌2동",한국인,500
"서대문구","충현동",한국인,409
"서대문구","북아현동",한국인,593
"서대문구","신촌동",한국인,250
"서대문구","연희동",한국인,506
"마포구","소계",한국인,8692
"마포구","용강동",한국인,643
"마포구","대흥동",한국인,241
"마포구","염리동",한국인,472
"마포구","신수동",한국인,649
"마포구","서교동",한국인,301
"마포구","합정동",한국인,326
"마포구","망원1동",한국인,325
"마포구","망원2동",한국인,325
"마포구","연남동",한국인,210
"마포구","성산1동",한국인,266
"마포구","성산2동",한국인,816
"마포구","상암동",한국인,648
"마포구","도화동",한국인,584
"마포구","서강동",한국인,650
"마포구","공덕동",한국인,871
"마포구","아현동",한국인,1365
"양천구","소계",한국인,8991
"양천구","목1동",한국인,588
"양천구","목2동",한국인,562
"양천구","목3동",한국인,531
"양천구","목4동",한국인,316
"양천구","신월1동",한국인,294
"양천구","신월2동",한국인,512
"양천구","신월3동",한국인,293
"양천구","신월4동",한국인,431
"양천구","신월5동",한국인,280
"양천구","신월6동",한국인,634
"양천구","신월7동",한국인,370
"양천구","신정1동",한국인,379
"양천구","신정2동",한국인,243
"양천구","신정3동",한국인,1294
"양천구","신정6동",한국인,511
"양천구","신정7동",한국인,579
"양천구","목5동",한국인,711
"양천구","신정4동",한국인,463
"강서구","소계",한국인,13345
"강서구","염창동",한국인,1462
"강서구","등촌1동",한국인,689
