상세영업상태명,지번주소,도로명주소,도로명우편번호,사업장명,좌표정보(X),좌표정보(Y)
폐업,서울특별시 광진구 자양동 12-28번지 ,서울특별시 광진구 동일로18길 32  (자양동),,게임뱅크,205633.7735,448584.1403
허가취소,서울특별시 광진구 중곡동 164-1번지 ,서울특별시 광진구 능동로 373  (중곡동),,최신오락,207198.94,451163.7018
폐업,서울특별시 광진구 자양동 50-19번지 ,서울특별시 광진구 뚝섬로30가길 15  (자양동),,만득이동네,205714.2843,448094.1424
폐업,서울특별시 광진구 화양동 124-2번지 ,서울특별시 광진구 군자로6길 11  (화양동),,스마일,206226.4515,449298.553
폐업,서울특별시 광진구 구의동 246-16번지 ,서울특별시 광진구 자양로18길 6  (구의동),,게임빌리지,207355.378,448341.8927
폐업,서울특별시 광진구 자양동 637-0번지 ,서울특별시 광진구 뚝섬로52길 13  (자양동),,목화오락실,206953.0818,447676.267
폐업,서울특별시 광진구 중곡동 169-21번지 ,서울특별시 광진구 면목로 172  (중곡동),,성동,207250.834,451800.0099
폐업,서울특별시 광진구 중곡동 158-28번지 ,서울특별시 광진구 능동로40길 8  (중곡동),,중곡,207048.7393,450651.7848
폐업,서울특별시 광진구 자양동 78-40번지 ,서울특별시 광진구 능동로3가길 4  (자양동),,우주,205766.2145,447936.1732
폐업,서울특별시 광진구 자양동 679-25번지 ,서울특별시 광진구 뚝섬로 678  (자양동),,써니,207422.4896,447752.2942
폐업,서울특별시 광진구 구의동 200-21번지 ,서울특별시 광진구 아차산로 475  (구의동),,환타지아게임랜드,208284.2233,448712.7383
허가취소,서울특별시 광진구 중곡동 637-3번지 ,서울특별시 광진구 천호대로105길 6  (중곡동),,영재,206648.9672,450752.2543
폐업,서울특별시 광진구 자양동 9-12번지 ,서울특별시 광진구 동일로18길 73  (자양동),,사이버게임랜드,205835.767,448525.3189
폐업,서울특별시 광진구 자양동 11-4번지 ,서울특별시 광진구 동일로18길 62  (자양동),,까치,205766.9237,448521.3553
폐업,서울특별시 광진구 자양동 48-53번지 ,서울특별시 광진구 뚝섬로32길 33  (자양동),,피노키오,205840.7183,447982.5339
폐업,서울특별시 광진구 군자동 469-11번지 ,서울특별시 광진구 면목로 29-1  (군자동),,가야,206655.0128,450514.9219
폐업,서울특별시 광진구 중곡동 639-22번지 ,서울특별시 광진구 능동로37길 39  (중곡동),,우리,206798.3312,450705.2658
폐업,서울특별시 광진구 자양동 16-37번지 ,서울특별시 광진구 동일로18길 23  (자양동),,성수게임마당,205616.2586,448617.1819
폐업,서울특별시 광진구 자양동 629-40번지 ,서울특별시 광진구 자양로9길 30  (자양동),,21세기,207249.4717,447933.1541
