상세영업상태명,지번주소,도로명주소,도로명우편번호,사업장명,좌표정보(X),좌표정보(Y),제공게임물명
직권말소,서울특별시 광진구 구의동 251-148번지 ,서울특별시 광진구 아차산로51길 99 (구의동),,유앤아이구의점,207470.3302,448793.5617,
직권말소,서울특별시 광진구 화양동 10-9,서울특별시 광진구 아차산로31길 37 (화양동),,영화한편 (현장조사 2014-04-14 무단폐업),206109.9003,448934.1244,
직권말소,서울특별시 광진구 중곡동 210-9번지 ,서울특별시 광진구 면목로 185 (중곡동),,곰비디오,207259.0228,451943.1368,
직권말소,서울특별시 광진구 중곡동 235-14,서울특별시 광진구 긴고랑로1길 41 (중곡동),,에덴비디오 (현장조사 2014-05-07 무단폐업),206831.8851,451510.719,
직권말소,서울특별시 광진구 중곡동 607-3번지 ,서울특별시 광진구 용마산로 191 (중곡동),,쇼비디오쟈키,207522.1735,452055.1613,
직권말소,서울특별시 광진구 자양동 652-15번지 ,서울특별시 광진구 뚝섬로 650 (자양동),,비디오와책,207155.6203,447677.5565,
직권말소,서울특별시 광진구 중곡동 33-34번지 ,서울특별시 광진구 능동로48길 29 (중곡동),,명작비디오,207374.4053,451131.689,
직권말소,서울특별시 광진구 중곡동 150-236번지 ,서울특별시 광진구 용마산로7길 60 (중곡동),,원비디오,207405.0732,450872.994,
직권말소,서울특별시 광진구 중곡동 193-1,서울특별시 광진구 능동로51길 37 (중곡동),,선경비디오 (현장조사 2014-05-07 무단폐업),207189.7263,451558.9058,
직권말소,서울특별시 광진구 광장동 288-17번지 ,서울특별시 광진구 광장로 64 (광장동),,현대비디오,209141.1263,449446.8792,
직권말소,서울특별시 광진구 중곡동 613-12번지 ,서울특별시 광진구 천호대로101길 21 (중곡동),,허리우드비디오,206550.0406,450879.6219,
폐업,서울특별시 광진구 자양동 36-457번지 ,,,판도라비디오,,,
직권말소,서울특별시 광진구 능동 232-19번지 ,서울특별시 광진구 능동로32길 48 (능동),,금다래비디오,207089.7587,450235.2964,
직권말소,서울특별시 광진구 화양동 200-3번지 ,,,다래비디오,,,
폐업,서울특별시 광진구 중곡동 77-30번지 ,서울특별시 광진구 긴고랑로 134  (중곡동),,양지비디오,207861.6722,450734.0021,
직권말소,서울특별시 광진구 구의동 222-64번지 ,서울특별시 광진구 광나루로40길 73 (구의동),,영화혁명,207790.8795,448807.4355,
직권말소,서울특별시 광진구 군자동 159-10번지 ,서울특별시 광진구 동일로56길 31 (군자동),,영화천국,206451.9552,450396.2583,
직권말소,서울특별시 광진구 자양동 553-360번지 ,서울특별시 광진구 뚝섬로32길 4 (자양동),,준비디오,205875.072,448127.0443,
직권말소,서울특별시 광진구 군자동 41-1,,,지구비디오 (현장조사 2014-04-21 무단폐업),206557.7644,450465.6803,
직권말소,서울특별시 광진구 중곡동 625-4번지 ,서울특별시 광진구 면목로7길 46 (중곡동),,신성비디오,206581.9557,450899.6015,
직권말소,서울특별시 광진구 중곡동 197-10번지 ,서울특별시 광진구 용마산로31길 38 (중곡동),,으뜸과버금,207337.8537,451851.4187,
직권말소,서울특별시 광진구 구의동 252-15번지 ,서울특별시 광진구 자양로 124 (구의동),,소르음악사,207316.118,448503.5046,
직권말소,서울특별시 광진구 자양동 12-6번지 ,서울특별시 광진구 동일로18길 20 (자양동),,뉴비디오,205581.7475,448607.4595,
폐업,서울특별시 광진구 군자동 346번지 ,서울특별시 광진구 군자로11길 9  (군자동),,송정비디오,206162.7431,449832.6606,
폐업,서울특별시 광진구 중곡동 58-6번지 ,서울특별시 광진구 용마산로8길 11  (중곡동),,명상비디오,207727.9607,450837.0867,
직권말소,서울특별시 광진구 구의동 27-9,서울특별시 광진구 영화사로 72 (구의동),,뉴비디오 (현장조사 2014-04-23 무단폐업),208228.6057,450245.0879,
