"동별(1)","동별(2)",항목,2023 4/4,2023 4/4
"노원구","공릉2동",한국인,1198,1693
"노원구","하계1동",한국인,374,493
"노원구","하계2동",한국인,419,797
"노원구","중계본동",한국인,265,864
"노원구","중계1동",한국인,329,1316
"노원구","중계4동",한국인,276,600
"노원구","상계1동",한국인,712,1076
"노원구","상계2동",한국인,256,430
"노원구","상계5동",한국인,351,489
"노원구","상계8동",한국인,1023,878
"노원구","상계9동",한국인,460,590
"노원구","상계10동",한국인,558,635
"노원구","상계3.4동",한국인,572,907
"노원구","상계6.7동",한국인,824,1059
"노원구","중계2.3동",한국인,624,896
"노원구","공릉1동",한국인,599,888
"은평구","소계",한국인,10135,14139
"은평구","녹번동",한국인,981,1133
"은평구","불광1동",한국인,840,995
"은평구","갈현1동",한국인,192,282
"은평구","갈현2동",한국인,389,719
"은평구","구산동",한국인,494,840
"은평구","대조동",한국인,389,529
"은평구","응암1동",한국인,939,1291
"은평구","응암2동",한국인,1162,1565
"은평구","신사1동",한국인,493,704
"은평구","신사2동",한국인,342,494
"은평구","증산동",한국인,517,559
"은평구","수색동",한국인,898,849
"은평구","진관동",한국인,1155,2172
"은평구","불광2동",한국인,308,476
"은평구","응암3동",한국인,325,418
"은평구","역촌동",한국인,711,1113
"서대문구","소계",한국인,7339,10184
"서대문구","천연동",한국인,463,545
"서대문구","홍제1동",한국인,662,789
"서대문구","홍제3동",한국인,456,545
"서대문구","홍제2동",한국인,306,345
"서대문구","홍은1동",한국인,546,703
"서대문구","홍은2동",한국인,597,877
"서대문구","남가좌1동",한국인,678,1274
"서대문구","남가좌2동",한국인,926,1381
"서대문구","북가좌1동",한국인,447,699
"서대문구","북가좌2동",한국인,500,677
"서대문구","충현동",한국인,409,637
"서대문구","북아현동",한국인,593,697
"서대문구","신촌동",한국인,250,216
"서대문구","연희동",한국인,506,799
"마포구","소계",한국인,8692,11936
"마포구","용강동",한국인,643,1224
"마포구","대흥동",한국인,241,328
"마포구","염리동",한국인,472,795
"마포구","신수동",한국인,649,809
"마포구","서교동",한국인,301,360
"마포구","합정동",한국인,326,322
"마포구","망원1동",한국인,325,454
"마포구","망원2동",한국인,325,497
"마포구","연남동",한국인,210,247
"마포구","성산1동",한국인,266,443
"마포구","성산2동",한국인,816,993
"마포구","상암동",한국인,648,1213
"마포구","도화동",한국인,584,711
"마포구","서강동",한국인,650,944
"마포구","공덕동",한국인,871,1029
"마포구","아현동",한국인,1365,1567
"양천구","소계",한국인,8991,16388
"양천구","목1동",한국인,588,1812
"양천구","목2동",한국인,562,743
"양천구","목3동",한국인,531,567
"양천구","목4동",한국인,316,660
"양천구","신월1동",한국인,294,400
"양천구","신월2동",한국인,512,728
"양천구","신월3동",한국인,293,348
"양천구","신월4동",한국인,431,678
"양천구","신월5동",한국인,280,414
"양천구","신월6동",한국인,634,758
"양천구","신월7동",한국인,370,412
"양천구","신정1동",한국인,379,1117
"양천구","신정2동",한국인,243,751
"양천구","신정3동",한국인,1294,1838
"양천구","신정6동",한국인,511,1230
"양천구","신정7동",한국인,579,1017
"양천구","목5동",한국인,711,2233
"양천구","신정4동",한국인,463,682
"강서구","소계",한국인,13345,17844
"강서구","염창동",한국인,1462,1974
"강서구","등촌1동",한국인,689,554
"강서구","등촌2동",한국인,442,533
"강서구","등촌3동",한국인,643,770
"강서구","화곡본동",한국인,562,858
"강서구","화곡2동",한국인,299,519
"강서구","화곡3동",한국인,392,595
"강서구","화곡4동",한국인,362,465
"강서구","화곡6동",한국인,731,649
"강서구","화곡8동",한국인,394,524
"강서구","가양1동",한국인,677,673
"강서구","가양2동",한국인,212,217
"강서구","가양3동",한국인,412,210
"강서구","발산1동",한국인,834,1483
"강서구","공항동",한국인,1063,1753
"강서구","방화1동",한국인,1231,1862
"강서구","방화2동",한국인,443,550
"강서구","방화3동",한국인,512,523
"강서구","화곡1동",한국인,929,1065
"강서구","우장산동",한국인,1056,2067
"구로구","소계",한국인,10031,12403
"구로구","신도림동",한국인,1274,1710
"구로구","구로1동",한국인,739,821
"구로구","구로3동",한국인,458,499
"구로구","구로4동",한국인,284,311
"구로구","구로5동",한국인,768,739
"구로구","고척1동",한국인,875,800
"구로구","고척2동",한국인,503,760
"구로구","개봉2동",한국인,701,938
"구로구","개봉3동",한국인,349,524
"구로구","오류1동",한국인,503,462
"구로구","수궁동",한국인,480,641
"구로구","가리봉동",한국인,78,97
"구로구","구로2동",한국인,277,337
"구로구","개봉1동",한국인,1013,939
"구로구","오류2동",한국인,794,1319
"구로구","항동",한국인,935,1506
"금천구","소계",한국인,4480,5404
"금천구","가산동",한국인,317,258
"금천구","독산1동",한국인,1464,1451
"금천구","독산2동",한국인,279,415
"금천구","독산3동",한국인,366,402
"금천구","독산4동",한국인,217,263
"금천구","시흥1동",한국인,595,801
"금천구","시흥2동",한국인,477,709
"금천구","시흥3동",한국인,159,245
"금천구","시흥4동",한국인,289,463
"금천구","시흥5동",한국인,317,397
"영등포구","소계",한국인,10377,11800
"영등포구","여의동",한국인,905,1434
"영등포구","당산1동",한국인,550,425
"영등포구","당산2동",한국인,1130,1246
"영등포구","양평1동",한국인,633,524
"영등포구","양평2동",한국인,798,676
"영등포구","신길1동",한국인,346,387
"영등포구","신길3동",한국인,444,569
"영등포구","신길4동",한국인,343,426
"영등포구","신길5동",한국인,276,379
"영등포구","신길6동",한국인,421,514
"영등포구","신길7동",한국인,780,1103
"영등포구","대림1동",한국인,311,372
"영등포구","대림2동",한국인,161,188
"영등포구","대림3동",한국인,476,459
"영등포구","영등포본동",한국인,527,616
"영등포구","영등포동",한국인,597,500
"영등포구","도림동",한국인,434,381
"영등포구","문래동",한국인,1245,1601
"동작구","소계",한국인,8463,11608
"동작구","노량진2동",한국인,82,116
"동작구","상도1동",한국인,860,1249
"동작구","상도2동",한국인,939,1197
"동작구","상도3동",한국인,368,494
"동작구","상도4동",한국인,514,667
"동작구","사당1동",한국인,279,324
"동작구","사당3동",한국인,674,1052
"동작구","사당4동",한국인,240,313
"동작구","사당5동",한국인,414,427
"동작구","대방동",한국인,557,1066
"동작구","신대방1동",한국인,497,781
"동작구","신대방2동",한국인,632,817
"동작구","흑석동",한국인,899,1360
"동작구","노량진1동",한국인,739,803
"동작구","사당2동",한국인,769,942
"관악구","소계",한국인,7080,9400
"관악구","보라매동",한국인,364,575
"관악구","청림동",한국인,521,517
"관악구","행운동",한국인,373,486
"관악구","낙성대동",한국인,207,291
"관악구","중앙동",한국인,153,184
"관악구","인헌동",한국인,390,445
"관악구","남현동",한국인,339,386
"관악구","서원동",한국인,242,253
"관악구","신원동",한국인,163,213
"관악구","서림동",한국인,234,359
"관악구","신사동",한국인,211,317
"관악구","신림동",한국인,128,128
"관악구","난향동",한국인,317,526
"관악구","조원동",한국인,360,327
"관악구","대학동",한국인,247,278
"관악구","은천동",한국인,665,913
"관악구","성현동",한국인,605,952
"관악구","청룡동",한국인,498,541
"관악구","난곡동",한국인,333,519
"관악구","삼성동",한국인,229,375
"관악구","미성동",한국인,501,815
"서초구","소계",한국인,10409,17409
"서초구","서초1동",한국인,472,649
"서초구","서초2동",한국인,826,1188
"서초구","서초3동",한국인,673,845
"서초구","서초4동",한국인,718,1748
"서초구","잠원동",한국인,595,1135
"서초구","반포본동",한국인,3,11
"서초구","반포1동",한국인,904,2009
"서초구","반포2동",한국인,780,1408
"서초구","반포3동",한국인,697,1152
"서초구","반포4동",한국인,549,876
"서초구","방배본동",한국인,364,848
"서초구","방배1동",한국인,362,572
"서초구","방배2동",한국인,401,533
"서초구","방배3동",한국인,429,644
"서초구","방배4동",한국인,461,818
"서초구","양재1동",한국인,1161,1571
"서초구","양재2동",한국인,456,527
"서초구","내곡동",한국인,558,875
"강남구","소계",한국인,12030,20975
"강남구","신사동",한국인,317,515
"강남구","개포3동",한국인,390,628
"강남구","논현1동",한국인,264,286
"강남구","논현2동",한국인,346,514
"강남구","삼성1동",한국인,261,392
"강남구","삼성2동",한국인,721,1264
"강남구","대치1동",한국인,292,1238
"강남구","대치4동",한국인,212,378
"강남구","역삼1동",한국인,424,393
"강남구","역삼2동",한국인,619,1554
"강남구","도곡1동",한국인,505,900
"강남구","도곡2동",한국인,702,1710
"강남구","개포1동",한국인,283,565
"강남구","개포4동",한국인,710,845
"강남구","일원본동",한국인,571,1183
"강남구","일원1동",한국인,252,325
"강남구","수서동",한국인,298,224
"강남구","세곡동",한국인,1518,2124
"강남구","압구정동",한국인,665,1123
"강남구","청담동",한국인,615,1044
"강남구","대치2동",한국인,614,1590
"강남구","개포2동",한국인,1451,2180
"송파구","소계",한국인,17488,25826
"송파구","풍납1동",한국인,264,279
"송파구","풍납2동",한국인,699,861
"송파구","거여1동",한국인,229,261
"송파구","거여2동",한국인,778,993
"송파구","마천1동",한국인,285,388
"송파구","마천2동",한국인,254,318
"송파구","방이1동",한국인,310,575
"송파구","방이2동",한국인,453,474
"송파구","오륜동",한국인,300,785
"송파구","오금동",한국인,904,1361
"송파구","송파1동",한국인,439,504
"송파구","송파2동",한국인,471,767
"송파구","석촌동",한국인,590,636
"송파구","삼전동",한국인,482,602
"송파구","가락본동",한국인,648,706
"송파구","가락1동",한국인,1330,1673
"송파구","가락2동",한국인,742,1297
"송파구","문정1동",한국인,471,582
"송파구","문정2동",한국인,675,772
"송파구","잠실본동",한국인,442,509
"송파구","잠실4동",한국인,721,1533
"송파구","잠실6동",한국인,443,794
"송파구","잠실7동",한국인,198,336
"송파구","잠실2동",한국인,928,2361
"송파구","잠실3동",한국인,815,1730
"송파구","장지동",한국인,905,1059
"송파구","위례동",한국인,2712,3670
"강동구","소계",한국인,12920,17972
"강동구","명일1동",한국인,918,1106
"강동구","명일2동",한국인,280,653
"강동구","고덕1동",한국인,554,1629
"강동구","고덕2동",한국인,943,1461
"강동구","암사2동",한국인,582,559
"강동구","암사3동",한국인,519,995
"강동구","천호1동",한국인,558,570
"강동구","천호3동",한국인,585,547
"강동구","성내1동",한국인,598,717
"강동구","성내2동",한국인,424,419
"강동구","성내3동",한국인,404,577
"강동구","둔촌1동",한국인,-,1
"강동구","둔촌2동",한국인,690,830
"강동구","암사1동",한국인,721,990
"강동구","천호2동",한국인,705,742
"강동구","길동",한국인,900,1110
"강동구","강일동",한국인,1461,1625
"강동구","상일1동",한국인,1552,2965
"강동구","상일2동",한국인,526,476
