상세영업상태명,지번주소,도로명주소,도로명우편번호,사업장명,업태구분명,좌표정보(X),좌표정보(Y)
영업,서울특별시 광진구 화양동 18-11 ,서울특별시 광진구 광나루로14길 5 (화양동),5008,호텔테마,여관업,206038.4211,449508.0965
폐업,"서울특별시 광진구 구의동 59-1 4,5호 ","서울특별시 광진구 천호대로 700 (구의동,4,5호)",4980,스카이,여관업,208062.2117,449642.3798
폐업,서울특별시 광진구 자양동 7-17번지 ,서울특별시 광진구 아차산로 226 (자양동),5073,재흥장여관,여관업,205981.5303,448685.2572
폐업,서울특별시 광진구 군자동 350-3번지 ,,,만년장여관,여관업,206038.8695,449844.38
폐업,서울특별시 광진구 자양동 236-90번지 ,서울특별시 광진구 뚝섬로 471-4 (자양동),5080,성춘장여관,여관업,205477.1347,448312.3038
영업,서울특별시 광진구 구의동 595-0,서울특별시 광진구 구의강변로 38 (구의동),5116,(주)동서울관광호텔,관광호텔,208051.8847,447994.8056
폐업,서울특별시 광진구 중곡동 117-8,서울특별시 광진구 용마산로 17 (중곡동),4931,귀빈장,여관업,207709.9795,450328.8239
폐업,서울특별시 광진구 화양동 23-16번지 ,,,거북장여관,여관업,205880.8671,449459.2974
영업,서울특별시 광진구 군자동 471-1 ,서울특별시 광진구 능동로35길 41 (군자동),4996,애플,여관업,206715.164,450559.9479
폐업,서울특별시 광진구 화양동 23-16번지 ,서울특별시 광진구 동일로 172-4 (화양동),,거북장,여관업,205880.8671,449459.2974
영업,서울특별시 광진구 자양동 227-342번지 더 클래식500 ,"서울특별시 광진구 능동로 90, 더 클래식500 (자양동)",5065,더클래식500펜타즈,관광호텔,206217.4347,448506.2187
영업,서울특별시 광진구 군자동 350-6,서울특별시 광진구 동일로 212 (군자동),5002,쏘타스테이 건대,관광호텔,206032.4042,449812.1678
폐업,서울특별시 광진구 중곡동 638-3번지 ,서울특별시 광진구 천호대로 521 (중곡동),4920,호텔더디자이너스건대,관광호텔,206698.8938,450714.3841
영업,"서울특별시 광진구 능동 276-1 220-1, 220-3 ",서울특별시 광진구 천호대로 560 (능동),4985,호텔부티크나인,관광호텔,207010.8716,450476.133
영업,"서울특별시 광진구 군자동 350-1 350-2, 350-3 ",서울특별시 광진구 동일로 214 (군자동),5002,호텔컬리넌 건대2,관광호텔,206049.0417,449837.4135
영업,서울특별시 광진구 화양동 24-15,서울특별시 광진구 동일로 156 (화양동),5013,에이치에비뉴 호텔 건대점,관광호텔,205814.7756,449312.4703
영업,서울특별시 광진구 화양동 23-15번지 ,서울특별시 광진구 동일로 172 (화양동),5007,호텔더디자이너스 프리미어 건대,관광호텔,205879.3657,449454.6386
영업,서울특별시 광진구 자양동 24-6 호텔케이월드 ,"서울특별시 광진구 동일로 90, 호텔케이월드 (자양동)",5071,호텔케이월드,관광호텔,205540.0826,448702.3068
영업,서울특별시 광진구 중곡동 638-3번지 호텔 더디자이너스 건대 ,"서울특별시 광진구 천호대로 521, 호텔 더디자이너스 건대 지하3~지상9층 (중곡동)",4920,호텔더디자이너스건대,관광호텔,206698.8938,450714.3841
영업,서울특별시 광진구 광장동 327-1,서울특별시 광진구 아차산로76가길 12 (광장동),4969,나무호텔,관광호텔,209407.7454,449459.253
영업,서울특별시 광진구 화양동 18-32,서울특별시 광진구 광나루로 354 (화양동),5008,호스텔 온기,관광호텔,206041.4888,449522.6242
영업,서울특별시 광진구 화양동 23-3,서울특별시 광진구 동일로30길 10 (화양동),5007,하일호스텔,숙박업(생활),205913.7667,449481.4596
