상세영업상태명,지번주소,도로명주소,도로명우편번호,사업장명,업태구분명,좌표정보(X),좌표정보(Y)
폐업,서울특별시 광진구 구의동 53-6번지 ,,,궁전영상가요클럽단란주점,단란주점,207912.7322,449925.2853
폐업,서울특별시 광진구 중곡동 150-176번지 ,,,아바론단란주점,단란주점,207479.4406,450948.2704
폐업,서울특별시 광진구 화양동 114-5번지 ,,,카카단란주점,단란주점,206247.9521,449443.9732
폐업,서울특별시 광진구 화양동 23-28 ,서울특별시 광진구 동일로 170 (화양동),5007,바나나,단란주점,205860.7175,449443.4169
폐업,서울특별시 광진구 광장동 188-2번지 ,서울특별시 광진구 아차산로78길 147 (광장동),4969,더존노래클럽,단란주점,209602.114,449468.7096
폐업,서울특별시 광진구 구의동 212-17번지 ,,,리버타운,단란주점,208158.85,448619.5409
폐업,서울특별시 광진구 자양동 3-9번지 ,,,백야,단란주점,206034.9917,448413.0416
폐업,서울특별시 광진구 중곡동 117-6번지 ,,,하모니단란주점,단란주점,207706.3332,450355.3445
폐업,서울특별시 광진구 화양동 94-9번지 ,,,아이비단란주점,단란주점,206377.7035,449262.408
폐업,서울특별시 광진구 구의동 252-6번지 ,,,가배단란주점,단란주점,207428.8683,448444.8946
폐업,서울특별시 광진구 화양동 132-63번지 ,,,그린단란주점,단란주점,206155.0152,449406.1971
영업,서울특별시 광진구 화양동 111-206번지 ,서울특별시 광진구 능동로 171 (화양동),5009,피터팬노래하는소주방,단란주점,206403.5376,449318.8629
폐업,서울특별시 광진구 구의동 252-57번지 ,,,강변단란주점,단란주점,207425.8251,448533.5201
영업,서울특별시 광진구 중곡동 37-4번지 ,서울특별시 광진구 긴고랑로 79 (중곡동),4937,스타라이브,단란주점,207414.8537,450995.0555
폐업,서울특별시 광진구 구의동 252-115번지 ,,,휘가로단란주점,단란주점,207413.4603,448398.4022
폐업,서울특별시 광진구 중곡동 169-29번지 ,,,영쓰리단란주점,단란주점,207232.5565,451764.0097
영업,서울특별시 광진구 중곡동 193-52,서울특별시 광진구 면목로 132-1 (중곡동),4908,삼정,단란주점,207087.8449,451428.3931
폐업,서울특별시 광진구 구의동 252-16번지 ,,,맨티스단란주점,단란주점,207342.7661,448444.7546
폐업,서울특별시 광진구 화양동 111-128번지 ,,,소주박스,단란주점,206431.273,449404.4
폐업,서울특별시 광진구 화양동 206-0번지 ,,,새도시,단란주점,206376.2506,449455.0461
영업,서울특별시 광진구 화양동 7-11,서울특별시 광진구 동일로22길 102 (화양동),5018,엔젤,단란주점,206084.5646,448732.7276
영업,서울특별시 광진구 군자동 476-1번지 ,서울특별시 광진구 군자로 182 (군자동),4997,무지개,단란주점,206845.6033,450493.5071
폐업,서울특별시 광진구 자양동 679-22 ,서울특별시 광진구 자양로5길 14 (자양동),5103,노래팡팡,단란주점,207441.2607,447720.5814
폐업,서울특별시 광진구 구의동 79-25,서울특별시 광진구 자양로 235 (구의동),4993,백두천지,단란주점,207705.6073,449505.8741
영업,서울특별시 광진구 구의동 234-27 ,서울특별시 광진구 광나루로 508 (구의동),5031,쎄시봉,단란주점,207534.5677,449173.2693
폐업,서울특별시 광진구 중곡동 172-59번지 ,,,크린크단란주점,단란주점,207181.1961,451641.7171
폐업,서울특별시 광진구 자양동 1-9번지 ,서울특별시 광진구 동일로20길 119 (자양동),5073,올인,단란주점,206120.1571,448593.4079
폐업,서울특별시 광진구 화양동 216-0번지 ,,,엔에치케이단란주점,단란주점,206405.8447,449450.171
영업,서울특별시 광진구 중곡동 244-3번지 ,서울특별시 광진구 긴고랑로 34 (중곡동),4914,탑노래바,단란주점,206994.4233,451181.8293
폐업,서울특별시 광진구 구의동 595-0번지 ,,,동서울호텔사브단란주점,단란주점,208051.8847,447994.8056
폐업,서울특별시 광진구 능동 236-5번지 ,,,사라단란주점,단란주점,207246.4439,450358.7209
폐업,서울특별시 광진구 구의동 55-13번지 ,,,카네기단란주점,단란주점,208029.5624,449898.7458
폐업,서울특별시 광진구 자양동 7-43번지 ,,,차차차단란주점,단란주점,206045.7073,448651.9623
영업,서울특별시 광진구 중곡동 92-9 ,서울특별시 광진구 용마산로 16 (중곡동),4950,콜미,단란주점,207760.534,450312.9516
영업,서울특별시 광진구 자양동 634-12,서울특별시 광진구 자양로13길 83 (자양동),5061,7080라이브일번지,단란주점,207056.0649,447871.3098
폐업,서울특별시 광진구 중곡동 247-6번지 ,,,뉴둥근성,단란주점,206841.6147,451251.6927
폐업,서울특별시 광진구 화양동 48-22번지 ,,,스타단란주점,단란주점,205839.5294,448833.2523
폐업,서울특별시 광진구 광장동 186-0번지 ,,,갈채단란주점,단란주점,209559.4784,449524.3415
폐업,서울특별시 광진구 자양동 2-47번지 ,,,남행열차,단란주점,206058.9001,448430.2534
폐업,서울특별시 광진구 화양동 111-107번지 ,,,캣츠단란주점,단란주점,206327.1256,449447.9618
폐업,서울특별시 광진구 구의동 71-28번지 ,,,사라사태단란주점,단란주점,207899.1077,449654.3773
폐업,서울특별시 광진구 화양동 21-23번지 ,,,일송단란주점,단란주점,206002.3044,449507.5874
폐업,서울특별시 광진구 구의동 246-72번지 ,,,하와이,단란주점,207472.7511,448379.2507
폐업,서울특별시 광진구 구의동 53-10번지 ,,,행복단란주점,단란주점,207881.3259,450008.6025
영업,서울특별시 광진구 자양동 608-19번지 ,서울특별시 광진구 뚝섬로 596 (자양동),5098,월드,단란주점,206641.557,447859.977
폐업,서울특별시 광진구 자양동 1-2번지 ,,,보스킹,단란주점,206130.5819,448587.8325
폐업,서울특별시 광진구 구의동 246-96번지 ,,,대벌,단란주점,207527.3338,448405.7492
영업,서울특별시 광진구 구의동 218-16,서울특별시 광진구 아차산로 442 (구의동),5047,태평양7080,단란주점,208041.679,448478.0965
폐업,서울특별시 광진구 자양동 657-16번지 ,,,강변단란주점,단란주점,207400.5788,447913.0325
폐업,서울특별시 광진구 화양동 48-20번지 ,,,무릉도원단란주점,단란주점,205857.0476,448825.8264
폐업,서울특별시 광진구 구의동 246-12번지 ,,,파레스단란주점,단란주점,207406.7938,448369.1273
