어린이집명,어린이집유형,시설 위도(좌표값),시설 경도(좌표값)
새한어린이집,국공립,37.6049325667,127.1012258353
아미어린이집,국공립,37.6040136039,127.0968759111
예쁜별어린이집,국공립,37.6097984319,127.0962944847
햇살아래 보듬이나눔이 어린이집,국공립,37.6147428453,127.1128055612
하람어린이집,국공립,37.6168103510126,127.106293610164
새솔어린이집,국공립,37.6165585100897,127.10975465651
신내어린이집,국공립,37.60466108,127.0979236
루나밸리어린이집,국공립,37.6002317661243,127.042646620388
동아라온어린이집,국공립,37.6077631803499,127.044972597784
큰나무어린이집,국공립,37.60506101,127.0517031
목화어린이집,국공립,37.60440056,127.0400022
달빛하나어린이집,국공립,37.60918785,127.0454576
구립 물고기어린이집,국공립,37.5334410708222,127.070576787938
구립 효지어린이집,국공립,37.536102,127.07382
구립 자양어린이집,국공립,37.532898,127.07523
구립 파크스위트어린이집,국공립,37.5452305351672,127.090560267192
구립 휴먼시아어린이집,국공립,37.5482735626,127.0935718071
구립 구의2동어린이집,국공립,37.5502126343619,127.096249362793
구립수유새싹어린이집,국공립,37.6335940931131,127.014274762879
구립수유1동어린이집,국공립,37.63144905,127.0156643
구립솔샘어린이집,국공립,37.6289162101668,127.018577611045
구립예능어린이집,국공립,37.62192004,127.0125706
구립동그라미어린이집,국공립,37.6210820003573,127.012635844987
구립초록나라어린이집,국공립,37.6240522,127.0130397
구립행복어린이집,국공립,37.62543431,127.0118478
구립아람어린이집,국공립,37.6216502615002,127.016945736751
구립삼양어린이집,국공립,37.62773747,127.019965
구립킨더어린이집,국공립,37.6126680387521,127.025888408022
구립송천동어린이집,국공립,37.61747704,127.0243757
구립무지개어린이집,국공립,37.6161360977868,127.01774583712
구립아이땅어린이집,국공립,37.6160098707011,127.018326290676
구립다온어린이집,국공립,37.6135848277504,127.020558432612
구립아이원어린이집,국공립,37.6163184613944,127.018312208218
구립하늘아이어린이집,국공립,37.6135848277504,127.020558432612
구립해맑은어린이집,국공립,37.61764,127.010605
구립이루미어린이집,국공립,37.6190093233307,127.016459488188
구립즐거운어린이집,국공립,37.61764,127.010605
구립새싹어린이집,국공립,37.61764,127.010605
구립삼각산꾸러기어린이집,국공립,37.6153692027099,127.017659349808
구립햇님어린이집,국공립,37.61764,127.010605
구립늘사랑어린이집,국공립,37.61764,127.010605
구립샛별어린이집,국공립,37.61673699,127.0174974
구립오렌지어린이집,국공립,37.64597714,127.0143599
구립참행복한어린이집,국공립,37.64618887,127.0126335
구립우이한솔어린이집,국공립,37.6451092893312,127.007727691265
구립우이동어린이집,국공립,37.65755707,127.0126292
노원든든어린이집,국공립,37.6302887845514,127.058334177967
작은별어린이집,국공립,37.6295805756941,127.045042383822
동원어린이집,국공립,37.6317359905913,127.0583395575
미키미니어린이집,국공립,37.629161633,127.0516035999
초안숲속어린이집,국공립,37.6409822741,127.0522553361
아가랑어린이집,국공립,37.63249261,127.050762
꿈빛어린이집,국공립,37.6281862,127.0527325
월계2동어린이집,국공립,37.63249442,127.0507631
키움누리어린이집,국공립,37.6094870291803,127.016150190393
꿈꾸는어린이집,국공립,37.6009839798592,127.015825611593
바다어린이집,국공립,37.6001888663,127.015745042
즐거운어린이집,국공립,37.6048448917581,127.017807139688
정릉제일어린이집,국공립,37.6052270434486,127.016910300826
정릉1동어린이집,국공립,37.60289277,127.0165402
동화속아이들어린이집,국공립,37.5750955987,126.9591246301
인왕어린이집,국공립,37.5770571006509,126.957319902541
무악어린이집,국공립,37.57607379,126.9603255
연동어린이집,국공립,37.573923715314,127.00140652632
대학로어린이집,국공립,37.57933439,127.0054732
구민회관어린이집,국공립,37.5735016343192,127.014367429578
창신제일어린이집,국공립,37.57568463,127.0096935
은행나무어린이집,국공립,37.57895144,127.010942
낙산어린이집,국공립,37.57952972,127.0101667
구립 DMC물치어린이집,국공립,37.5811729402287,126.900327914256
구립 물빛캐슬어린이집,국공립,37.5853958446825,126.892074306411
구립 진달래어린이집,국공립,37.6426732318099,126.92277093907
구립 기자촌어린이집,국공립,37.6340223617068,126.9333798128
구립 은뜨락어린이집,국공립,37.6297693237219,126.920065431109
구립 키즈빌리지어린이집,국공립,37.6436463798,126.9229013677
구립 아이클어린이집,국공립,37.633517098423,126.919585591987
구립 해솔어린이집,국공립,37.6480578155,126.9289930855
구립 예가어린이집,국공립,37.6444694783,126.9250760356
구립 폭포동어린이집,국공립,37.6313653265,126.9305950077
구립 꼬마대통령어린이집,국공립,37.6425165456065,126.91757038848
구립 꽃빛나라어린이집,국공립,37.6412840744141,126.920302362616
구립 구파발어린이집,국공립,37.6430034899489,126.916719525705
구립 진관어린이집,국공립,37.6313940946842,126.924617884669
구립 은마루어린이집,국공립,37.6455420549555,126.928637421166
구립 상림마을어린이집,국공립,37.6453025931307,126.927487558562
구립 향림어린이집,국공립,37.6267277360091,126.925800723262
구립 불광어린이집,국공립,37.62161193,126.9293036
구립 개나리어린이집,국공립,37.625347879,126.9265270819
구립 다래어린이집,국공립,37.5857441678422,126.91601399698
구립 은아새 어린이집,국공립,37.59506357,126.9160186
돈의문어린이집,국공립,37.5659405407841,126.962377314892
금화어린이집,국공립,37.56807893,126.9610445
청구몬테소리어린이집,국공립,37.6356725178839,127.062074286147
하계햇빛어린이집,국공립,37.6366190322659,127.064538136083
새솔어린이집,국공립,37.6391342723872,127.060378306328
