자치구,행정동,유해업소수,대형쇼핑몰수,도서관수,미술관 박물관 극장수,"의료시설수(병원,의원,보건소,보건지소)",공원 수,경로당 수,보육시설정원,보육시설현원,보육시설포화도,횡단보도수,육교수,CCTV수,월평균소득금액,평균면적(m^2),면적당 가격(만원/m^2),"주유소,가스충전소 수",0~9세,2030_상주인구수,23년 출생인구,2030대비 출생아수(%),공립,사립,공립+사립,평균학급수,평균유아수,평균 학급당 유아수
종로구,사직동,23,1,2,5,2,6,1,954,542,0.57,90,0,139,5039456,135,1231,1,462,2476,25,1.01,0,2,2,3.0,45.0,15.0
종로구,부암동,2,0,0,6,0,0,1,150,116,0.77,20,17,144,3661725,74,628,3,381,2586,20,0.77,0,2,2,4.5,108.0,23.8
종로구,평창동,6,0,0,6,1,3,6,175,160,0.91,22,6,120,4544046,120,780,3,996,4740,66,1.39,0,1,1,6.0,98.0,16.3
용산구,한남동,21,0,0,2,1,1,10,364,266,0.73,73,24,119,4397761,129,1995,5,1027,6364,114,1.79,1,0,1,3.0,34.0,11.3
성동구,왕십리2동,42,0,0,0,0,2,18,376,336,0.89,10,5,222,3487691,61,1273,0,1053,5333,104,1.95,1,1,2,3.0,39.0,13.0
성동구,마장동,5,1,0,1,0,4,15,597,445,0.75,55,9,402,3050686,68,1225,1,967,7481,74,0.99,2,2,4,3.2,38.0,11.4
중구,중림동,20,1,2,1,0,1,4,338,290,0.86,43,7,140,4451102,85,1562,1,934,3150,89,2.83,0,1,1,3.0,75.0,25.0
성동구,옥수동,0,2,1,0,0,0,18,761,571,0.75,12,0,178,4857859,98,1741,1,2291,7752,243,3.13,1,3,4,4.5,86.0,18.3
중구,장충동,12,0,1,2,0,0,2,97,69,0.71,25,6,143,2923569,157,980,2,134,1876,13,0.69,1,0,1,3.0,23.0,7.7
중구,광희동,82,13,0,0,2,3,3,183,109,0.6,89,4,192,3276838,52,1070,3,124,1480,18,1.22,0,0,0,0.0,0.0,0.0
성동구,사근동,0,1,0,2,1,2,6,189,111,0.59,33,3,315,3138503,67,1147,1,325,5800,27,0.47,1,1,2,4.0,41.0,8.8
용산구,후암동,1,0,2,0,0,1,4,480,295,0.61,51,4,80,3035337,96,1075,0,692,5292,47,0.89,0,1,1,4.0,99.0,24.8
용산구,용산2가동,6,0,0,0,0,0,4,141,86,0.61,22,9,76,2552190,71,850,0,255,3212,29,0.9,0,0,0,0.0,0.0,0.0
용산구,남영동,20,0,0,1,0,2,4,131,94,0.72,43,2,46,3203052,117,1232,1,126,1883,16,0.85,0,0,0,0.0,0.0,0.0
용산구,원효로2동,12,0,0,0,0,2,6,291,215,0.74,37,7,52,3838877,107,1467,4,730,3891,55,1.41,0,2,2,6.0,124.0,20.7
용산구,효창동,1,0,0,2,0,2,4,375,311,0.83,14,0,54,3540899,78,1417,0,751,3043,68,2.23,0,0,0,0.0,0.0,0.0
용산구,용문동,5,0,0,0,0,1,6,318,271,0.85,25,0,46,3584571,66,1194,0,623,3690,75,2.03,0,1,1,3.0,41.0,13.7
용산구,이태원1동,25,1,0,0,1,1,6,230,165,0.72,22,2,59,3691173,172,1510,0,205,2070,22,1.06,0,0,0,0.0,0.0,0.0
성동구,금호1가동,0,2,1,0,0,1,6,576,463,0.8,35,0,118,3953888,82,1495,0,1071,4374,82,1.87,0,1,1,0.0,0.0,0.0
성동구,금호4가동,2,1,0,0,0,2,12,346,266,0.77,23,0,198,4438328,79,1817,1,1185,4132,101,2.44,1,1,2,4.0,60.5,14.5
성동구,성수1가1동,8,0,1,2,0,0,12,328,222,0.68,50,2,240,3895002,102,2696,3,816,5283,85,1.61,2,1,3,4.0,65.7,16.3
성동구,성수2가1동,16,2,0,0,5,2,8,209,167,0.8,38,4,278,2926007,82,2222,2,581,5001,56,1.12,1,0,1,3.0,34.0,11.3
성동구,송정동,15,0,0,0,1,1,5,278,156,0.56,13,0,305,2583422,80,1068,3,371,3293,34,1.03,1,0,1,3.0,33.0,11.0
성동구,용답동,24,2,1,0,2,1,4,504,295,0.59,30,10,271,2489153,73,992,4,281,3922,26,0.66,1,0,1,3.0,13.0,4.3
성북구,정릉4동,1,0,1,0,0,1,14,666,497,0.75,53,1,190,3060802,73,761,0,1192,6634,97,1.46,0,2,2,6.5,146.5,20.8
성북구,길음1동,4,3,1,0,2,4,19,706,602,0.85,59,1,108,4482440,74,1173,1,2921,8250,148,1.79,3,4,7,4.5,85.2,19.2
성북구,성북동,4,0,0,6,0,2,5,191,145,0.76,25,0,281,3501359,58,863,0,611,4921,67,1.36,1,2,3,4.0,66.0,17.6
성북구,삼선동,20,1,0,0,0,1,9,281,221,0.79,34,21,229,3079254,71,1019,1,806,8172,60,0.73,1,0,1,4.0,42.0,10.5
성북구,동선동,19,4,1,1,2,0,4,200,158,0.79,23,8,189,2852581,74,894,1,401,6734,34,0.5,2,1,3,3.7,62.0,16.1
동대문구,휘경1동,3,0,0,0,0,1,8,279,201,0.72,37,7,128,2747514,68,1103,6,662,4873,69,1.42,1,1,2,0.0,0.0,0.0
동대문구,이문1동,3,1,0,0,0,0,9,341,209,0.61,36,3,196,2980528,65,1095,2,569,7154,37,0.52,0,2,2,5.0,88.5,17.7
동대문구,이문2동,2,0,0,0,0,0,11,549,461,0.84,25,0,145,3163719,65,915,2,1001,5404,58,1.07,0,1,1,5.0,95.5,19.8
동대문구,답십리1동,10,1,1,0,1,4,11,777,616,0.79,74,0,195,3537585,56,1141,1,2285,8576,166,1.94,1,0,1,4.0,62.0,15.5
중랑구,상봉1동,16,1,0,0,1,1,10,479,387,0.81,23,2,208,2998857,76,856,0,1483,7304,154,2.11,0,2,2,7.0,145.0,19.9
중랑구,중화1동,0,0,0,0,1,2,6,467,364,0.78,16,1,155,2540502,74,772,2,907,6106,93,1.52,1,4,5,5.2,92.0,16.4
중랑구,신내1동,4,2,0,0,1,6,20,1544,1031,0.67,111,7,175,2798343,74,783,3,2268,10297,168,1.63,1,1,2,8.0,143.5,18.4
성북구,월곡2동,1,1,2,1,1,2,10,476,381,0.8,35,12,192,3161249,91,921,2,796,6088,53,0.87,0,2,2,7.0,172.0,24.6
광진구,자양3동,5,5,0,0,0,2,18,627,536,0.85,25,2,217,4391943,86,1562,1,1958,8290,141,1.7,1,3,4,3.0,55.7,18.5
광진구,구의2동,2,0,0,0,1,2,3,577,411,0.71,50,0,317,2928061,74,1027,0,1308,7401,102,1.38,0,3,3,3.0,50.0,16.6
강북구,수유1동,37,3,1,0,0,3,6,672,518,0.77,35,10,143,2229607,47,619,4,709,5817,55,0.95,1,1,2,3.0,29.0,9.7
강북구,삼양동,14,3,1,0,0,2,14,638,380,0.6,40,8,199,2482010,71,938,2,983,6415,79,1.23,1,2,3,6.3,99.7,14.7
강북구,송천동,12,1,1,0,4,2,10,369,256,0.69,47,0,144,2456559,70,951,2,739,7161,50,0.7,1,0,1,3.0,21.0,7.0
강북구,삼각산동,5,1,1,0,0,2,9,913,771,0.84,20,0,46,3761878,76,1041,0,2260,7491,130,1.74,0,1,1,9.0,109.0,12.1
강북구,우이동,21,0,0,0,0,2,5,540,463,0.86,40,0,159,2472202,74,537,1,840,5251,77,1.47,0,2,2,3.0,47.0,15.7
노원구,월계2동,0,0,1,1,0,8,12,502,379,0.75,29,0,151,2744711,69,880,1,1363,6399,106,1.66,1,5,6,4.0,57.8,13.9
성북구,정릉1동,6,0,0,0,4,1,11,483,417,0.86,39,3,133,3356520,75,983,0,1217,4919,99,2.01,0,2,2,6.0,124.5,20.8
종로구,무악동,0,0,0,0,1,1,3,240,152,0.63,4,2,33,5134832,82,1590,0,546,1858,31,1.67,0,1,1,8.0,199.0,24.9
종로구,종로5·6가동,113,2,0,0,0,3,6,184,86,0.47,82,6,116,2534670,23,1106,0,156,1651,8,0.48,0,1,1,3.0,58.0,19.3
종로구,이화동,1,0,0,3,3,1,4,148,85,0.57,19,0,101,3052155,49,803,1,171,2941,9,0.31,0,0,0,0.0,0.0,0.0
종로구,창신1동,23,2,0,0,0,0,3,131,73,0.56,25,4,57,2402760,58,1399,0,107,1185,12,1.01,1,0,1,3.0,35.0,11.7
종로구,창신2동,9,0,0,0,0,1,4,188,115,0.61,4,0,87,2123343,56,823,0,157,2197,10,0.46,0,0,0,0.0,0.0,0.0
중구,을지로동,92,1,0,1,1,1,1,119,63,0.53,84,7,125,3041933,69,1166,1,138,459,12,2.61,0,1,1,3.0,51.0,17.0
은평구,수색동,8,0,0,0,0,0,10,170,149,0.88,40,0,109,3258020,84,1168,5,1747,2732,121,4.43,1,1,2,4.5,90.0,19.7
은평구,진관동,0,3,3,2,1,10,28,1542,1091,0.71,224,0,424,4100987,93,1044,5,3327,13584,147,1.08,5,4,9,7.4,116.2,15.5
은평구,불광2동,2,1,0,0,0,5,8,384,256,0.67,31,0,320,2410974,61,908,2,784,8673,76,0.88,3,0,3,3.0,27.5,9.2
은평구,응암3동,43,0,1,0,3,3,3,339,283,0.83,39,0,314,2377758,60,768,1,743,7270,66,0.91,1,3,4,4.3,94.0,20.4
서대문구,천연동,9,0,1,1,0,2,12,457,364,0.8,29,1,117,4221818,73,1310,0,1008,4714,73,1.55,1,0,1,7.0,82.0,11.7
노원구,하계2동,0,1,0,0,1,3,5,301,257,0.85,31,2,36,3643362,68,1088,4,1216,6052,79,1.31,0,2,2,4.5,93.5,19.0
서대문구,홍은2동,16,1,0,0,1,4,4,291,157,0.54,44,0,337,2891575,99,618,1,1474,7762,101,1.3,0,1,1,0.0,0.0,0.0
