지번주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y),자치구,법정동
서울특별시 송파구 잠실동 180-10번지 ,베트맨비디오방,,207163.343016332,445433.784924234,송파구,잠실동
서울특별시 송파구 잠실동 179-2번지 ,4차원,,207070.836870724,445386.907051882,송파구,잠실동
서울특별시 송파구 잠실동 180-4번지 ,무비매직,,207122.20022936,445436.345120895,송파구,잠실동
서울특별시 송파구 잠실동 178-4번지 ,21세기,,207048.393790765,445382.528893932,송파구,잠실동
서울특별시 송파구 잠실동 190-11번지 ,활동사진비디오감상실,,207177.098940377,445364.292718662,송파구,잠실동
서울특별시 송파구 잠실동 183-11번지 ,25시비디오,,207351.77159573,445413.852420686,송파구,잠실동
서울특별시 송파구 마천동 126-4번지 ,Q비디오감상실,,213032.020864518,443911.966488301,송파구,마천동
서울특별시 송파구 송파동 95-54번지 ,플레이비디오,,209795.149374536,444492.099260967,송파구,송파동
서울특별시 송파구 방이동 36-8번지 ,사차원비디오방,,209591.910117742,445864.5249267,송파구,방이동
서울특별시 송파구 석촌동 296-1번지 16통3반 ,벤허,,209529.945377126,444336.945950289,송파구,석촌동
서울특별시 송파구 잠실동 189-1번지 14통2반 ,아름다운영화비디오방,,207199.561870533,445372.074768079,송파구,잠실동
서울특별시 송파구 잠실동 191-7번지 ,디지텔씨네,,207136.856116173,445356.040362029,송파구,잠실동
서울특별시 송파구 잠실동 186-7번지 ,팅,,207370.740384909,445382.739697831,송파구,잠실동
서울특별시 송파구 석촌동 296-6번지 ,영화와 함께,,,,송파구,석촌동
서울특별시 송파구 송파동 96-62번지 ,키노비디오감상실,,,,송파구,송파동
서울특별시 송파구 잠실동 176-7번지 ,인터시네,,206964.414977305,445386.914519366,송파구,잠실동
서울특별시 송파구 석촌동 277-7번지 ,스크린비디오방,,209408.694425394,444338.071466155,송파구,석촌동
서울특별시 송파구 잠실동 183-11번지 ,벅스DVD,,207351.77159573,445413.852420686,송파구,잠실동
서울특별시 송파구 마천동 126-4번지 ,큐비디오감상실업,,213032.020864518,443911.966488301,송파구,마천동
서울특별시 송파구 잠실동 187-19번지 ,폭스비디오감상실,,207325.756240551,445357.77536585,송파구,잠실동
서울특별시 송파구 잠실동 180-2번지 31통2반 ,영상스케치,,207129.271568298,445400.766269547,송파구,잠실동
서울특별시 송파구 석촌동 296-2번지 ,레옹비디오감상실,,209541.418807954,444357.068661528,송파구,석촌동
서울특별시 송파구 잠실동 183-2번지 ,우주창조비디오감상실,,207319.089634647,445428.59721944,송파구,잠실동
서울특별시 송파구 문정동 30-1번지 지하 ,마루,,210944.940248887,442977.87547101,송파구,문정동
서울특별시 송파구 잠실동 180-6번지 ,키노,,207144.868417245,445435.495757721,송파구,잠실동
서울특별시 송파구 잠실동 178-4번지 ,OK,,207048.393790765,445382.528893932,송파구,잠실동
서울특별시 송파구 잠실동 180-1번지 진영빌딩 4층 ,시네마옵티,,207111.481365768,445404.185488928,송파구,잠실동
서울특별시 송파구 잠실동 190-10번지 ,미로DVD방,,207174.062739938,445379.678423944,송파구,잠실동
서울특별시 송파구 잠실동 192-12번지 ,팝스디브이디,,207093.34949759,445365.125589397,송파구,잠실동
서울특별시 강동구 명일동 48-3 3층 ,닥스DVD영화관,,213632.141350282,450066.954643234,강동구,명일동
서울특별시 강동구 천호동 451번지 지층 ,휴(休) DVD,,211330.148489184,448364.45842256,강동구,천호동
서울특별시 강동구 천호동 409-6번지 ,무비박스 DVD방,,211231.486765709,448636.504057674,강동구,천호동
서울특별시 강동구 천호동 453-7 3층 ,무비박스,,211220.108221915,448503.534642454,강동구,천호동
서울특별시 강동구 성내동 429-18번지 (3층) ,영화수첩비디오방,,211833.212147363,447111.892155845,강동구,성내동
서울특별시 강동구 성내동 443-33번지 ,디프,,211716.731304948,446924.613699862,강동구,성내동
서울특별시 강동구 천호동 454-65번지 5층 ,DVD시네마,,211146.068506412,448479.444644093,강동구,천호동
서울특별시 강동구 천호동 456번지 신라빌딩B1 ,현대DVD방,,210825.17728788,448573.814954631,강동구,천호동
서울특별시 강동구 길동 447-1번지 ,씨엔에스디비디방,,211986.914896269,448201.841635941,강동구,길동
서울특별시 강남구 신사동 541,보이드,,201991.40830336,446353.146737294,강남구,신사동
