사업종류,상호,주소,자치구,법정동
판매사업,태아동진가스,서울특별시 양천구 신월동  150번지 6호  ,양천구,신월동
집단공급사업,한국자동차매매센타,서울특별시 동대문구 답십리동  542번지 1호  ,동대문구,답십리동
판매사업,한일가스,서울특별시 강남구 개포동  201번지 8호  ,강남구,개포동
판매사업,현대가스,서울특별시 강남구 자곡동  446번지 2   호  ,강남구,자곡동
판매사업,통일가스,서울특별시 강북구 수유동  492번지 2호  ,강북구,수유동
판매사업,대성가스,서울특별시 강동구 상일동  292번지 3   호  ,강동구,상일동
판매사업,(주)동일에너지,서울특별시 구로구 고척동  250번지 159호  ,구로구,고척동
판매사업,관악종합가스,서울특별시 관악구 봉천동  635번지 382호  ,관악구,봉천동
판매사업,영등포가스,서울특별시 영등포구 양평동2가  36번지 26호  ,영등포구,양평동2가
충전사업,대영가스,서울특별시 강서구 마곡동  25번지 2  호  ,강서구,마곡동
충전사업,대양가스,서울특별시 강서구 마곡동  25번지 2호  ,강서구,마곡동
판매사업,안전가스,서울특별시 구로구 항동  1번지  ,구로구,항동
판매사업,강남종합가스,서울특별시 강남구 일원동  636번지 16호  ,강남구,일원동
판매사업,안전가스상사,서울특별시 영등포구 신길동  70번지 25호  ,영등포구,신길동
판매사업,동진가스,서울특별시 구로구 천왕동  101번지  ,구로구,천왕동
판매사업,안전효성동원가스,서울특별시 금천구 가산동  141번지 4호  ,금천구,가산동
충전사업,(주) 거봉한진,서울특별시 영등포구 양평동2가  35번지 7호  ,영등포구,양평동2가
충전사업,(주)남양가스,서울특별시 양천구 신월동  998번지 4호  ,양천구,신월동
판매사업,팔팔가스,서울특별시 강서구 화곡동  504번지 145호  ,강서구,화곡동
판매사업,중앙가스,서울특별시 강동구 강일동  402번지  ,강동구,강일동
충전사업,오금가스충전소,서울특별시 송파구 오금동  31번지 4호  ,송파구,오금동
충전사업,태능가스(주),서울특별시 노원구 공릉동  690번지 11호  ,노원구,공릉동
판매사업,그린가스,서울특별시 동대문구 용두동  254번지 8호  ,동대문구,용두동
판매사업,시민가스,서울특별시 송파구 오금동  52번지 15호  ,송파구,오금동
판매사업,송파에너지,서울특별시 송파구 마천동  41번지 9호  ,송파구,마천동
판매사업,SK에너지,서울특별시 양천구 신월동  207번지 60호  ,양천구,신월동
판매사업,도봉가스,서울특별시 도봉구 도봉동  558번지 37호  ,도봉구,도봉동
판매사업,도봉가스,서울특별시 도봉구 도봉동  558번지 37호  ,도봉구,도봉동
판매사업,현대가스,서울특별시 강동구 명일동  312번지 1호  ,강동구,명일동
충전사업,수도에너지(주) 동서울충전소,서울특별시 동대문구 휘경동  267번지 10호  ,동대문구,휘경동
판매사업,원일가스,서울특별시 양천구 신월동  610번지 10호  ,양천구,신월동
판매사업,지구안전가스,서울특별시 성동구 금호동3가  1351번지 149호  ,성동구,금호동3가
판매사업,동네가스상사,서울특별시 구로구 오류동  172번지 67호  ,구로구,오류동
판매사업,태성중앙가스,서울특별시 마포구 구수동  57번지 9호  ,마포구,구수동
판매사업,국제종합가스,서울특별시 양천구 신월동  133번지 7호  ,양천구,신월동
충전사업,장안동가스충전소,서울특별시 동대문구 장안동  413번지 6호  ,동대문구,장안동
가스용품제조사업,명화가스,서울특별시 구로구 개봉동  368번지 19호  ,구로구,개봉동
충전사업,(주)진양가스,서울특별시 강남구 도곡동  552번지 5호  ,강남구,도곡동
판매사업,쌍용가스,서울특별시 강남구 역삼동  706번지 18  호  ,강남구,역삼동
판매사업,쌍용가스,서울특별시 강남구 역삼동  706번지 18  호  ,강남구,역삼동
판매사업,상암가스,서울특별시 마포구 상암동  16번지 3호  ,마포구,상암동
판매사업,한국가스,서울특별시 관악구 신림동  892번지 30호  ,관악구,신림동
판매사업,신대성가스,서울특별시 송파구 잠실동  240번지 15호  ,송파구,잠실동
충전사업,경기에너지,서울특별시 강동구 성내동  19번지 1호  LPG 충전소,강동구,성내동
판매사업,(주)반포에너지,서울특별시 서초구 반포동  742번지 14호  ,서초구,반포동
충전사업,(주)장위가스,서울특별시 성북구 장위동  44번지 3호  ,성북구,장위동
판매사업,상원가스,서울특별시 강서구 방화동  553번지 22  호  ,강서구,방화동
판매사업,원효가스,서울특별시 용산구 산천동  93번지 1호  ,용산구,산천동
판매사업,현대한국가스,서울특별시 금천구 독산동  336-1번지  ,금천구,독산동
판매사업,안전가스,서울특별시 성동구 금호동1가  618번지 3호  ,성동구,금호동1가
충전사업,복지잠실충전소,서울특별시 송파구 잠실동  336번지 9호  ,송파구,잠실동
충전사업,케이와이에너지(주),서울특별시 관악구 신림동  112번지 46호  ,관악구,신림동
판매사업,우리강남가스,서울특별시 동작구 상도동  204번지 15호  ,동작구,상도동
판매사업,우리가스,서울특별시 동작구 상도동  204-15번지  ,동작구,상도동
판매사업,동방가스,서울특별시 양천구 목동  128번지 42호  ,양천구,목동
판매사업,동양가스,서울특별시 강동구 천호동  450번지 23호  ,강동구,천호동
판매사업,현대동남동방가스,서울특별시 강동구 천호동  450번지 23호  ,강동구,천호동
판매사업,현대가스,서울특별시 금천구 독산동  331번지 56호  ,금천구,독산동
판매사업,영진가스,서울특별시 중랑구 신내동  412번지 5호  ,중랑구,신내동
판매사업,서울화남가스,서울특별시 양천구 신정동  980번지 10호  ,양천구,신정동
판매사업,대우가스,서울특별시 관악구 신림동  491번지 32호  ,관악구,신림동
판매사업,동서가스,서울특별시 강서구 화곡동  1013번지 14  호  ,강서구,화곡동
판매사업,동아가스,서울특별시 동작구 노량진동  215번지 119호  ,동작구,노량진동
판매사업,(주)신광조리기기,서울특별시 구로구 온수동  100번지 90호  ,구로구,온수동
판매사업,신신가스,서울특별시 구로구 구로동  529번지 3호  ,구로구,구로동
충전사업,망우충전소,서울특별시 중랑구 망우동  340번지 16호  ,중랑구,망우동
충전사업,경서에너지 공항로충전소,서울특별시 강서구 등촌동  534번지 12호  ,강서구,등촌동
충전사업,홍익에너지(주),서울특별시 송파구 석촌동  183번지 1호  ,송파구,석촌동
충전사업,대흥상공(주),서울특별시 강서구 화곡동  898번지 3호  ,강서구,화곡동
판매사업,만나가스상사,서울특별시 성동구 행당동  128번지 16호  ,성동구,행당동
충전사업,(주)세지,서울특별시 영등포구 문래동6가  1-3번지  ,영등포구,문래동6가
판매사업,노원가스,서울특별시 노원구 중계동  61번지 4호  ,노원구,중계동
충전사업,복지장안충전소,서울특별시 동대문구 답십리동  1번지 478호  ,동대문구,답십리동
충전사업,황금충전소,서울특별시 중랑구 중화동  208번지 11호  ,중랑구,중화동
충전사업,(주)상현상사,서울특별시 강남구 논현동  207번지  ,강남구,논현동
충전사업,중앙에너비스(주)삼중가스지점,서울특별시 금천구 독산동  1059번지  ,금천구,독산동
판매사업,LG가스,서울특별시 성동구 용답동  158번지 3호  ,성동구,용답동
판매사업,태성가스,서울특별시 마포구 상수동  27번지  ,마포구,상수동
판매사업,신성가스,서울특별시 구로구 개봉동  139번지 118호  ,구로구,개봉동
충전사업,한영가스충전소,서울특별시 도봉구 쌍문동  715번지 1호  ,도봉구,쌍문동
충전사업,복지강북충전소,서울특별시 도봉구 창동  643번지 2호  ,도봉구,창동
충전사업,(주)진양가스,서울특별시 강남구 도곡동  552번지 5호  ,강남구,도곡동
판매사업,현대가스,서울특별시 도봉구 창동  596번지 21호  ,도봉구,창동
판매사업,삼화가스,서울특별시 마포구 대흥동  322번지 2호  ,마포구,대흥동
판매사업,동방가스,서울특별시 용산구 이태원동  36번지 16호  ,용산구,이태원동
판매사업,서울가스,서울특별시 마포구 합정동  359번지 35호  ,마포구,합정동
판매사업,삼표가스,서울특별시 구로구 고척동  193번지 7호  ,구로구,고척동
판매사업,태양가스,서울특별시 관악구 신림동  1634번지 13호  ,관악구,신림동
판매사업,동진가스상사,서울특별시 영등포구 신길동  404번지 42호  ,영등포구,신길동
판매사업,중앙가스,서울특별시 관악구 봉천동  1538번지 8호  ,관악구,봉천동
판매사업,우진가스,서울특별시 금천구 시흥동  253번지 18호  ,금천구,시흥동
판매사업,사당가스,서울특별시 동작구 사당동  1001번지 37호  ,동작구,사당동
판매사업,고려가스,서울특별시 관악구 신림동  660번지 9호  ,관악구,신림동
판매사업,우영가스,서울특별시 양천구 신월동  427번지 7호  ,양천구,신월동
판매사업,영풍가스,서울특별시 마포구 망원동  439번지 15호  ,마포구,망원동
판매사업,국제가스,서울특별시 구로구 고척동  98번지 99호  ,구로구,고척동
판매사업,양심유공가스,서울특별시 성북구 장위동  237번지 292호  ,성북구,장위동
판매사업,한양쌍용가스,서울특별시 금천구 시흥동  936번지 14호  ,금천구,시흥동
판매사업,현대가스,서울특별시 양천구 신정동  1047번지 15호  ,양천구,신정동
판매사업,효성가스,서울특별시 금천구 독산동  179번지 10호  ,금천구,독산동
판매사업,세기가스상사,서울특별시 영등포구 신길동  4575번지  ,영등포구,신길동
판매사업,성동가스,서울특별시 성동구 성수동1가  273번지  ,성동구,성수동1가
판매사업,흥국가스,서울특별시 은평구 녹번동  155번지 30호  ,은평구,녹번동
판매사업,제일가스,서울특별시 구로구 온수동  62번지 17호  ,구로구,온수동
판매사업,구로대성가스,서울특별시 구로구 구로동  29번지 2호  ,구로구,구로동
판매사업,금성가스,서울특별시 마포구 성산동  277번지 29호  ,마포구,성산동
판매사업,삼일금성가스,서울특별시 마포구 성산동  277번지 3호  ,마포구,성산동
판매사업,24시가스,서울특별시 구로구 가리봉동  124번지 46호  ,구로구,가리봉동
판매사업,남서울가스,서울특별시 금천구 독산동  1060번지 22호  ,금천구,독산동
판매사업,노원에너지,서울특별시 노원구 공릉동  380번지 17호  ,노원구,공릉동
판매사업,강동동방가스,서울특별시 강동구 천호동  145번지 47 호  ,강동구,천호동
판매사업,동방가스,서울특별시 강동구 암사동  469번지 17호  ,강동구,암사동
판매사업,쌍문가스,서울특별시 도봉구 쌍문동  75번지 3호  ,도봉구,쌍문동
충전사업,동일석유(주)동주충전소,서울특별시 동작구 대방동  334번지  ,동작구,대방동
판매사업,광진가스,서울특별시 광진구 화양동  31번지 3호  ,광진구,화양동
판매사업,SK가스,서울특별시 광진구 구의동  71번지 6호  ,광진구,구의동
판매사업,신신가스,서울특별시 관악구 신림동  1559번지 4호  ,관악구,신림동
판매사업,쌍용가스,서울특별시 금천구 시흥동  964번지 5호  ,금천구,시흥동
판매사업,흥국동양남부가스,서울특별시 금천구 독산동  1022번지 10호  ,금천구,독산동
충전사업,명화가스(주),서울특별시 관악구 봉천동  1594번지 8호  ,관악구,봉천동
판매사업,태우가스,서울특별시 금천구 독산동  962번지 25호  ,금천구,독산동
충전사업,개봉충전소,서울특별시 구로구 개봉동  175번지 16호  ,구로구,개봉동
충전사업,남서울가스(주),서울특별시 강남구 대치동  21번지 1호  ,강남구,대치동
충전사업,비자인터내셔날(주) 암사충전소,서울특별시 강동구 암사동  503번지 30호  GS칼텍스,강동구,암사동
판매사업,삼표용산가스,서울특별시 용산구 원효로3가  49번지 10호  ,용산구,원효로3가
충전사업,삼영가스,서울특별시 구로구 개봉동  325번지 18호  ,구로구,개봉동
판매사업,상일가스,서울특별시 구로구 구로동  153번지 6호  ,구로구,구로동
판매사업,대성가스,서울특별시 마포구 성산동  240번지 5호  ,마포구,성산동
판매사업,유공가스,서울특별시 관악구 신림동  1459번지 27호  ,관악구,신림동
판매사업,대성종합가스,서울특별시 영등포구 문래동4가  10번지 14호  ,영등포구,문래동4가
판매사업,동남가스,서울특별시 동작구 상도동  261번지 10호  ,동작구,상도동
판매사업,대한대성가스,서울특별시 금천구 시흥동  802번지 14호  ,금천구,시흥동
판매사업,동양가스,서울특별시 금천구 시흥동  895번지 4호  ,금천구,시흥동
판매사업,삼성가스상사,서울특별시 영등포구 당산동3가  396번지 12호  ,영등포구,당산동3가
판매사업,태아가스,서울특별시 서대문구 창천동  67번지 14호  ,서대문구,창천동
판매사업,제일가스,서울특별시 은평구 대조동  179번지 8호  ,은평구,대조동
판매사업,동아가스,서울특별시 중구 신당동  377번지 92호  ,중구,신당동
판매사업,sk 가스,서울특별시 강남구 논현동  243번지 5호  ,강남구,논현동
판매사업,금강가스,서울특별시 구로구 개봉동  279번지 6호  ,구로구,개봉동
판매사업,영진가스,서울특별시 금천구 독산동  297번지 2호  ,금천구,독산동
판매사업,대성가스,서울특별시 은평구 갈현동  503번지 27호  ,은평구,갈현동
판매사업,일신가스,서울특별시 은평구 불광동  523번지  ,은평구,불광동
판매사업,동양가스,서울특별시 관악구 봉천동  1565번지 6호  ,관악구,봉천동
판매사업,난곡가스,서울특별시 관악구 신림동  613번지 9호  ,관악구,신림동
판매사업,동부삼성가스,서울특별시 강동구 암사동  511번지 3호  ,강동구,암사동
판매사업,대한가스,서울특별시 강남구 논현동  233번지 12호  ,강남구,논현동
판매사업,동방가스,서울특별시 금천구 시흥동  992번지 21호  ,금천구,시흥동
판매사업,동아가스,서울특별시 양천구 신정동  296번지 121호  ,양천구,신정동
판매사업,흥국가스,서울특별시 강서구 화곡동  373번지 6호  ,강서구,화곡동
판매사업,대성가스,서울특별시 양천구 목동  530번지 9호  ,양천구,목동
판매사업,유공형제가스,서울특별시 양천구 신정동  916번지 9호  ,양천구,신정동
판매사업,화남가스,서울특별시 양천구 목동  406번지 274호  ,양천구,목동
판매사업,자문가스,서울특별시 종로구 부암동  158번지  ,종로구,부암동
판매사업,동양가스,서울특별시 서대문구 남가좌동  268번지 30호  ,서대문구,남가좌동
판매사업,대한가스,서울특별시 종로구 혜화동  110번지 4호  ,종로구,혜화동
판매사업,성북제일가스,서울특별시 성북구 보문동1가  40번지  ,성북구,보문동1가
판매사업,삼표제일가스,서울특별시 서대문구 창천동  5번지 72호  ,서대문구,창천동
판매사업,동원가스,서울특별시 구로구 오류동  31번지 7호  ,구로구,오류동
판매사업,용산합동가스,서울특별시 용산구 원효로1가  115번지 2호  ,용산구,원효로1가
판매사업,명수가스,서울특별시 동작구 흑석동  143번지 24호  ,동작구,흑석동
판매사업,명수가스,서울특별시 동작구 신대방동  687번지 15호  ,동작구,신대방동
판매사업,태아가스,서울특별시 종로구 원남동  95번지  ,종로구,원남동
판매사업,남부가스,서울특별시 관악구 신림동   1596-14,관악구,신림동
판매사업,서울가스,서울특별시 마포구 망원동  399번지 38호  ,마포구,망원동
판매사업,삼일가스,서울특별시 마포구 동교동  204번지 6호  ,마포구,동교동
판매사업,신대양가스,서울특별시 마포구 공덕동  255번지 23호  ,마포구,공덕동
충전사업,연일가스산업(주),서울특별시 서대문구 북가좌동  392번지 27호  ,서대문구,북가좌동
충전사업,한양에너지(주),서울특별시 광진구 중곡동  237번지 8호  ,광진구,중곡동
충전사업,동일석유(주)남부충전,서울특별시 강남구 대치동  50번지 8호  ,강남구,대치동
충전사업,(주)청학에너지,서울특별시 강북구 번동  267번지  ,강북구,번동
충전사업,풍림에너지,서울특별시 중랑구 면목동  169번지 6   호  ,중랑구,면목동
충전사업,기린에너지,서울특별시 영등포구 양평동4가  158번지  ,영등포구,양평동4가
충전사업,(주)해양가스,서울특별시 광진구 자양동  628번지 19호  ,광진구,자양동
충전사업,우일에너지(주),서울특별시 성북구 하월곡동  88번지 681호  ,성북구,하월곡동
충전사업,국제가스공업(주),서울특별시 강북구 수유동  48번지 23호  ,강북구,수유동
충전사업,한일가스산업(주),서울특별시 구로구 구로동  600번지 6호  ,구로구,구로동
충전사업,양평동충전소,서울특별시 영등포구 양평동3가  59번지  ,영등포구,양평동3가
판매사업,고려가스상사,서울특별시 성동구 홍익동  77번지  ,성동구,홍익동
충전사업,주식회사 행복에너지,서울특별시 도봉구 방학동  707번지 2호  ,도봉구,방학동
충전사업,서울와사공업(주),서울특별시 강북구 번동  446번지 31호  ,강북구,번동
충전사업,대성산업(주)오류동충전소,서울특별시 구로구 오류동  74번지 8호  오류가스충전소,구로구,오류동
충전사업,공항충전소,서울특별시 강서구 외발산동  142번지 1호  ,강서구,외발산동
