사업종류,상호,주소,자치구,법정동
판매사업,대흥가스,서울특별시 강서구 화곡동  1013번지 14호  ,강서구,화곡동
충전사업,(주)평안에너지,서울특별시 노원구 중계동  515번지 5호  ,노원구,중계동
판매사업,태양가스,서울특별시 관악구 신림동  1634번지 13호  ,관악구,신림동
판매사업,중앙가스,서울특별시 관악구 봉천동  1538번지 8호  ,관악구,봉천동
판매사업,광일가스,서울특별시 종로구 충신동  27번지 52호  ,종로구,충신동
충전사업,둔촌충전소,서울특별시 강동구 둔촌동  115번지 1호  외 3필지,강동구,둔촌동
충전사업,복지둔촌충전소,서울특별시 강동구 둔촌동  115번지 1호  복지둔촌충전소,강동구,둔촌동
판매사업,동서가스,서울특별시 강서구 화곡동  1013번지 14호  ,강서구,화곡동
판매사업,한국샤인,서울특별시 구로구 온수동  100번지 10호  ,구로구,온수동
판매사업,동방에너지,서울특별시 구로구 구로동  454번지 66호  외 1필지,구로구,구로동
충전사업,비케이서비스산업(주)신흥충전소,서울특별시 양천구 신월동  53번지 1호  ,양천구,신월동
판매사업,양심가스,서울특별시 노원구 월계동  508번지 24호  ,노원구,월계동
충전사업,(주)홍릉가스,서울특별시 동대문구 청량리동  205번지 776호  ,동대문구,청량리동
판매사업,중앙가스,서울특별시 서대문구 홍제동  47번지 19호  ,서대문구,홍제동
판매사업,합동에너지,서울특별시 구로구 고척동   ,구로구,고척동
판매사업,한신가스,서울특별시 성북구 정릉동  289번지 30호  ,성북구,정릉동
가스용품제조사업,중앙메탈,서울특별시 중랑구 상봉동  127번지 21호  ,중랑구,상봉동
판매사업,한진에너지,서울특별시 강서구 방화동  330번지 15호  ,강서구,방화동
판매사업,우리가스,서울특별시 성동구 옥수동  520번지 19호  ,성동구,옥수동
판매사업,평화가스,서울특별시 중구 다동  51번지 2호  ,중구,다동
판매사업,삼성가스,서울특별시 중구 광희동1가  48번지  ,중구,광희동1가
판매사업,동방에너지,경기도 의왕시 고천동  439번지 55호  ,의왕시,고천동
충전사업,대양가스충전소,서울특별시 강서구 가양동  449번지 13호  ,강서구,가양동
판매사업,삼표가스,서울특별시 은평구 신사동  35번지 1호  ,은평구,신사동
