노드 유형 코드,시군구코드,시군구명,읍면동코드,읍면동명,육교,Longitude,Latitude
0.0,1111000000,종로구,1111016400,종로6가,1,127.00929851256471,37.569830611192224
0.0,1111000000,종로구,1111016400,종로6가,1,127.00709654989735,37.56976982884835
0.0,1111000000,종로구,1111016400,종로6가,1,127.00930344261518,37.56988138272497
0.0,1111000000,종로구,1111015800,예지동,1,127.00019246086138,37.56926064851388
0.0,1111000000,종로구,1111012300,서린동,1,126.97867468075367,37.5692220191358
0.0,1111000000,종로구,1111017400,창신동,1,127.01014673600021,37.56987659240611
0.0,1111000000,종로구,1111016400,종로6가,1,127.00710044668999,37.569734645661015
0.0,1111000000,종로구,1111017500,숭인동,1,127.01914196693379,37.57122886047503
0.0,1111000000,종로구,1111018600,신영동,1,126.96127129391343,37.6019869860104
0.0,1111000000,종로구,1111015400,장사동,1,126.99607183406314,37.56872644324753
0.0,1111000000,종로구,1111015800,예지동,1,127.00013359510196,37.56941426432589
0.0,1111000000,종로구,1111012300,서린동,1,126.97942729194489,37.569210098748336
0.0,1111000000,종로구,1111012300,서린동,1,126.97917597620977,37.569228881648804
0.0,1111000000,종로구,1111017400,창신동,1,127.01014955779972,37.569823675508644
0.0,1111000000,종로구,1111017500,숭인동,1,127.01915058728882,37.57120826232624
0.0,1111000000,종로구,1111012300,서린동,1,126.98137429054464,37.56908155484258
0.0,1111000000,종로구,1111012300,서린동,1,126.98136872546354,37.56903939274157
0.0,1111000000,종로구,1114016200,신당동,1,127.01561353995251,37.56975576530333
0.0,1111000000,종로구,1111013500,관철동,1,126.98463636972077,37.56868321722266
0.0,1111000000,종로구,1111013500,관철동,1,126.98461769773355,37.5686485223476
0.0,1111000000,종로구,1111013500,관철동,1,126.9873764419514,37.568200297886236
0.0,1111000000,종로구,1111015500,관수동,1,126.99082470878713,37.56835056974095
0.0,1111000000,종로구,1111015500,관수동,1,126.99083300961807,37.568308749879115
0.0,1111000000,종로구,1111015400,장사동,1,126.9961576699689,37.56870267022986
0.0,1111000000,종로구,1111016300,종로5가,1,127.00244447006574,37.56973303919047
0.0,1111000000,종로구,1111012300,서린동,1,126.97867599673944,37.56925897501828
0.0,1111000000,종로구,1111018600,신영동,1,126.96108651984895,37.602128831272644
0.0,1111000000,종로구,1111015800,예지동,1,127.00046603020982,37.56933322150643
0.0,1111000000,종로구,1111018300,평창동,1,126.9684269478932,37.60626638644889
0.0,1111000000,종로구,1111018300,평창동,1,126.96851196751217,37.60614999339901
0.0,1111000000,종로구,1111018600,신영동,1,126.96213626388878,37.60352381491358
0.0,1111000000,종로구,1111018600,신영동,1,126.96140414155813,37.603608977428664
0.0,1111000000,종로구,1111018300,평창동,1,126.96864194159727,37.60616165986807
0.0,1111000000,종로구,1111018600,신영동,1,126.96140136661784,37.603608630658435
0.0,1111000000,종로구,1111018600,신영동,1,126.96227206459432,37.60393714316754
0.0,1111000000,종로구,1111012300,서린동,1,126.97924075439786,37.56920818441897
0.0,1111000000,종로구,1111013500,관철동,1,126.98743803883075,37.56823671648063
0.0,1111000000,종로구,1111018700,무악동,1,126.96025700364737,37.578964031377325
0.0,1111000000,종로구,1111018700,무악동,1,126.96164728602496,37.577985490802156
0.0,1111000000,종로구,1111017600,교남동,1,126.96439976075217,37.56841438437971
0.0,1111000000,종로구,1111017400,창신동,1,127.01565180055535,37.5699253380605
0.0,1111000000,종로구,1111017500,숭인동,1,127.0190036746936,37.57120766079624
2.0,1111000000,종로구,1111017600,교남동,1,126.9645267774511,37.56827639221446
0.0,1111000000,종로구,1111017600,교남동,1,126.96428168289928,37.56851721499537
0.0,1111000000,종로구,1111018600,신영동,1,126.96129523516065,37.60211529419921
0.0,1111000000,종로구,1111017400,창신동,1,127.01565920244559,37.569726273858045
0.0,1111000000,종로구,1111018600,신영동,1,126.96135464383643,37.60220045662735
0.0,1111000000,종로구,1111018600,신영동,1,126.96110921577083,37.60225578839798
0.0,1111000000,종로구,1111018600,신영동,1,126.96185800185964,37.603777083785324
0.0,1111000000,종로구,1111018300,평창동,1,126.96830521004509,37.60624806420481
0.0,1111000000,종로구,1111018300,평창동,1,126.96856406661395,37.60632742084186
0.0,1111000000,종로구,1111018300,평창동,1,126.96838217792502,37.606083114126704
0.0,1111000000,종로구,1111018600,신영동,1,126.96196790370622,37.6034166933586
0.0,1111000000,종로구,1111018600,신영동,1,126.96137731205717,37.603697010289494
0.0,1111000000,종로구,1111018600,신영동,1,126.96141929190043,37.60354250420213
0.0,1111000000,종로구,1111018600,신영동,1,126.96224540022796,37.6035908840753
0.0,1111000000,종로구,1111018600,신영동,1,126.96102937384427,37.60204772303961
0.0,1111000000,종로구,1111018600,신영동,1,126.96195271077632,37.60392902073058
0.0,1111000000,종로구,1111018600,신영동,1,126.96214670434661,37.603926020224854
0.0,1111000000,종로구,1111012300,서린동,1,126.97938750657879,37.56920582624865
0.0,1111000000,종로구,1111016300,종로5가,1,127.0024455735943,37.56968906328651
0.0,1114000000,중구,1114017300,만리동1가,1,126.9677377783436,37.55508544895619
0.0,1114000000,중구,1114017300,만리동1가,1,126.96884406184451,37.55639510962906
0.0,1114000000,중구,1114017300,만리동1가,1,126.9678557736077,37.55522533182525
0.0,1114000000,중구,1114014200,예장동,1,126.99268914513722,37.55711592659268
0.0,1114000000,중구,1114011200,남창동,1,126.97693958921292,37.55766756201086
0.0,1114000000,중구,1114010100,무교동,1,126.97941638994004,37.569012954088926
0.0,1114000000,중구,1114012100,회현동1가,1,126.98360459344836,37.5532261734469
0.0,1114000000,중구,1114017100,중림동,1,126.96907521448446,37.557014218695095
0.0,1114000000,중구,1114017300,만리동1가,1,126.96905421713852,37.55565367997419
0.0,1114000000,중구,1114012000,봉래동2가,1,126.96982130723455,37.556722623745536
0.0,1114000000,중구,1114017300,만리동1가,1,126.96753674826077,37.55490263335736
0.0,1114000000,중구,1114014400,장충동2가,1,127.00245456127195,37.56232654347127
0.0,1114000000,중구,1114012100,회현동1가,1,126.98144813559693,37.55559396485077
0.0,1114000000,중구,1114012100,회현동1가,1,126.98137202587401,37.555354336776766
0.0,1114000000,중구,1114014400,장충동2가,1,127.00286565988908,37.56213200904109
0.0,1114000000,중구,1114010100,무교동,1,126.97916337325589,37.569033506462226
0.0,1114000000,중구,1114011800,남대문로5가,1,126.97516951412804,37.55697446401617
0.0,1114000000,중구,1114014400,장충동2가,1,127.00247467898672,37.562134306414954
0.0,1114000000,중구,1114017300,만리동1가,1,126.96859680541063,37.55648429693406
0.0,1114000000,중구,1114010100,무교동,1,126.97935760136774,37.5690461007936
0.0,1114000000,중구,1114010100,무교동,1,126.97922582543677,37.56904369379499
0.0,1114000000,중구,1114014200,예장동,1,126.98740392742488,37.55795766126016
0.0,1114000000,중구,1114016200,신당동,1,127.01602736598475,37.55320837668611
0.0,1114000000,중구,1114010100,무교동,1,126.97803881671028,37.56912007242673
0.0,1114000000,중구,1114014800,을지로6가,1,127.00931862495058,37.56972059789929
0.0,1114000000,중구,1114012900,남산동2가,1,126.98694398466,37.55790497503617
0.0,1114000000,중구,1114015600,입정동,1,126.99266157094564,37.56831574328899
0.0,1114000000,중구,1114010200,다동,1,126.98015712698519,37.56896214553434
0.0,1114000000,중구,1114014800,을지로6가,1,127.00714240781991,37.56962255550488
