노드 유형 코드,시군구코드,시군구명,읍면동코드,읍면동명,횡단보도,Longitude,Latitude
0.0,1111000000,종로구,1111016900,혜화동,1,126.99929873885362,37.589729124195195
0.0,1111000000,종로구,1111016900,혜화동,1,126.9991242525229,37.58967734906277
0.0,1111000000,종로구,1111011900,세종로,1,126.97665069643799,37.57034272992312
0.0,1111000000,종로구,1111017500,숭인동,1,127.01928200813744,37.574139651006014
0.0,1111000000,종로구,1111017500,숭인동,1,127.01923576471395,37.574222510390996
0.0,1111000000,종로구,1111017500,숭인동,1,127.01882506509827,37.57382672890213
0.0,1111000000,종로구,1111017500,숭인동,1,127.01870078209049,37.57403848114666
0.0,1111000000,종로구,1111017500,숭인동,1,127.01891696023999,37.57132044534015
0.0,1111000000,종로구,1111017400,창신동,1,127.0187087491502,37.57121000934391
0.0,1111000000,종로구,1111011100,옥인동,1,126.97076778784846,37.58152579911299
0.0,1111000000,종로구,1111013800,종로2가,1,126.98785051415855,37.56991610045025
0.0,1111000000,종로구,1111016900,혜화동,1,126.9989512414859,37.58988562019792
0.0,1111000000,종로구,1111010800,통인동,1,126.97077816936478,37.58144461057936
0.0,1111000000,종로구,1111016700,충신동,1,127.00550945115214,37.57494548569679
0.0,1111000000,종로구,1111012100,신문로2가,1,126.97029727200167,37.569354063669
0.0,1111000000,종로구,1111011900,세종로,1,126.9774587328279,37.569336587353035
0.0,1111000000,종로구,1111015500,관수동,1,126.99012211932565,37.568297141625095
0.0,1111000000,종로구,1111015200,봉익동,1,126.9932194900848,37.57267232656126
0.0,1111000000,종로구,1111015500,관수동,1,126.99224494492174,37.56845855798883
0.0,1111000000,종로구,1111015400,장사동,1,126.99249846867598,37.568475047964434
0.0,1111000000,종로구,1111015400,장사동,1,126.99511390833929,37.568655806372284
0.0,1111000000,종로구,1111017400,창신동,1,127.0153936847833,37.573076674726465
0.0,1111000000,종로구,1111016400,종로6가,1,127.00999491733063,37.56987560488747
0.0,1111000000,종로구,1111017400,창신동,1,127.01250062107401,37.56989825144273
2.0,1111000000,종로구,1111012600,종로1가,1,126.98144490483219,37.57026886128808
0.0,1111000000,종로구,1111017000,명륜1가,1,126.99826678639148,37.58984575206203
0.0,1111000000,종로구,1111014600,가회동,1,126.98515167097035,37.582023279802705
0.0,1111000000,종로구,1111014600,가회동,1,126.98499198658386,37.5820279663389
0.0,1111000000,종로구,1111016900,혜화동,1,127.0009970613275,37.58592614854478
0.0,1111000000,종로구,1111016900,혜화동,1,127.00139356558338,37.586011552262235
2.0,1111000000,종로구,1111016900,혜화동,1,127.00176026196631,37.586246418621705
0.0,1111000000,종로구,1111016900,혜화동,1,127.00153666333087,37.58595698443485
