지번주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y),자치구,법정동
서울특별시 동작구 신대방동 686-44,에이치디현대오일뱅크(주)직영 신대방 셀프 주유소,주유소,191585.298671366,442773.741552274,동작구,신대방동
서울특별시 강서구 오곡동,(주)세일로,항공유판매소,181730.49281718,450260.017880423,강서구,오곡동
서울특별시 도봉구 도봉동 298-2,이케이에너지 주식회사,주유소,203929.510429288,465113.655837614,도봉구,도봉동
서울특별시 영등포구 여의도동 13-11,KH에너지(주) 직영 KH여의도주유소,주유소,192893.607786708,447619.813593085,영등포구,여의도동
서울특별시 강서구 가양동 151-1,KH에너지(주)직영 가양주유소,주유소,185963.416002607,451955.916656834,강서구,가양동
서울특별시 구로구 구로동 1131-4,에이치디현대오일뱅크(주) 직영 구로셀프주유소,주유소,191020.468454034,442095.3475487,구로구,구로동
서울특별시 용산구 서빙고동 37,(주)남경주유소,주유소,199330.560093609,446670.60098533,용산구,서빙고동
서울특별시 용산구 한남동 704-14,(주)중앙에너비스 한남지점,주유소,200469.015383985,448053.840358266,용산구,한남동
서울특별시 용산구 동자동 14-125,동자동주유소,주유소,197480.045243754,449769.124271782,용산구,동자동
서울특별시 중구 장충동2가 186-69 ,씨앤에스유통(주) 장충드림주유소,주유소,200232.378993702,450952.587691437,중구,장충동2가
서울특별시 용산구 한강로1가 231-23 ,용산에너지,일반판매소,197570.006193384,447953.578982142,용산구,한강로1가
서울특별시 용산구 한강로3가 16-91 한강그랜드오피스텔 711호,(주)에이치아이씨,용제판매소,195956.83241222,447651.530984522,용산구,한강로3가
서울특별시 용산구 한강로2가 244-1 ,(주)하나유화,용제판매소,197231.546341055,447661.066844491,용산구,한강로2가
서울특별시 용산구 원효로3가 43-3 ,(주)신태성주유소,주유소,196326.996964933,448040.140460283,용산구,원효로3가
서울특별시 성동구 도선동 185-23,"한진석유, 실내등유배달, 난방유, 경유배달",일반판매소,202939.325880101,451358.525300862,성동구,도선동
서울특별시 용산구 원효로3가 99,쌍용석유,일반판매소,196200.099737911,447987.019176963,용산구,원효로3가
서울특별시 성동구 성수동1가 13-11 ,세원주유소,주유소,204392.856124013,449850.388293108,성동구,성수동1가
서울특별시 송파구 잠실동 305-11,(주)삼표에너지 아시아주유소,주유소,206771.316312067,444711.67778875,송파구,잠실동
서울특별시 성동구 홍익동 ,L?G 중앙석유,일반판매소,202768.836112214,451684.742754053,성동구,홍익동
서울특별시 성동구 사근동 185-7 ,세일에너지,일반판매소,204067.044891674,450871.215419671,성동구,사근동
서울특별시 성동구 용답동 236-1,SK에너지(주) 군자동주유소,주유소,205968.822217882,450921.907971717,성동구,용답동
서울특별시 성동구 성수동2가 331-27 ,동남 석유,일반판매소,204837.877389044,448465.047170851,성동구,성수동2가
서울특별시 성동구 송정동 73-515 ,명일,일반판매소,205982.153936466,449813.862090741,성동구,송정동
서울특별시 성동구 옥수동 449-5 ,옥수 주유소,주유소,200935.024540138,448752.101959016,성동구,옥수동
서울특별시 성동구 성수동1가 283 ,금방에너지,일반판매소,204506.175316563,448470.94145322,성동구,성수동1가
서울특별시 성동구 성수동2가 272-40 ,비상에너지,일반판매소,205277.130890328,448726.553247084,성동구,성수동2가
서울특별시 성동구 성수동2가 289-2 ,협진제유산업(주)동일주유소,주유소,205042.205570984,449578.219821759,성동구,성수동2가
서울특별시 성동구 성수동1가 33-21 비즈웰 오피스텔 318호 ,제이앤에스켐(주),용제판매소,204321.668356854,448817.329182521,성동구,성수동1가
서울특별시 성동구 송정동 83-3,KLP제2주유소,주유소,206150.172716362,450194.23170282,성동구,송정동
서울특별시 성동구 성수동2가 277-141,등유배달경유난방유기름배달보관,일반판매소,205088.472341397,449096.144779246,성동구,성수동2가
서울특별시 성동구 금호동4가 1526,등유경유배달 실내등유 고체 면세유 24시 외상가,일반판매소,201311.491347486,449288.246801163,성동구,금호동4가
서울특별시 동대문구 휘경동 317-87 한영오일뱅크,한영주유소,주유소,205019.926906417,454019.086975812,동대문구,휘경동
서울특별시 동대문구 전농동 581-24 배봉주유소,배봉로주유소,주유소,204439.700905707,453080.827647054,동대문구,전농동
서울특별시 광진구 중곡동 58-17 ,용마주유소,주유소,207692.88041461,450833.8203673,광진구,중곡동
서울특별시 광진구 중곡동 18-70 ,대원주유소,주유소,207616.470359765,451366.387432701,광진구,중곡동
서울특별시 양천구 목동 905-30,(주)삼표에너지 목동주유소,주유소,188927.645388223,447776.305139932,양천구,목동
서울특별시 광진구 광장동 239-6,삼호주유소,주유소,209097.562536093,449268.831160798,광진구,광장동
서울특별시 광진구 자양동 774-15,서울석유,일반판매소,207081.404172635,448347.52117467,광진구,자양동
서울특별시 노원구 공릉동 230-17 태릉솔밭주유소,(유한)동하석유 태릉솔밭지점,주유소,207486.11913221,458182.990310787,노원구,공릉동
서울특별시 동대문구 답십리동 2-51,오동나무주유소,주유소,205534.707135766,451850.933336121,동대문구,답십리동
서울특별시 광진구 화양동 302-13,(주)창원씨더블유,주유소,207044.091525992,449207.874363233,광진구,화양동
서울특별시 동대문구 청량리동 56-7 ,동신,일반판매소,204092.060878611,453748.949543637,동대문구,청량리동
서울특별시 동대문구 휘경동 275-6 ,(주)안국에너지 삼원주유소,주유소,205518.080890579,454209.95759739,동대문구,휘경동
서울특별시 영등포구 영등포동7가 94-160,성원이앤에스(주)영등포지점,주유소,191808.957465525,447031.432915014,영등포구,영등포동7가
서울특별시 동대문구 청량리동 205-86,(주)홍릉주유소,주유소,203698.354286471,453959.827645693,동대문구,청량리동
서울특별시 동대문구 휘경동 275-6,(주)안국에너지 삼원주유소,주유소,205518.080890579,454209.95759739,동대문구,휘경동
