자치구,행정동,보육시설정원,보육시설현원,보육시설포화도
은평구,응암2동,924,842,0.91
은평구,신사1동,745,413,0.55
은평구,신사2동,399,337,0.84
은평구,증산동,445,364,0.82
은평구,수색동,170,149,0.88
은평구,진관동,1542,1091,0.71
은평구,불광2동,384,256,0.67
은평구,응암3동,339,283,0.83
은평구,역촌동,1087,818,0.75
서대문구,천연동,457,364,0.8
서대문구,홍제1동,609,418,0.69
서대문구,홍제3동,508,403,0.79
서대문구,홍제2동,289,202,0.7
서대문구,홍은1동,248,225,0.91
서대문구,홍은2동,291,157,0.54
서대문구,남가좌1동,499,465,0.93
서대문구,남가좌2동,734,593,0.81
서대문구,북가좌1동,417,370,0.89
서대문구,북가좌2동,419,338,0.81
서대문구,충현동,505,418,0.83
서대문구,북아현동,517,448,0.87
서대문구,신촌동,467,296,0.63
서대문구,연희동,630,453,0.72
마포구,용강동,488,369,0.76
마포구,대흥동,257,183,0.71
마포구,염리동,385,282,0.73
마포구,신수동,484,404,0.83
마포구,서교동,355,260,0.73
마포구,합정동,372,254,0.68
마포구,망원1동,446,320,0.72
마포구,망원2동,401,351,0.88
마포구,연남동,160,111,0.69
마포구,성산1동,213,178,0.84
마포구,성산2동,944,709,0.75
마포구,상암동,1279,968,0.76
마포구,도화동,463,371,0.8
마포구,서강동,716,553,0.77
마포구,공덕동,541,448,0.83
마포구,아현동,905,703,0.78
양천구,목1동,254,210,0.83
양천구,목2동,654,498,0.76
양천구,목3동,554,434,0.78
양천구,목4동,359,292,0.81
양천구,신월1동,704,418,0.59
양천구,신월2동,686,548,0.8
양천구,신월3동,442,291,0.66
양천구,신월4동,523,394,0.75
양천구,신월5동,427,328,0.77
양천구,신월6동,552,470,0.85
양천구,신월7동,522,352,0.67
양천구,신정1동,338,290,0.86
양천구,신정2동,281,231,0.82
양천구,신정3동,988,837,0.85
양천구,신정6동,428,352,0.82
양천구,신정7동,537,420,0.78
양천구,목5동,614,511,0.83
양천구,신정4동,718,537,0.75
강서구,염창동,1271,978,0.77
강서구,등촌1동,411,372,0.91
강서구,등촌2동,364,254,0.7
강서구,등촌3동,660,461,0.7
강서구,화곡본동,1038,813,0.78
강서구,화곡2동,518,403,0.78
