주소,업소구분,lat,lng,자치구,법정동,ADM_NM
"서울특별시 서초구 방배동  443번지 2호  , 24, 27호",가스충전소,126.982141,37.4790811,서초구,방배동,방배2동
서울특별시 강서구 마곡동  25번지 2  호  ,가스충전소,126.8350016,37.5715084,강서구,마곡동,가양1동
서울특별시 강서구 마곡동  25번지 2호  ,가스충전소,126.8350016,37.5715084,강서구,마곡동,가양1동
서울특별시 영등포구 양평동2가  35번지 7호  ,가스충전소,126.8840818,37.5257462,영등포구,양평동2가,양평1동
서울특별시 양천구 신월동  998번지 4호  ,가스충전소,126.8376538,37.5198847,양천구,신월동,신월7동
서울특별시 송파구 오금동  31번지 4호  ,가스충전소,127.1319197,37.5067755,송파구,오금동,오금동
서울특별시 노원구 공릉동  690번지 11호  ,가스충전소,127.0722299,37.619111,노원구,공릉동,공릉1동
서울특별시 동대문구 휘경동  267번지 10호  ,가스충전소,127.0608757,37.589899,동대문구,휘경동,휘경1동
서울특별시 동대문구 장안동  413번지 6호  ,가스충전소,127.0585688,37.5632732,동대문구,장안동,장안1동
서울특별시 강남구 도곡동  552번지 5호  ,가스충전소,127.0353395,37.4904431,강남구,도곡동,도곡1동
서울특별시 강동구 성내동  19번지 1호  LPG 충전소,가스충전소,127.129471,37.535901,강동구,성내동,성내2동
서울특별시 성북구 장위동  44번지 3호  ,가스충전소,127.0595728,37.6136702,성북구,장위동,장위3동
서울특별시 송파구 잠실동  336번지 9호  ,가스충전소,127.0866524,37.504494,송파구,잠실동,잠실본동
서울특별시 관악구 신림동  112번지 46호  ,가스충전소,126.9340611,37.4733416,관악구,신림동,서림동
서울특별시 중랑구 망우동  340번지 16호  ,가스충전소,127.1027992,37.6007191,중랑구,망우동,망우본동
서울특별시 강서구 등촌동  534번지 12호  ,가스충전소,126.859618,37.5530697,강서구,등촌동,등촌2동
서울특별시 송파구 석촌동  183번지 1호  ,가스충전소,127.1031008,37.5078636,송파구,석촌동,석촌동
서울특별시 강서구 화곡동  898번지 3호  ,가스충전소,126.8471804,37.5303673,강서구,화곡동,화곡1동
서울특별시 영등포구 문래동6가  1-3번지  ,가스충전소,126.8884847,37.5175094,영등포구,문래동6가,문래동
서울특별시 동대문구 답십리동  1번지 478호  ,가스충전소,127.0670794,37.5744346,동대문구,답십리동,답십리2동
서울특별시 중랑구 중화동  208번지 11호  ,가스충전소,127.0764612,37.5946527,중랑구,중화동,중화2동
서울특별시 강남구 논현동  207번지  ,가스충전소,127.0312569,37.5137796,강남구,논현동,논현2동
서울특별시 금천구 독산동  1059번지  ,가스충전소,126.8983381,37.4618555,금천구,독산동,독산2동
서울특별시 도봉구 쌍문동  715번지 1호  ,가스충전소,127.0410602,37.6607978,도봉구,쌍문동,쌍문2동
서울특별시 도봉구 창동  643번지 2호  ,가스충전소,127.0329145,37.644238,도봉구,창동,창2동
서울특별시 강남구 도곡동  552번지 5호  ,가스충전소,127.0353395,37.4904431,강남구,도곡동,도곡1동
서울특별시 동작구 대방동  334번지  ,가스충전소,126.9288439,37.4994656,동작구,대방동,대방동
서울특별시 관악구 봉천동  1594번지 8호  ,가스충전소,126.9532216,37.4744176,관악구,봉천동,낙성대동
서울특별시 구로구 개봉동  175번지 16호  ,가스충전소,126.8597711,37.4954941,구로구,개봉동,개봉1동
서울특별시 강남구 대치동  21번지 1호  ,가스충전소,127.0755623,37.4978036,강남구,대치동,개포3동
