교육지원청명,자치구,유치원명,공립/사립,유형,주소,,Latitude,Longitude,운영시간,만3세학급수,만4세학급수,만5세학급수,혼합학급수,특수학급수,만3세유아수,만4세유아수,만5세유아수,혼합유아수,특수유아수,보직교사수,일반교사수,특수교사수,기간제교사수,총 교사수
북부교육지원청,노원구,희산유치원(노원구),사립,사인,서울특별시 노원구 덕릉로 459-18,,37.6462241,127.0609521,09시00분~20시00분,1,1,1,0,0,10,15,24,0,0,0,5,0,6,11
성북강북교육지원청,성북구,동선유치원(성북구),사립,법인,서울특별시 성북구 보문로 98,,37.584096,127.0203372,07시00분~20시00분,1,1,1,0,0,8,11,10,0,0,0,4,0,0,4
성북강북교육지원청,성북구,명덕유치원(성북구),사립,사인,서울특별시 성북구 삼양로 74,,37.6098364,127.0229669,09시00분~18시00분,0,1,1,0,0,0,4,7,0,0,0,2,0,0,2
강동송파교육지원청,강동구,녹원유치원(강동구),사립,사인,서울특별시 강동구 상암로63길 39-10,,37.5485023,127.1535715,09시30분~18시00분,3,1,0,0,0,74,31,0,0,0,0,7,0,0,7
강서양천교육지원청,양천구,서울양목초등학교병설유치원(양천구),공립,병설,서울특별시 양천구 목동로11길 30,,37.5236893,126.8612281,07시00분~20시00분,1,1,2,0,1,6,11,24,0,4,1,2,1,6,10
강서양천교육지원청,양천구,세진유치원(양천구),사립,사인,서울특별시 양천구 월정로46길 9,,37.5409064,126.8327593,09시00분~18시00분,1,1,1,0,0,14,19,25,0,0,0,4,0,0,4
강서양천교육지원청,양천구,신정유치원(양천구),사립,사인,서울특별시 양천구 신정로7길 81-4,,37.5135691,126.8333561,09시00분~19시00분,4,4,3,0,0,66,82,74,0,0,0,13,0,0,13
남부교육지원청,영등포구,동천유치원(영등포구),사립,사인,서울특별시 영등포구 신길로40길 10,,37.5064838,126.9122039,08시30분~18시00분,1,1,1,0,0,11,24,23,0,0,0,3,0,2,5
남부교육지원청,영등포구,명신유치원(영등포구),사립,법인,서울특별시 영등포구 신길로41라길 13-9,,37.5076932,126.90837,08시00분~20시00분,1,2,2,0,0,16,44,48,0,0,0,8,0,0,8
동부교육지원청,중랑구,윤경유치원(중랑구),사립,사인,서울특별시 중랑구 숙선옹주로 91,,37.6164127,127.0848742,07시00분~19시00분,2,2,2,0,0,23,42,55,0,0,0,12,0,0,12
동부교육지원청,동대문구,한양유치원(동대문구),사립,사인,서울특별시 동대문구 답십리로 184,,37.5714093,127.0603917,09시30분~19시00분,1,2,2,0,0,8,30,29,0,0,0,8,0,0,8
남부교육지원청,금천구,양지유치원(금천구),사립,사인,서울특별시 금천구 독산로108길 37,,37.4797017,126.9059735,09시00분~22시00분,0,1,1,0,0,0,22,17,0,0,0,3,0,0,3
남부교육지원청,영등포구,우성유치원(영등포구),사립,사인,서울특별시 영등포구 도신로 68-1,,37.5053273,126.9004169,07시20분~19시20분,1,1,1,0,0,18,15,18,0,0,1,4,0,0,5
동작관악교육지원청,관악구,서울청룡초등학교병설유치원(관악구),공립,병설,서울특별시 관악구 관악로5길 61,,37.4759585,126.9512194,07시00분~20시00분,0,0,1,2,0,0,0,19,19,0,1,2,0,0,3
동작관악교육지원청,동작구,양문유치원(동작구),사립,사인,서울특별시 동작구 시흥대로 644-1,,37.4892091,126.907342,08시00분~19시00분,0,1,1,0,0,0,8,5,0,0,0,2,0,0,2
서부교육지원청,은평구,보람유치원(은평구),사립,법인,서울특별시 은평구 갈현로4길 42,,37.6000682,126.9142479,09시00분~18시30분,0,0,1,1,0,0,0,19,18,0,0,4,0,0,4
성동광진교육지원청,성동구,성심유치원(성동구),사립,법인,서울특별시 성동구 무학로10길 21,,37.5661136,127.033502,09시00분~18시00분,1,1,1,0,0,16,20,19,0,0,0,6,0,0,6
강동송파교육지원청,강동구,화랑유치원(강동구),사립,사인,서울특별시 강동구 천중로35길 37-1,,37.5429398,127.1377603,09시00분~18시00분,1,0,0,1,0,2,0,0,12,0,0,2,0,0,2
강남서초교육지원청,강남구,서울역삼초등학교병설유치원(강남구),공립,병설,서울특별시 강남구 강남대로66길 21,,37.4928011,127.0327832,07시30분~19시30분,0,1,1,0,1,0,16,14,0,2,1,1,1,0,3
동부교육지원청,동대문구,세하유치원(동대문구),사립,사인,서울특별시 동대문구 장안벚꽃로 107,,37.5697253,127.0746064,08시00분~20시00분,2,1,2,0,0,32,23,41,0,0,0,8,0,2,10
성북강북교육지원청,성북구,서울돈암초등학교병설유치원(성북구),공립,병설,서울특별시 성북구 동소문로13길 38,,37.5933531,127.0129865,07시30분~19시30분,1,1,1,0,0,5,11,20,0,0,1,2,0,3,6
성북강북교육지원청,강북구,서울수유초등학교병설유치원(강북구),공립,병설,서울특별시 강북구 삼양로74길 39,,37.6305928,127.0202757,07시30분~19시30분,1,1,1,0,1,5,12,12,0,3,1,1,1,1,4
강서양천교육지원청,강서구,공항제일유치원(강서구),사립,사인,서울특별시 강서구 개화동로23길 100,,37.5652315,126.810683,09시00분~17시00분,0,0,0,2,0,0,0,0,21,0,0,2,0,0,2
강서양천교육지원청,양천구,목동다솜유치원(양천구),사립,사인,서울특별시 양천구 월정로9길 23-4,,37.5242667,126.8387894,07시00분~22시00분,1,1,1,0,0,19,22,21,0,0,0,3,0,0,3
강서양천교육지원청,강서구,등현유치원(강서구),사립,사인,서울특별시 강서구 화곡로63가길 63,,37.5614768,126.8485409,07시00분~20시00분,2,2,3,0,0,44,52,62,0,0,0,10,0,0,10
중부교육지원청,종로구,상명사대부속유치원(종로구),사립,법인,서울특별시 종로구 홍지문2길 1,,37.6008111,126.956353,08시40분~18시00분,2,2,2,0,0,42,51,53,0,0,0,5,0,7,12
중부교육지원청,중구,서울덕수초등학교병설유치원(중구),공립,병설,서울특별시 중구 덕수궁길 140,,37.5685461,126.9745495,07시20분~19시20분,2,1,1,0,0,13,20,15,0,0,1,3,0,1,5
중부교육지원청,종로구,서울재동초등학교병설유치원(종로구),공립,병설,서울특별시 종로구 북촌로4길 7,,37.5798618,126.9856013,07시00분~19시30분,1,1,1,0,0,7,16,15,0,0,1,2,0,3,6
중부교육지원청,용산구,원유치원(용산구),사립,사인,서울특별시 용산구 이촌로81길 14,,37.5192334,126.9774684,08시00분~19시00분,2,2,3,0,0,48,56,65,0,0,0,14,0,0,14
