"동별(1)",동별(2),동별(3),2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"동별(1)",동별(2),동별(3),보육시설 정원,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 현원,보육시설 현원,보육시설 현원,보육시설 현원,보육시설 현원,보육시설 현원,보육시설 현원,보육시설 현원
"동별(1)",동별(2),동별(3),소계,국공립,사회복지법인,법인·단체 등,민간,가정,부모협동,직장,소계,국공립,사회복지법인,법인·단체 등,민간,가정,부모협동,직장
"합계",성동구,사근동,189,108,-,-,-,-,-,81,111,64,-,-,-,-,-,47
"합계",성동구,행당1동,448,340,-,-,-,59,-,49,354,260,-,-,-,55,-,39
"합계",성동구,행당2동,484,215,-,-,99,170,-,-,356,168,-,-,40,148,-,-
"합계",성동구,응봉동,232,114,-,79,-,39,-,-,129,79,-,12,-,38,-,-
"합계",성동구,금호1가동,576,358,-,79,80,59,-,-,463,284,-,79,46,54,-,-
"합계",성동구,금호4가동,346,164,-,-,122,60,-,-,266,109,-,-,97,60,-,-
"합계",성동구,성수1가1동,328,237,-,44,47,-,-,-,222,177,-,6,39,-,-,-
"합계",성동구,성수1가2동,291,186,-,-,-,39,-,66,198,113,-,-,-,33,-,52
"합계",성동구,성수2가1동,209,88,-,-,74,19,-,28,167,63,-,-,65,18,-,21
"합계",성동구,성수2가3동,274,146,-,-,79,-,-,49,177,89,-,-,75,-,-,13
"합계",성동구,송정동,278,183,-,-,78,17,-,-,156,111,-,-,29,16,-,-
"합계",성동구,용답동,504,263,-,-,192,-,-,49,295,157,-,-,118,-,-,20
"합계",성동구,왕십리도선동,753,626,-,-,-,79,-,48,545,449,-,-,-,76,-,20
"합계",성동구,금호2.3가동,659,444,-,-,157,58,-,-,495,329,-,-,112,54,-,-
"합계",성동구,옥수동,761,663,-,-,-,98,-,-,571,477,-,-,-,94,-,-
"합계",광진구,소계,6633,3031,-,-,2645,727,49,181,4937,2424,-,-,1846,549,27,91
"합계",광진구,화양동,208,120,-,-,48,40,-,-,142,96,-,-,23,23,-,-
"합계",광진구,군자동,435,241,-,-,125,38,-,31,290,209,-,-,52,24,-,5
"합계",광진구,중곡1동,163,147,-,-,-,16,-,-,126,110,-,-,-,16,-,-
"합계",광진구,중곡2동,473,208,-,-,225,40,-,-,359,184,-,-,153,22,-,-
"합계",광진구,중곡3동,686,234,-,-,452,-,-,-,494,189,-,-,305,-,-,-
"합계",광진구,중곡4동,628,171,-,-,437,20,-,-,454,140,-,-,303,11,-,-
"합계",광진구,능동,193,175,-,-,-,18,-,-,157,139,-,-,-,18,-,-
"합계",광진구,구의1동,435,175,-,-,260,-,-,-,312,125,-,-,187,-,-,-
"합계",광진구,구의2동,577,152,-,-,270,57,49,49,411,124,-,-,193,38,27,29
"합계",광진구,구의3동,478,277,-,-,65,136,-,-,373,202,-,-,49,122,-,-
"합계",광진구,광장동,491,242,-,-,83,117,-,49,373,203,-,-,68,75,-,27
"합계",광진구,자양1동,488,246,-,-,172,18,-,52,333,167,-,-,123,13,-,30
"합계",광진구,자양2동,401,196,-,-,149,56,-,-,325,161,-,-,117,47,-,-
"합계",광진구,자양3동,627,239,-,-,272,116,-,-,536,216,-,-,223,97,-,-
"합계",광진구,자양4동,350,208,-,-,87,55,-,-,252,159,-,-,50,43,-,-
"합계",동대문구,소계,7979,3855,-,204,2571,1023,-,326,6102,3144,-,119,1784,878,-,177
"합계",동대문구,회기동,184,74,-,-,-,-,-,110,122,64,-,-,-,-,-,58
"합계",동대문구,휘경1동,279,79,-,-,181,19,-,-,201,61,-,-,134,6,-,-
"합계",동대문구,휘경2동,533,177,-,99,148,76,-,33,369,113,-,66,130,53,-,7
"합계",동대문구,청량리동,297,98,-,-,128,32,-,39,194,70,-,-,86,21,-,17
"합계",동대문구,용신동,695,358,-,-,268,20,-,49,560,316,-,-,191,20,-,33
"합계",동대문구,제기동,515,312,-,-,164,39,-,-,321,224,-,-,63,34,-,-
"합계",동대문구,전농1동,687,371,-,49,210,57,-,-,486,297,-,17,115,57,-,-
"합계",동대문구,전농2동,490,220,-,-,127,78,-,65,324,181,-,-,41,62,-,40
"합계",동대문구,답십리1동,777,473,-,-,213,91,-,-,616,356,-,-,176,84,-,-
"합계",동대문구,답십리2동,743,227,-,56,360,100,-,-,645,205,-,36,310,94,-,-
"합계",동대문구,장안1동,1115,660,-,-,237,218,-,-,941,566,-,-,176,199,-,-
"합계",동대문구,장안2동,774,470,-,-,131,173,-,-,653,412,-,-,89,152,-,-
"합계",동대문구,이문1동,341,101,-,-,170,40,-,30,209,96,-,-,69,22,-,22
"합계",동대문구,이문2동,549,235,-,-,234,80,-,-,461,183,-,-,204,74,-,-
"합계",중랑구,소계,9760,4166,-,325,4019,952,26,272,7387,3182,-,220,3068,736,17,164
"합계",중랑구,면목2동,581,195,-,-,348,38,-,-,423,125,-,-,260,38,-,-
"합계",중랑구,면목4동,405,195,-,-,171,39,-,-,288,156,-,-,113,19,-,-
"합계",중랑구,면목5동,290,162,-,-,128,-,-,-,246,151,-,-,95,-,-,-
"합계",중랑구,면목7동,531,195,-,-,324,12,-,-,467,173,-,-,283,11,-,-
"합계",중랑구,상봉1동,479,273,-,-,129,77,-,-,387,202,-,-,120,65,-,-
"합계",중랑구,상봉2동,336,69,-,151,116,-,-,-,251,40,-,120,91,-,-,-
"합계",중랑구,중화1동,467,179,-,-,191,97,-,-,364,101,-,-,170,93,-,-
"합계",중랑구,중화2동,397,250,-,-,147,-,-,-,312,185,-,-,127,-,-,-
"합계",중랑구,묵1동,799,302,-,88,229,180,-,-,539,257,-,18,145,119,-,-
"합계",중랑구,묵2동,462,128,-,-,275,59,-,-,309,102,-,-,165,42,-,-
"합계",중랑구,망우3동,384,94,-,-,290,-,-,-,268,70,-,-,198,-,-,-
"합계",중랑구,신내1동,1544,675,-,20,411,239,26,173,1031,439,-,18,302,172,17,83
"합계",중랑구,신내2동,555,95,-,66,153,142,-,99,426,71,-,64,88,122,-,81
"합계",중랑구,면목본동,765,221,-,-,529,15,-,-,591,173,-,-,403,15,-,-
"합계",중랑구,면목3.8동,753,502,-,-,217,34,-,-,615,379,-,-,213,23,-,-
"합계",중랑구,망우본동,1012,631,-,-,361,20,-,-,870,558,-,-,295,17,-,-
"합계",성북구,소계,8671,4298,109,707,1999,1145,49,364,6885,3512,70,573,1592,944,43,151
"합계",성북구,돈암1동,241,-,-,67,115,59,-,-,205,-,-,55,94,56,-,-
"합계",성북구,돈암2동,475,360,-,-,-,115,-,-,410,308,-,-,-,102,-,-
"합계",성북구,안암동,363,208,-,-,-,10,-,145,213,149,-,-,-,-,-,64
"합계",성북구,보문동,395,152,-,79,164,-,-,-,310,99,-,59,152,-,-,-
"합계",성북구,정릉1동,483,187,-,-,277,19,-,-,417,158,-,-,242,17,-,-
"합계",성북구,정릉2동,246,40,-,-,98,78,30,-,181,40,-,-,74,43,24,-
"합계",성북구,정릉3동,444,223,-,121,-,-,-,100,245,137,-,89,-,-,-,19
"합계",성북구,정릉4동,666,329,-,161,106,70,-,-,497,281,-,127,43,46,-,-
"합계",성북구,길음1동,706,298,-,-,197,192,19,-,602,250,-,-,175,158,19,-
"합계",성북구,길음2동,473,350,-,-,64,59,-,-,401,288,-,-,64,49,-,-
"합계",성북구,월곡1동,616,253,79,99,86,99,-,-,509,226,57,75,62,89,-,-
"합계",성북구,월곡2동,476,262,-,39,46,59,-,70,381,221,-,31,31,56,-,42
"합계",성북구,장위1동,335,189,-,-,106,40,-,-,289,187,-,-,69,33,-,-
"합계",성북구,장위2동,329,42,-,49,218,20,-,-,250,28,-,47,155,20,-,-
"합계",성북구,장위3동,437,230,-,-,128,79,-,-,409,214,-,-,117,78,-,-
"합계",성북구,성북동,191,148,30,-,-,13,-,-,145,120,13,-,-,12,-,-
"합계",성북구,삼선동,281,192,-,-,-,40,-,49,221,159,-,-,-,36,-,26
"합계",성북구,동선동,200,108,-,46,46,-,-,-,158,79,-,44,35,-,-,-
"합계",성북구,종암동,817,396,-,46,276,99,-,-,632,312,-,46,215,59,-,-
"합계",성북구,석관동,497,331,-,-,72,94,-,-,410,256,-,-,64,90,-,-
"합계",강북구,소계,6489,2723,74,119,3089,340,43,101,4877,2089,47,47,2373,236,36,49
"합계",강북구,번1동,363,173,-,-,111,30,-,49,254,153,-,-,70,15,-,16
"합계",강북구,번2동,336,176,-,-,126,34,-,-,246,108,-,-,109,29,-,-
"합계",강북구,번3동,308,81,74,-,114,39,-,-,235,69,47,-,85,34,-,-
"합계",강북구,수유1동,672,109,-,-,563,-,-,-,518,80,-,-,438,-,-,-
"합계",강북구,수유2동,616,127,-,-,450,39,-,-,437,101,-,-,319,17,-,-
"합계",강북구,수유3동,380,49,-,49,212,18,-,52,233,26,-,33,128,13,-,33
"합계",강북구,삼양동,638,414,-,70,63,91,-,-,380,255,-,14,61,50,-,-
"합계",강북구,미아동,347,198,-,-,129,20,-,-,241,136,-,-,87,18,-,-
"합계",강북구,송중동,640,405,-,-,220,15,-,-,553,336,-,-,208,9,-,-
"합계",강북구,송천동,369,152,-,-,198,19,-,-,256,125,-,-,112,19,-,-
"합계",강북구,삼각산동,913,377,-,-,516,20,-,-,771,329,-,-,422,20,-,-
"합계",강북구,우이동,540,175,-,-,338,-,27,-,463,147,-,-,296,-,20,-
"합계",강북구,인수동,367,287,-,-,49,15,16,-,290,224,-,-,38,12,16,-
"합계",도봉구,소계,7256,3108,33,27,2825,955,44,264,5222,2473,22,16,1863,649,32,167
"합계",도봉구,쌍문1동,456,158,-,-,263,35,-,-,282,91,-,-,169,22,-,-
"합계",도봉구,쌍문2동,480,216,-,-,187,77,-,-,359,191,-,-,113,55,-,-
"합계",도봉구,쌍문3동,455,99,-,-,341,15,-,-,358,80,-,-,265,13,-,-
"합계",도봉구,쌍문4동,244,97,-,-,47,100,-,-,193,88,-,-,35,70,-,-
"합계",도봉구,방학1동,481,343,-,-,25,19,-,94,391,281,-,-,21,18,-,71
"합계",도봉구,방학2동,651,193,-,-,438,20,-,-,440,137,-,-,293,10,-,-
"합계",도봉구,방학3동,524,272,-,-,67,141,44,-,382,217,-,-,47,86,32,-
"합계",도봉구,창1동,440,213,-,-,119,108,-,-,305,169,-,-,67,69,-,-
"합계",도봉구,창2동,869,246,-,-,547,76,-,-,554,185,-,-,329,40,-,-
"합계",도봉구,창3동,402,239,33,27,103,-,-,-,274,191,22,16,45,-,-,-
"합계",도봉구,창4동,665,299,-,-,125,141,-,100,472,239,-,-,75,102,-,56
"합계",도봉구,창5동,459,170,-,-,207,82,-,-,383,162,-,-,160,61,-,-
"합계",도봉구,도봉1동,385,129,-,-,237,19,-,-,332,103,-,-,217,12,-,-
"합계",도봉구,도봉2동,745,434,-,-,119,122,-,70,497,339,-,-,27,91,-,40
