교육지원청명,자치구,주소,"사립,공립",유형,유치원명,운영시간,만3세학급수,만4세학급수,만5세학급수,혼합학급수,특수학급수,만3세유아수,만4세유아수,만5세유아수,혼합유아수,특수유아수
동작관악교육지원청,관악구,서울특별시 관악구 청림5길 22,사립,사인,은비유치원,09시00분~17시00분,3.0,2.0,2.0,0,,69.0,50.0,53.0,0,
성북강북교육지원청,성북구,서울특별시 성북구 서경로 166,사립,사인,한가람유치원,07시30분~20시00분,3.0,4.0,3.0,0,,64.0,91.0,85.0,0,
성북강북교육지원청,강북구,서울특별시 강북구 솔매로50가길 25,공립,병설,서울화계초등학교병설유치원,07시00분~19시00분,2.0,1.0,2.0,0,,11.0,16.0,24.0,0,
성동광진교육지원청,성동구,서울특별시 성동구 아차산로17길 21,공립,병설,서울성수초등학교병설유치원,07시30분~20시00분,1.0,1.0,1.0,0,,7.0,16.0,11.0,0,
강서양천교육지원청,양천구,서울특별시 양천구 월정로 280,공립,병설,서울강신초등학교병설유치원,07시00분~19시00분,1.0,2.0,2.0,0,1.0,11.0,18.0,22.0,0,4.0
서부교육지원청,은평구,서울특별시 은평구 연서로 347,공립,병설,서울연신초등학교병설유치원,07시30분~19시30분,1.0,1.0,1.0,0,,6.0,13.0,13.0,0,
남부교육지원청,구로구,서울특별시 구로구 오리로 1102-19,공립,단설,서울하늘숲유치원,07시30분~19시30분,3.0,2.0,2.0,0,1.0,39.0,30.0,39.0,0,4.0
강남서초교육지원청,서초구,서울특별시 서초구 명달로22길 24,사립,사인,동우유치원,09시00분~19시00분,,1.0,2.0,0,,,22.0,47.0,0,
강남서초교육지원청,서초구,서울특별시 서초구 서초중앙로24길 43,사립,사인,동화유치원,09시00분~17시30분,1.0,1.0,1.0,0,,24.0,23.0,24.0,0,
동작관악교육지원청,관악구,서울특별시 관악구 행운1라길 17,공립,병설,서울봉천초등학교병설유치원,07시20분~19시20분,1.0,1.0,1.0,0,1.0,4.0,9.0,13.0,0,4.0
남부교육지원청,영등포구,서울특별시 영등포구 63로 45,사립,사인,성요셉유치원,09시30분~18시30분,1.0,1.0,1.0,0,,22.0,27.0,23.0,0,
성동광진교육지원청,광진구,서울특별시 광진구 영화사로 89,사립,사인,경원유치원,09시10분~18시30분,1.0,1.0,1.0,0,,9.0,10.0,15.0,0,
동부교육지원청,중랑구,서울특별시 중랑구 동일로 834,사립,사인,세종유치원,09시00분~20시00분,1.0,1.0,1.0,0,,18.0,11.0,24.0,0,
동부교육지원청,동대문구,서울특별시 동대문구 약령시로 45,사립,법인,소화유치원,09시00분~18시30분,1.0,,,3,,12.0,,,55,
동부교육지원청,중랑구,서울특별시 중랑구 중랑역로 35-1,사립,법인,수산유치원,07시30분~19시30분,2.0,1.0,2.0,0,,30.0,33.0,46.0,0,
강동송파교육지원청,송파구,서울특별시 송파구 한가람로 446,사립,사인,한가람유치원,07시30분~18시30분,,1.0,1.0,0,,,19.0,25.0,0,
강동송파교육지원청,송파구,서울특별시 송파구 송파대로49길 23,사립,법인,불광유치원,09시00분~18시00분,1.0,2.0,2.0,0,,34.0,38.0,38.0,0,
강서양천교육지원청,강서구,서울특별시 강서구 강서로 266,사립,사인,아이파크예원유치원,08시00분~18시30분,2.0,2.0,2.0,0,,43.0,50.0,55.0,0,
강동송파교육지원청,송파구,서울특별시 송파구 양재대로 1218,사립,사인,리아유치원,09시00분~17시00분,3.0,2.0,2.0,0,,55.0,35.0,40.0,0,
강동송파교육지원청,강동구,서울특별시 강동구 명일로 251,사립,사인,한성유치원,09시00분~20시00분,2.0,2.0,2.0,0,,30.0,40.0,40.0,0,
북부교육지원청,도봉구,서울특별시 도봉구 마들로 620,사립,사인,사랑유치원,08시00분~17시00분,1.0,1.0,1.0,0,,12.0,22.0,23.0,0,
서부교육지원청,은평구,서울특별시 은평구 진흥로7길 25,사립,사인,엔젤유치원,09시00분~20시00분,3.0,3.0,2.0,0,,46.0,57.0,53.0,0,
성북강북교육지원청,성북구,서울특별시 성북구 길음로 142,공립,단설,서울길음유치원,07시00분~20시00분,2.0,2.0,2.0,0,,15.0,31.0,44.0,0,
성북강북교육지원청,성북구,서울특별시 성북구 보문로29길 106,공립,병설,서울삼선초등학교병설유치원,07시30분~19시30분,1.0,1.0,2.0,0,1.0,9.0,13.0,20.0,0,3.0
성북강북교육지원청,성북구,서울특별시 성북구 성북로 102-10,공립,병설,서울성북초등학교병설유치원,07시30분~19시30분,,,1.0,1,1.0,,,3.0,6,4.0
성북강북교육지원청,성북구,서울특별시 성북구 종암로40길 30,공립,병설,서울숭곡초등학교병설유치원,07시00분~19시30분,1.0,1.0,2.0,0,,11.0,17.0,32.0,0,
중부교육지원청,용산구,서울특별시 용산구 효창원로15길 15,사립,법인,계성유치원,09시00분~14시00분,,,3.0,7,,,,59.0,168,
중부교육지원청,용산구,서울특별시 용산구 이촌로81길 38,사립,법인,대건유치원,09시00분~17시00분,2.0,2.0,2.0,0,,41.0,46.0,51.0,0,
성동광진교육지원청,성동구,서울특별시 성동구 행당로 79,사립,사인,에덴유치원,09시00분~17시00분,2.0,2.0,2.0,0,,47.0,41.0,52.0,0,
동부교육지원청,동대문구,서울특별시 동대문구 답십리로56길 21,사립,사인,그림유치원,08시00분~20시00분,2.0,4.0,3.0,0,,43.0,55.0,60.0,0,
북부교육지원청,노원구,서울특별시 노원구 광운로17길 5-3,사립,사인,성북유치원,07시50분~19시00분,1.0,1.0,1.0,0,,6.0,15.0,25.0,0,
북부교육지원청,노원구,서울특별시 노원구 한글비석로1길 28,사립,사인,성실유치원,07시40분~19시30분,3.0,2.0,2.0,0,,48.0,25.0,37.0,0,
북부교육지원청,노원구,서울특별시 노원구 섬밭로 123,사립,사인,예진유치원,08시00분~19시00분,2.0,2.0,2.0,0,,39.0,42.0,50.0,0,
서부교육지원청,은평구,서울특별시 은평구 가좌로10길 10,사립,사인,서문유치원,09시00분~18시00분,,,1.0,0,,,,13.0,0,
서부교육지원청,은평구,서울특별시 은평구 은평로 239,공립,병설,서울은평초등학교병설유치원,07시00분~20시00분,,1.0,1.0,0,,,10.0,20.0,0,
서부교육지원청,마포구,서울특별시 마포구 백범로1길 56,공립,병설,서울창천초등학교병설유치원,07시00분~20시00분,1.0,1.0,1.0,0,,5.0,12.0,20.0,0,
서부교육지원청,서대문구,서울특별시 서대문구 홍은중앙로 13,공립,병설,서울홍제초등학교병설유치원,07시30분~19시30분,2.0,2.0,2.0,0,1.0,21.0,30.0,41.0,0,5.0
서부교육지원청,마포구,서울특별시 마포구 독막로28길 19,사립,사인,성결유치원,09시00분~17시00분,1.0,1.0,1.0,0,,12.0,17.0,18.0,0,
성동광진교육지원청,광진구,서울특별시 광진구 능동로4길 13,사립,법인,인애유치원,09시00분~18시00분,,,,2,,,,,74,
강동송파교육지원청,송파구,서울특별시 송파구 마천로25길 18,공립,병설,서울거여초등학교병설유치원,07시00분~20시00분,1.0,2.0,2.0,0,1.0,13.0,21.0,37.0,0,4.0
성동광진교육지원청,성동구,서울특별시 성동구 행당로6길 97,사립,사인,벧엘유치원,09시00분~18시00분,,,,8,,,,,279,
북부교육지원청,노원구,서울특별시 노원구 월계로45가길 94,사립,사인,다연유치원,07시00분~20시00분,1.0,1.0,2.0,0,,10.0,14.0,32.0,0,
강서양천교육지원청,강서구,서울특별시 강서구 화곡로52길 14,사립,사인,동그라미유치원,08시00분~19시00분,1.0,2.0,2.0,0,,35.0,43.0,56.0,0,
강서양천교육지원청,양천구,서울특별시 양천구 목동중앙북로24길 19-8,사립,법인,레인보우유치원,09시00분~18시00분,1.0,1.0,2.0,0,,20.0,25.0,36.0,0,
동작관악교육지원청,동작구,서울특별시 동작구 여의대방로 22,사립,사인,메이플유치원,07시00분~20시00분,2.0,2.0,2.0,0,,22.0,38.0,32.0,0,
동작관악교육지원청,동작구,서울특별시 동작구 사당로 146,공립,병설,서울신남성초등학교병설유치원,07시30분~19시30분,1.0,1.0,1.0,0,,9.0,7.0,12.0,0,
동작관악교육지원청,관악구,서울특별시 관악구 호암로 498,공립,단설,서울신우유치원,07시30분~19시30분,1.0,1.0,2.0,0,1.0,10.0,4.0,28.0,0,5.0
강남서초교육지원청,강남구,서울특별시 강남구 강남대로120길 33,공립,병설,서울논현초등학교병설유치원,07시30분~19시30분,1.0,2.0,1.0,0,1.0,13.0,18.0,18.0,0,5.0
서부교육지원청,마포구,서울특별시 마포구 월드컵북로 502-14,공립,병설,서울하늘초등학교병설유치원,07시30분~19시30분,1.0,2.0,2.0,0,,14.0,25.0,31.0,0,
중부교육지원청,용산구,서울특별시 용산구 효창원로 228,공립,병설,서울청파초등학교병설유치원,07시00분~20시00분,,1.0,1.0,0,,,11.0,15.0,0,
성동광진교육지원청,성동구,서울특별시 성동구 무학봉15가길 4,사립,사인,무학유치원,09시00분~19시00분,,,1.0,1,,,,23.0,9,
강동송파교육지원청,강동구,서울특별시 강동구 상암로63길 39,사립,사인,가람유치원,09시30분~18시00분,,2.0,3.0,0,,,61.0,94.0,0,
강서양천교육지원청,양천구,서울특별시 양천구 목동동로 130,사립,사인,세화유치원,09시00분~17시00분,2.0,2.0,2.0,0,,44.0,42.0,50.0,0,
강서양천교육지원청,양천구,서울특별시 양천구 신월로13길 15,사립,사인,양서유치원,09시30분~18시00분,2.0,1.0,1.0,0,,18.0,15.0,21.0,0,
남부교육지원청,영등포구,서울특별시 영등포구 디지털로 455-7,사립,사인,대림유치원,09시00분~20시00분,,,,1,,,,,16,
남부교육지원청,구로구,서울특별시 구로구 경인로2길 11,사립,법인,동정성모유치원,08시30분~16시30분,2.0,3.0,2.0,0,,36.0,66.0,44.0,0,
남부교육지원청,구로구,서울특별시 구로구 구일로4길 46,사립,사인,바니유치원,09시30분~17시30분,1.0,1.0,1.0,0,,21.0,14.0,16.0,0,
동부교육지원청,동대문구,서울특별시 동대문구 홍릉로29길 17,사립,사인,홍릉유치원,09시00분~20시00분,,,1.0,1,,,,10.0,11,
동작관악교육지원청,동작구,서울특별시 동작구 상도로41가길 13,사립,사인,강남유치원,08시00분~18시30분,1.0,1.0,1.0,0,,20.0,24.0,25.0,0,
동작관악교육지원청,동작구,서울특별시 동작구 노량진로30길 9,사립,법인,노량진교회유치원,08시40분~18시00분,1.0,1.0,1.0,0,,20.0,25.0,16.0,0,
남부교육지원청,영등포구,서울특별시 영등포구 영등포로64길 8,사립,사인,신라유치원,07시00분~19시00분,1.0,1.0,1.0,0,,11.0,18.0,13.0,0,
남부교육지원청,영등포구,서울특별시 영등포구 양산로 61,사립,사인,영은유치원,08시30분~19시00분,2.0,1.0,2.0,0,,30.0,25.0,40.0,0,
남부교육지원청,영등포구,서울특별시 영등포구 영중로 163,사립,법인,영중유치원,09시00분~17시00분,1.0,1.0,2.0,0,,20.0,22.0,45.0,0,
동작관악교육지원청,관악구,서울특별시 관악구 난곡로32길 12,사립,사인,신림유치원,09시00분~20시00분,1.0,2.0,1.0,0,,5.0,35.0,22.0,0,
동작관악교육지원청,관악구,서울특별시 관악구 법원단지길 56,사립,사인,애동유치원,08시00분~19시00분,2.0,2.0,2.0,0,,17.0,31.0,33.0,0,
북부교육지원청,노원구,서울특별시 노원구 노원로38길 34,공립,병설,서울상곡초등학교병설유치원,07시30분~19시30분,2.0,1.0,1.0,0,,23.0,20.0,21.0,0,
서부교육지원청,은평구,서울특별시 은평구 은평터널로 150,공립,병설,서울서신초등학교병설유치원,07시30분~19시30분,,1.0,1.0,0,,,6.0,11.0,0,
강서양천교육지원청,양천구,서울특별시 양천구 신정로13가길 30,공립,병설,서울장수초등학교병설유치원,07시30분~19시30분,2.0,2.0,2.0,0,1.0,17.0,21.0,20.0,0,3.0
강동송파교육지원청,송파구,서울특별시 송파구 올림픽로 525,사립,사인,리틀바움유치원,09시00분~18시00분,,,1.0,0,,,,8.0,0,
서부교육지원청,은평구,서울특별시 은평구 통일로 630-1,사립,사인,자연유치원,08시00분~18시30분,2.0,3.0,2.0,0,,42.0,45.0,55.0,0,
강남서초교육지원청,서초구,서울특별시 서초구 바우뫼로 99,사립,사인,천사유치원,08시00분~17시00분,1.0,1.0,1.0,1,,22.0,24.0,23.0,18,
강서양천교육지원청,강서구,서울특별시 강서구 양천로30길 4,사립,사인,국제유치원,07시00분~20시00분,1.0,1.0,1.0,0,,13.0,19.0,15.0,0,
강서양천교육지원청,양천구,서울특별시 양천구 목동동로12길 60,사립,사인,등대유치원,08시00분~19시30분,2.0,2.0,2.0,0,,42.0,52.0,50.0,0,
강서양천교육지원청,강서구,서울특별시 강서구 화곡로66길 118,사립,법인,등촌제일유치원,08시00분~19시00분,2.0,2.0,2.0,0,,28.0,45.0,49.0,0,
중부교육지원청,중구,서울특별시 중구 동호로10길 27,사립,사인,신일유치원,07시00분~20시00분,1.0,1.0,1.0,0,,15.0,18.0,16.0,0,
중부교육지원청,종로구,서울특별시 종로구 평창길 317,사립,사인,하나유치원,09시00분~17시00분,2.0,2.0,2.0,0,,24.0,30.0,44.0,0,
중부교육지원청,중구,서울특별시 중구 퇴계로88다길 5,사립,사인,한일유치원,07시00분~20시00분,2.0,1.0,1.0,0,,29.0,21.0,22.0,0,
성북강북교육지원청,성북구,서울특별시 성북구 서경로6길 13,사립,법인,루이유치원,07시30분~19시30분,2.0,2.0,,0,,40.0,41.0,,0,
남부교육지원청,구로구,서울특별시 구로구 서해안로 2201,사립,사인,푸른동산유치원,09시30분~17시30분,3.0,4.0,3.0,0,,58.0,87.0,70.0,0,
성동광진교육지원청,광진구,서울특별시 광진구 뚝섬로46길 64,공립,병설,서울신자초등학교병설유치원,07시30분~20시00분,1.0,1.0,1.0,0,,11.0,12.0,17.0,0,
성동광진교육지원청,성동구,서울특별시 성동구 살곶이길 200,사립,법인,한양여자대학교부속유치원,08시00분~18시00분,2.0,2.0,1.0,0,,26.0,25.0,21.0,0,
성북강북교육지원청,성북구,서울특별시 성북구 성북로 127,사립,법인,덕수유치원,07시00분~20시00분,2.0,1.0,2.0,0,,17.0,18.0,30.0,0,
강동송파교육지원청,송파구,서울특별시 송파구 문정로13길 13,사립,사인,혜림유치원,08시00분~18시00분,2.0,2.0,1.0,0,,37.0,35.0,31.0,0,
강동송파교육지원청,송파구,서울특별시 송파구 백제고분로46길 41,사립,사인,푸른꿈유치원,09시00분~18시00분,,,,1,,,,,10,
서부교육지원청,은평구,서울특별시 은평구 진관4로 31,사립,사인,다우림명문유치원,08시00분~20시00분,3.0,3.0,3.0,0,,50.0,41.0,52.0,0,
성북강북교육지원청,성북구,서울특별시 성북구 성북로4길 52-1,사립,법인,우촌유치원,08시00분~18시00분,3.0,2.0,2.0,0,,54.0,48.0,53.0,0,
강서양천교육지원청,강서구,서울특별시 강서구 수명로1길 76,사립,사인,미래클유치원,09시00분~18시00분,2.0,2.0,2.0,0,,43.0,51.0,50.0,0,
동작관악교육지원청,동작구,서울특별시 동작구 동작대로41길 7,사립,사인,하랑숲유치원,09시00분~18시00분,4.0,3.0,3.0,0,,59.0,68.0,60.0,0,
서부교육지원청,은평구,서울특별시 은평구 연서로34길 22,공립,병설,서울연천초등학교병설유치원,07시00분~19시00분,,,1.0,1,,,,11.0,7,
성동광진교육지원청,성동구,서울특별시 성동구 뚝섬로13길 22,공립,병설,서울경수초등학교병설유치원,07시00분~20시00분,1.0,1.0,1.0,0,,6.0,9.0,19.0,0,
남부교육지원청,영등포구,서울특별시 영등포구 선유로 131,공립,병설,서울당중초등학교병설유치원,07시30분~19시30분,1.0,1.0,1.0,0,,16.0,22.0,23.0,0,
북부교육지원청,노원구,서울특별시 노원구 공릉로58길 23,사립,사인,꿈모리유치원,09시00분~19시00분,1.0,,,1,,8.0,,,25,
북부교육지원청,노원구,서울특별시 노원구 동일로227길 26,사립,사인,꿈동산유치원,09시10분~19시10분,4.0,3.0,3.0,0,,95.0,72.0,70.0,0,
남부교육지원청,금천구,서울특별시 금천구 범안로11길 3,공립,병설,서울두산초등학교병설유치원,07시30분~19시30분,2.0,2.0,1.0,0,1.0,22.0,19.0,14.0,0,4.0
남부교육지원청,영등포구,서울특별시 영등포구 양산로 185,공립,병설,서울영중초등학교병설유치원,07시30분~19시30분,1.0,2.0,1.0,0,1.0,14.0,24.0,18.0,0,4.0
성동광진교육지원청,광진구,서울특별시 광진구 동일로72길 9,사립,사인,경하유치원,09시00분~20시00분,,,,1,,,,,25,
동부교육지원청,중랑구,서울특별시 중랑구 송림길 114,공립,병설,서울동원초등학교병설유치원,07시00분~20시00분,1.0,1.0,1.0,0,1.0,15.0,21.0,19.0,0,4.0
동부교육지원청,동대문구,서울특별시 동대문구 답십리로69길 27,공립,병설,서울장평초등학교병설유치원,07시30분~19시30분,1.0,1.0,1.0,0,,8.0,18.0,24.0,0,
북부교육지원청,도봉구,서울특별시 도봉구 노해로66길 79,사립,사인,한사랑유치원,09시00분~17시00분,2.0,2.0,2.0,0,,18.0,30.0,34.0,0,
서부교육지원청,은평구,서울특별시 은평구 가좌로7다길 13,사립,사인,무지개나라유치원,08시30분~18시30분,1.0,1.0,2.0,0,,13.0,18.0,45.0,0,
강동송파교육지원청,송파구,서울특별시 송파구 강동대로3길 23,사립,사인,동화나라유치원,07시30분~19시30분,3.0,3.0,2.0,0,,67.0,73.0,49.0,0,
강동송파교육지원청,송파구,서울특별시 송파구 오금로24길 25,사립,사인,시연유치원,07시00분~19시00분,2.0,2.0,2.0,0,,45.0,51.0,53.0,0,
성북강북교육지원청,성북구,서울특별시 성북구 길음로15길 55,공립,병설,서울길원초등학교병설유치원,07시30분~19시30분,1.0,1.0,2.0,0,,10.0,14.0,33.0,0,
남부교육지원청,영등포구,서울특별시 영등포구 대림로21길 6,공립,병설,서울대동초등학교병설유치원,07시00분~20시00분,1.0,1.0,1.0,0,,9.0,16.0,14.0,0,
강동송파교육지원청,송파구,서울특별시 송파구 오금로46길 62,사립,사인,밀알유치원,09시00분~20시00분,1.0,1.0,1.0,0,,10.0,7.0,20.0,0,
동부교육지원청,중랑구,서울특별시 중랑구 중랑천로 20,사립,사인,누리에유치원,07시30분~19시30분,2.0,2.0,2.0,0,,34.0,43.0,44.0,0,
서부교육지원청,은평구,서울특별시 은평구 갈현로 169-7,사립,사인,자인유치원,08시30분~18시30분,,,1.0,1,,,,19.0,15,
성동광진교육지원청,광진구,서울특별시 광진구 뚝섬로35길 16-20,사립,사인,한일유치원,09시00분~17시30분,1.0,1.0,1.0,0,,24.0,26.0,28.0,0,
성북강북교육지원청,성북구,서울특별시 성북구 아리랑로 63,공립,병설,서울정덕초등학교병설유치원,07시30분~19시30분,1.0,1.0,1.0,0,,8.0,17.0,22.0,0,
성북강북교육지원청,성북구,서울특별시 성북구 종암로25길 17,사립,사인,예린유치원,09시00분~19시00분,1.0,1.0,1.0,0,,16.0,13.0,20.0,0,
성북강북교육지원청,성북구,서울특별시 성북구 장위로 34,사립,법인,영천유치원,07시00분~19시00분,1.0,1.0,1.0,0,,15.0,21.0,23.0,0,
성북강북교육지원청,강북구,서울특별시 강북구 한천로115길 15,사립,사인,꿈동산유치원,07시00분~20시00분,1.0,1.0,1.0,0,,15.0,20.0,11.0,0,
