기준_년분기_코드,행정동_코드_명,행정동_코드,월_평균_소득_금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,교육_지출_총금액,유흥_지출_총금액,여가_문화_지출_총금액,기타_지출_총금액,음식_지출_총금액,인구수
20212,자양4동,11215847,2795134,6,6605057000,1947557000,198876000,18931000,774057000,29598000,118305000,176332000,720759000,341417000,2279225000,19881
20212,중곡1동,11215740,2542359,6,4119166000,1553691000,183891000,115864000,371736000,610369000,36962000,169953000,191865000,173841000,710994000,15237
20212,중곡2동,11215750,2555101,6,3378393000,879056000,116369000,99870000,611935000,118744000,133222000,76530000,331776000,135308000,875583000,20517
20212,중곡3동,11215760,2390961,5,2438959000,643710000,37807000,79282000,398134000,511852000,88452000,62751000,117036000,79234000,420701000,15727
20212,중곡4동,11215770,2523958,6,3063253000,1090085000,127273000,27116000,342610000,196006000,96875000,86232000,227189000,88479000,781388000,27590
20212,화양동,11215710,2470026,6,13648132000,1653516000,1117406000,45865000,2448780000,134342000,183420000,1336321000,802904000,590772000,5334806000,23192
20213,광장동,11215810,5284540,9,3680149000,1232106000,26764000,51839000,282173000,287475000,451383000,71372000,202084000,178133000,896820000,33967
20213,구의1동,11215850,2683701,6,3384035000,958433000,60526000,101707000,385776000,87423000,55072000,168461000,173562000,110321000,1282754000,23124
20213,구의2동,11215860,2948328,6,3821957000,1455384000,112438000,37565000,373258000,65292000,202091000,56893000,288624000,171497000,1058915000,25604
20213,구의3동,11215870,4010979,8,9901139000,2098935000,487314000,887125000,1134274000,809153000,793002000,49443000,900374000,1105577000,1635942000,27836
20213,군자동,11215730,2604535,6,5084456000,1485084000,44853000,193350000,1445749000,182828000,72428000,106481000,136616000,300227000,1116840000,19068
20213,능동,11215780,2846023,6,5057962000,784238000,35954000,367072000,1028239000,1148337000,48158000,73530000,414454000,70425000,1087555000,11095
20213,자양1동,11215820,2745988,6,4536623000,1744282000,145365000,29302000,755100000,118211000,154913000,61042000,177304000,167418000,1183686000,21832
20213,자양2동,11215830,2999213,7,3208993000,1030430000,28948000,49713000,462295000,416000000,170745000,83302000,194203000,128085000,645272000,23625
