자치구,공립/사립
강남구,0.72
강동구,0.46153846153846156
강북구,0.4117647058823529
강서구,0.4186046511627907
관악구,0.6956521739130435
광진구,0.26666666666666666
구로구,0.6363636363636364
금천구,0.5833333333333334
노원구,0.3448275862068966
도봉구,0.44
동대문구,0.36
동작구,0.35714285714285715
마포구,0.7647058823529411
서대문구,0.2777777777777778
서초구,0.5789473684210527
성동구,0.7777777777777778
성북구,0.43243243243243246
송파구,0.5
양천구,0.4117647058823529
영등포구,0.4
용산구,0.38461538461538464
은평구,0.5625
종로구,0.4166666666666667
중구,0.4
중랑구,0.5833333333333334
