아파트명,주소,가격,면적,층수
광화문스페이스본(101동~105동),종로구 사직동 9,"     155,000",108.07,1층
광화문스페이스본(101동~105동),종로구 사직동 9,"     200,000",159.01,7층
현대뜨레비앙,종로구 익선동 55,"      39,500",46.64,2층
효성쥬얼리시티,종로구 인의동 48-2,"     115,000",106.81,12층
효성쥬얼리시티,종로구 인의동 48-2,"      90,000",84.7,9층
이화에수풀,종로구 연건동 195-10,"      18,800",16.98,11층
이화에수풀,종로구 연건동 195-10,"      18,700",16.98,10층
창신쌍용2,종로구 창신동 703,"      58,500",54.7,10층
두산,종로구 창신동 232,"      97,000",84.9,9층
창신쌍용2,종로구 창신동 703,"      58,000",64.66,5층
창신쌍용2,종로구 창신동 703,"      75,500",79.87,4층
창신쌍용1,종로구 창신동 702,"      58,000",54.7,3층
익성씨티하임,종로구 숭인동 1392,"      11,700",15.42,11층
종로유케이201,종로구 숭인동 201-11,"      10,500",12.09,8층
종로청계힐스테이트,종로구 숭인동 766,"      80,000",59.9426,5층
삼전솔하임2차,종로구 숭인동 296-19,"      11,000",14.69,8층
롯데캐슬천지인,종로구 숭인동 76,"     112,000",111.73,19층
경희궁자이(3단지),종로구 평동 233,"     150,500",59.8547,1층
경희궁자이(2단지),종로구 홍파동 199,"     248,000",101.9914,6층
경희궁자이(2단지),종로구 홍파동 199,"     200,000",84.8359,6층
대성아파트,종로구 행촌동 41-1,"      26,000",30.28,2층
남산트라팰리스,중구 남대문로5가 827,"     248,000",142.23,36층
쌍용남산플래티넘,중구 회현동2가 87,"     270,000",177,13층
쌍용남산플래티넘,중구 회현동2가 87,"     220,000",177,5층
쌍용남산플래티넘,중구 회현동2가 87,"     220,000",177,5층
진양상가,중구 충무로4가 120-3,"      54,500",71.93,5층
인현상가/신성아파트,중구 인현동2가 192-30,"      55,700",76.96,10층
인현상가/신성아파트,중구 인현동2가 192-30,"      55,700",76.96,10층
장충,중구 장충동2가 193-29,"      12,500",31.24,6층
남산타운,중구 신당동 844,"      78,000",84.88,12층
신당동파라다이스,중구 신당동 846,"      75,500",84.77,2층
래미안하이베르,중구 신당동 851,"     105,000",84.85,10층
남산타운,중구 신당동 844,"     102,500",59.94,15층
약수역더시티,중구 신당동 857,"      28,000",18.86,11층
약수하이츠,중구 신당동 842,"      93,500",57.63,16층
남산타운,중구 신당동 844,"     130,500",114.88,4층
남산타운,중구 신당동 844,"      92,000",59.94,2층
약수하이츠,중구 신당동 842,"      99,900",65.37,9층
약수역더시티,중구 신당동 857,"      26,000",18.3,7층
신당동파라다이스,중구 신당동 846,"      60,000",59.9,8층
약수역더시티,중구 신당동 857,"      25,200",18.86,4층
남산타운,중구 신당동 844,"     128,000",114.88,1층
청계천두산위브더제니스,중구 흥인동 13-1,"     159,000",147.3212,7층
우일타운,중구 흥인동 3-4,"      58,000",69.39,17층
골드캐슬Ⅲ,중구 황학동 1743,"      31,000",29.7,8층
롯데캐슬,중구 황학동 2545,"      82,000",59.91,20층
위너빌(Winnervill),중구 황학동 1200,"      35,500",28.55,10층
롯데캐슬,중구 황학동 2545,"      76,500",59.94,20층
위너빌(Winnervill),중구 황학동 1200,"      35,500",29.79,8층
위너빌(Winnervill),중구 황학동 1200,"      35,500",29.87,5층
위너빌(Winnervill),중구 황학동 1200,"      35,500",29.87,4층
롯데캐슬,중구 황학동 2545,"      84,000",59.94,22층
롯데캐슬,중구 황학동 2545,"      84,000",59.94,22층
한양I-Class,중구 황학동 787,"      13,200",16.37,13층
골드캐슬Ⅲ,중구 황학동 1743,"      31,000",33.47,11층
롯데캐슬,중구 황학동 2545,"      99,000",84.92,22층
롯데캐슬,중구 황학동 2545,"      99,000",84.92,22층
삼성사이버빌리지,중구 중림동 200,"     118,500",59.93,16층
서울역센트럴자이,중구 만리동2가 176-1,"     159,000",84.9791,6층
서울역센트럴자이,중구 만리동2가 176-1,"     160,000",84.972,24층
뉴후암,용산구 후암동 426,"      54,500",67.11,3층
용산파크뷰(46-3),용산구 원효로1가 46-3,"      42,500",27.61,15층
용산파크뷰(46-3),용산구 원효로1가 46-3,"      25,200",15.13,18층
리버힐삼성,용산구 산천동 193,"     100,000",59.55,4층
GS자이,용산구 청암동 181,"     310,000",223.75,11층
풍전,용산구 원효로4가 109-4,"      99,000",88,1층
풍전,용산구 원효로4가 109-4,"     102,000",81.72,3층
효창파크푸르지오,용산구 효창동 274,"     124,000",59.41,17층
임선웰빙아파트,용산구 효창동 5-72,"      64,500",84.54,2층
제일1,용산구 도원동 3-4,"      35,000",45.29,2층
이안용산프리미어,용산구 문배동 3-3,"     138,000",109.74,11층
프라임펠리스,용산구 문배동 24-8,"      16,700",13.69,19층
용산e편한세상,용산구 신계동 48,"     185,000",84.89,8층
래미안용산더센트럴,용산구 한강로2가 422,"     450,000",161.48,28층
용산파크e-편한세상,용산구 한강로2가 417,"     156,000",84.67,19층
센트럴파크,용산구 한강로3가 98,"     404,000",135.3849,33층
센트럴파크,용산구 한강로3가 98,"     258,000",102.8617,12층
대림,용산구 이촌동 395,"     183,000",84.78,11층
래미안첼리투스,용산구 이촌동 436,"     499,998",124.02,39층
이촌코오롱(A),용산구 이촌동 412,"     177,000",84.78,10층
한가람,용산구 이촌동 404,"     205,000",84.96,12층
강촌,용산구 이촌동 402,"     170,000",84.905,6층
동아그린,용산구 이촌동 411,"     110,000",59.58,4층
빌라맨션,용산구 이촌동 302-86,"     250,000",229.75,9층
이촌동삼성리버스위트,용산구 이촌동 426,"     280,000",137.37,17층
북한강(성원),용산구 이촌동 422,"     170,000",59.55,20층
노들,용산구 이촌동 302-45,"     168,000",227.08,4층
이촌동삼성리버스위트,용산구 이촌동 426,"     280,000",134.9,12층
청화1,용산구 이태원동 22-2,"     267,500",142.71,10층
청화1,용산구 이태원동 22-2,"     305,000",174.38,12층
청화1,용산구 이태원동 22-2,"     300,000",174.38,10층
주공1,용산구 이태원동 728,"     155,000",84.66,1층
대성이태리하우스,용산구 한남동 809,"     144,000",84.5,3층
효성빌리지,용산구 한남동 799,"     175,000",84.97,1층
효성빌리지,용산구 한남동 799,"     174,000",84.97,3층
한남힐스테이트,용산구 한남동 807,"     206,100",129.059,2층
유엔맨숀,용산구 한남동 1-35,"     150,000",159.5,1층
트윈빌비동,용산구 한남동 26-10,"     290,000",179.55,3층
트윈빌비동,용산구 한남동 26-10,"     290,000",179.55,3층
힐하우스,용산구 동빙고동 1-30,"     235,000",218.48,4층
금호베스트빌1,용산구 서빙고동 296,"     228,000",144.45,16층
텐즈힐(2단지),성동구 상왕십리동 811,"     141,500",84.9,5층
텐즈힐(2단지),성동구 상왕십리동 811,"     142,000",84.9,23층
센트라스,성동구 하왕십리동 1070,"      86,800",40.94,22층
왕십리풍림아이원,성동구 하왕십리동 1061,"      73,000",59.936,1층
벽산,성동구 하왕십리동 258,"      69,300",114.46,3층
센트라스,성동구 하왕십리동 1070,"     121,800",59.66,9층
센트라스,성동구 하왕십리동 1070,"     136,000",59.93,28층
삼성쉐르빌,성동구 도선동 69,"      78,000",71.34,22층
왕십리금호어울림,성동구 마장동 820,"     134,500",84.97,10층
세림,성동구 마장동 784,"      93,000",72.84,13층
세림,성동구 마장동 784,"      70,400",40.86,4층
벽산,성동구 사근동 314,"      59,000",59.84,1층
한양마이라움,성동구 사근동 315,"      15,500",18.36,2층
벽산,성동구 사근동 314,"      59,000",59.84,1층
대림e-편한세상,성동구 행당동 347,"      93,800",59.96,3층
두산,성동구 행당동 345,"      88,600",59.94,13층
행당한진타운,성동구 행당동 346,"      99,800",59.96,7층
서울숲 한신 더 휴,성동구 행당동 349,"     127,750",84.95,8층
서울숲삼부아파트,성동구 행당동 147,"     150,500",84.09,15층
대림e-편한세상,성동구 행당동 347,"      94,000",59.96,7층
대림e-편한세상,성동구 행당동 347,"     134,000",114.94,6층
서울숲삼부아파트,성동구 행당동 147,"     168,000",122.01,7층
행당한진타운,성동구 행당동 346,"      99,300",59.96,18층
대림강변타운,성동구 응봉동 15,"     142,000",84.42,10층
금호현대,성동구 응봉동 98,"      78,000",59.91,1층
대림강변타운,성동구 응봉동 15,"      96,500",59.76,4층
이편한세상금호파크힐스,성동구 금호동1가 280,"     132,500",59.983,5층
벽산,성동구 금호동1가 633,"      95,000",84.82,4층
푸른마을(8차),성동구 금호동1가 128-4,"      47,000",89.8,6층
벽산,성동구 금호동1가 633,"      95,000",59.9,18층
이편한세상금호파크힐스,성동구 금호동1가 280,"     126,000",59.949,2층
이편한세상금호파크힐스,성동구 금호동1가 280,"     126,000",59.949,2층
래미안하이리버,성동구 금호동2가 1217,"     122,500",59.99,14층
