자치구,행정동,평균가격(만원),평균면적(m^2),면적당 가격(만원/m^2)
강남구,개포1동,253924,114,2210
강남구,개포2동,239956,80,3055
강남구,개포3동,193007,85,2338
강남구,개포4동,179702,91,2023
강남구,논현1동,86711,66,1313
강남구,논현2동,144544,82,1726
강남구,대치1동,296164,103,2825
강남구,대치2동,239263,92,2624
강남구,대치4동,103679,70,1260
강남구,도곡1동,192544,100,1811
강남구,도곡2동,263751,109,2440
강남구,삼성1동,314594,140,2222
강남구,삼성2동,177500,84,2074
강남구,세곡동,124694,78,1594
강남구,수서동,174634,91,2012
강남구,신사동,259157,109,2094
강남구,압구정동,398089,128,3149
강남구,역삼1동,73327,65,1123
강남구,역삼2동,157762,73,2052
강남구,일원1동,96957,47,2022
강남구,일원본동,169059,82,2088
강남구,청담동,280242,121,2238
강동구,강일동,84570,79,1077
강동구,고덕1동,106812,82,1306
강동구,고덕2동,112239,64,1723
강동구,길동,48716,53,919
강동구,둔촌2동,71552,74,951
강동구,명일1동,72233,74,1014
강동구,명일2동,116003,99,1171
강동구,상일1동,109064,74,1449
강동구,상일2동,87568,80,1082
강동구,성내1동,73041,76,975
강동구,성내2동,69724,71,986
강동구,성내3동,60359,68,887
강동구,암사1동,69809,74,947
강동구,암사2동,102089,89,1178
강동구,암사3동,76845,80,1032
강동구,천호1동,55731,73,808
강동구,천호2동,66109,73,999
강동구,천호3동,67405,74,947
강북구,미아동,44773,72,717
강북구,번1동,53289,67,818
강북구,번2동,50660,68,735
강북구,번3동,52538,75,717
강북구,삼각산동,69265,74,929
강북구,삼양동,57316,67,855
강북구,송중동,73413,84,907
강북구,송천동,69363,69,1015
강북구,수유1동,32168,45,719
강북구,수유2동,43554,66,650
강북구,수유3동,30137,46,769
강북구,우이동,43193,87,512
강북구,인수동,32139,58,527
강서구,가양1동,82025,81,1030
강서구,가양2동,89901,94,1036
강서구,가양3동,65462,54,1228
강서구,공항동,95446,73,1269
강서구,등촌1동,67178,68,999
강서구,등촌2동,69037,78,893
강서구,등촌3동,66500,65,1076
강서구,발산1동,68444,83,838
강서구,방화1동,80450,77,1039
강서구,방화2동,54604,66,865
강서구,방화3동,57301,70,851
강서구,염창동,76862,76,1022
강서구,우장산동,67252,81,830
강서구,화곡1동,30112,50,643
강서구,화곡2동,42000,73,570
강서구,화곡3동,56462,68,862
강서구,화곡4동,37988,66,569
강서구,화곡6동,56811,79,713
강서구,화곡8동,36321,57,700
강서구,화곡본동,28437,57,540
관악구,낙성대동,58833,72,832
관악구,난곡동,45122,65,680
관악구,난향동,63891,88,723
관악구,남현동,69672,86,857
관악구,대학동,53235,70,766
관악구,미성동,57546,75,761
관악구,보라매동,71843,98,687
관악구,삼성동,52453,70,743
관악구,서림동,66756,73,910
관악구,서원동,52842,64,836
관악구,성현동,69876,76,905
관악구,신대방2동,92000,102,901
관악구,신림동,33371,43,825
관악구,신사동,36260,36,1034
관악구,신원동,44058,70,660
관악구,은천동,64531,73,874
관악구,인헌동,70021,83,898
관악구,조원동,51972,63,867
관악구,중앙동,50365,59,883
관악구,청룡동,52225,49,1010
관악구,청림동,74307,70,1062
관악구,행운동,64891,77,863
광진구,광장동,136166,99,1442
광진구,구의1동,83833,66,1161
광진구,구의2동,80793,77,1070
광진구,구의3동,107454,90,1189
광진구,군자동,74783,76,1024
광진구,자양1동,83095,61,1349
광진구,자양2동,108118,85,1270
광진구,자양3동,121998,87,1413
광진구,자양4동,111184,79,1424
광진구,중곡2동,13700,16,844
광진구,중곡3동,52312,62,870
광진구,중곡4동,52041,73,724
광진구,화양동,44790,40,1188
구로구,가리봉동,46375,72,640
구로구,개봉1동,54277,77,714
구로구,개봉2동,57117,80,709
구로구,개봉3동,47206,75,617
구로구,고척1동,55362,68,812
구로구,고척2동,54510,72,747
구로구,구로1동,58174,74,797
구로구,구로2동,46449,65,701
구로구,구로3동,39970,58,655
구로구,구로4동,25614,48,532
구로구,구로5동,46403,60,788
구로구,수궁동,43668,79,565
구로구,신도림동,91658,78,1161
구로구,오류1동,35111,52,671
구로구,오류2동,57415,75,763
구로구,항동,73233,79,922
금천구,가산동,30198,42,797
금천구,독산1동,58025,71,818
금천구,독산2동,41000,84,485
금천구,독산3동,46634,64,746
금천구,독산4동,42750,72,593
금천구,시흥1동,47441,62,778
금천구,시흥2동,47069,75,621
금천구,시흥3동,33022,67,501
금천구,시흥4동,39747,79,524
금천구,시흥5동,45519,79,623
노원구,공릉1동,48060,67,742
노원구,공릉2동,62385,74,853
