아파트명,주소,가격,면적,층수
광화문스페이스본(101동~105동),종로구 사직동 9,"     185,000",158.99,8층
현대뜨레비앙,종로구 익선동 55,"      38,000",48.54,3층
포레스트힐시티,종로구 효제동 65-2,"      17,900",16.672,5층
송림아마레스아파트,종로구 명륜1가 2-12,"      69,000",84.81,2층
두산,종로구 창신동 232,"      86,000",59.95,15층
삼전솔하임2차,종로구 숭인동 296-19,"      15,100",16.67,6층
종로중흥S클래스,종로구 숭인동 202-3,"      13,000",17.811,14층
삼전솔하임2차,종로구 숭인동 296-19,"      12,000",16.67,10층
삼전솔하임2차,종로구 숭인동 296-19,"      14,500",14.69,6층
삼전솔하임2차,종로구 숭인동 296-19,"      14,500",16.67,6층
동아,종로구 교북동 101,"      80,000",59.98,4층
이지-빌,중구 회현동1가 100-12,"      43,500",55.61,3층
남산롯데캐슬아이리스,중구 회현동1가 208,"     225,000",133.98,29층
진양상가,중구 충무로4가 120-3,"      53,500",72.6,5층
인현상가/신성아파트,중구 인현동2가 192-30,"      30,000",49.22,9층
래미안하이베르,중구 신당동 851,"     137,000",84.98,12층
삼성,중구 신당동 843,"     130,000",114.91,15층
청구드림,중구 신당동 290-90,"      83,000",84.94,5층
약수하이츠,중구 신당동 842,"      97,000",57.63,20층
래미안하이베르,중구 신당동 851,"     108,000",59.74,1층
우석,중구 신당동 432-2013,"      34,300",59.99,1층
남산타운,중구 신당동 844,"     124,000",84.88,5층
다오아트빌,중구 신당동 432-498,"      26,700",53.68,5층
약수역더시티,중구 신당동 857,"      28,500",18.86,7층
동대문와이즈캐슬,중구 흥인동 119,"      14,000",15.55,11층
동대문와이즈캐슬,중구 흥인동 119,"      14,650",16.55,15층
바비엥3,중구 순화동 215,"      62,000",70.81,16층
서울역센트럴자이,중구 만리동2가 176-1,"     148,750",59.9808,10층
후암미주,용산구 후암동 423-1,"     110,000",62.28,5층
후암미주,용산구 후암동 423-1,"     107,000",63.31,1층
센트레빌아스테리움서울,용산구 동자동 45,"     183,000",128.06,27층
풍전,용산구 원효로4가 109-4,"     119,000",81.72,4층
풍전,용산구 원효로4가 109-4,"     119,000",81.72,4층
강변삼성스위트,용산구 원효로4가 178,"     130,000",59.94,15층
풍전,용산구 원효로4가 109-4,"     119,000",81.72,2층
효창파크푸르지오,용산구 효창동 274,"     181,700",84.45,6층
효창베네스,용산구 효창동 272,"     125,000",84.64,8층
도원,용산구 도원동 3-7,"      26,000",34.81,3층
삼성래미안,용산구 도원동 23,"     153,000",84.69,21층
삼성래미안,용산구 도원동 23,"     164,000",114.99,13층
프라임펠리스,용산구 문배동 24-8,"      18,800",13.69,19층
용산큐브,용산구 문배동 24-4,"      20,000",13.01,17층
용산파크자이,용산구 한강로1가 50-1,"     226,000",133.09,18층
용산시티파크(1단지),용산구 한강로3가 63-389,"     270,000",114.17,12층
동원베네스트,용산구 이촌동 434,"     170,000",84.97,10층
한강(대우),용산구 이촌동 415,"     277,000",134.13,3층
한강(대우),용산구 이촌동 415,"     180,000",60,12층
강촌,용산구 이촌동 402,"     231,500",84.85,11층
남산대림,용산구 이태원동 729,"     187,000",84.75,4층
청화1,용산구 이태원동 22-2,"     280,000",142.74,10층
르가든더메인한남,용산구 한남동 386,"     900,000",269.12,2층
한남더힐,용산구 한남동 810,"     850,000",235.312,1층
한남더힐,용산구 한남동 810,"     800,000",235.312,6층
트윈빌비동,용산구 한남동 26-10,"     282,000",179.55,1층
텐즈힐(2단지),성동구 상왕십리동 811,"     162,500",84.95,9층
상리제나우스,성동구 하왕십리동 966-18,"      13,350",12.84,4층
블루빌,성동구 하왕십리동 890-446,"      43,000",41.33,5층
상리제나우스,성동구 하왕십리동 966-18,"      13,500",12.84,5층
홍익한신,성동구 홍익동 119-1,"      68,000",76,5층
세림,성동구 마장동 784,"     109,000",72.84,12층
현대,성동구 마장동 818,"      80,000",59.94,12층
현대,성동구 마장동 818,"      91,000",59.94,4층
신성미소지움,성동구 마장동 822,"     108,000",84.99,3층
삼성,성동구 마장동 817,"     104,000",59.76,13층
중앙하이츠,성동구 사근동 199,"      86,500",71.85,9층
서울숲삼부아파트,성동구 행당동 147,"     168,000",84.09,11층
행당두산위브,성동구 행당동 375,"     136,000",59.99,9층
서울숲더샵,성동구 행당동 377,"     238,000",114.4,35층
서울숲 한신 더 휴,성동구 행당동 349,"     151,000",114.97,3층
서울숲 한신 더 휴,성동구 행당동 349,"     120,000",59.91,22층
벽산,성동구 금호동1가 633,"     153,000",114.57,11층
금호자이1차,성동구 금호동2가 1215,"     175,000",117.18,10층
금호자이1차,성동구 금호동2가 1215,"     137,000",59.99,8층
두산,성동구 금호동3가 1331,"     129,500",84.99,10층
풍림아이원,성동구 옥수동 60,"     181,500",84.767,4층
현대,성동구 옥수동 4,"     168,000",84.9,12층
모닝빌아파트,성동구 옥수동 478-1,"     250,000",208.14,6층
갤러리아포레,성동구 성수동1가 685-696,"     880,000",217.86,42층
트리마제,성동구 성수동1가 718,"     430,000",140.3099,15층
트리마제,성동구 성수동1가 718,"     640,000",152.1556,13층
트리마제,성동구 성수동1가 718,"     640,000",152.1556,13층
한진타운,성동구 성수동1가 704,"     180,000",84.21,9층
트리마제,성동구 성수동1가 718,"     425,000",140.3099,6층
대우2,성동구 성수동1가 709,"     150,000",84.97,16층
강변건영아파트,성동구 성수동1가 710,"     219,000",84.952,16층
쌍용,성동구 성수동1가 706,"     140,000",59.76,23층
신성미소지움,성동구 성수동2가 833,"     105,000",59.4,2층
서울숲금강아미움,성동구 성수동2가 836,"     119,700",80.89,8층
건영,성동구 송정동 90,"      86,000",59.83,6층
건영,성동구 송정동 90,"     108,500",84.945,6층
은진아파트5차,광진구 구의동 57-3,"      39,000",51.48,5층
래미안파크스위트,광진구 구의동 668,"     214,000",102.88,8층
청구,광진구 광장동 566,"     150,000",84.86,20층
워커힐 팰리스,광진구 광장동 125,"      67,000",104.42,4층
