주소,평균가격,평균면적,lat,lng,ADM_NM
서울특별시 종로구 내수동 72,214000,162.515,126.9720984,37.573598,사직동
서울특별시 종로구 내수동 73,190142.857142857,134.195714285714,126.9722416,37.5726327,사직동
서울특별시 종로구 내수동 95,183333.333333333,146.37,126.9705893,37.574191,사직동
서울특별시 종로구 당주동 145,93000,149.95,126.9737006,37.571377,사직동
서울특별시 종로구 사직동 1-8,84000,116.23,126.9680294,37.5769116,사직동
서울특별시 종로구 사직동 9,166023.80952381,127.741428571429,126.9689015,37.5744263,사직동
서울특별시 종로구 사직동 9-1,177000,158.375,126.9677738,37.5735582,사직동
서울특별시 종로구 신문로1가 238,65000,81.28,126.9729599,37.5713396,사직동
서울특별시 종로구 신문로2가 171,324333.333333333,128.536333333333,126.9720297,37.5686731,사직동
서울특별시 종로구 필운동 174-1,90000,84.74,126.9697337,37.5782244,사직동
서울특별시 종로구 구기동 125-5,56000,76.66,126.9562556,37.609049,평창동
서울특별시 종로구 평창동 145-5,64800,76.6,126.9727133,37.6091265,평창동
서울특별시 종로구 평창동 155-1,130000,169.75,126.9702548,37.6074409,평창동
서울특별시 종로구 평창동 45,155500,171.435,126.9737587,37.6081443,평창동
서울특별시 종로구 평창동 46-1,103000,194.59,126.974283,37.6085184,평창동
서울특별시 종로구 평창동 595,22050,36.7025,126.9636437,37.6047037,평창동
서울특별시 종로구 평창동 596,70500,59.97,126.9786911,37.6109361,평창동
서울특별시 종로구 평창동 66-1,114000,236.07,126.9759355,37.6096834,평창동
서울특별시 종로구 평창동 72,105000,100.795,126.9756964,37.6091348,평창동
서울특별시 용산구 한남동 1-35,150000,159.5,127.0116809,37.5358884,한남동
서울특별시 용산구 한남동 1-44,429000,221.426666666667,127.0137187,37.5384739,한남동
서울특별시 용산구 한남동 258,170000,143.15,127.0086871,37.5335797,한남동
서울특별시 용산구 한남동 26-10,290000,179.55,127.0108779,37.5342649,한남동
서울특별시 용산구 한남동 26-5,350000,196.685,127.0103717,37.533986,한남동
서울특별시 용산구 한남동 386,493333.333333333,234.853333333333,127.0099305,37.5315378,한남동
서울특별시 용산구 한남동 410,1800000,268.67,127.0114434,37.531401,한남동
서울특별시 용산구 한남동 522-1,122166.666666667,88.75,127.0077382,37.5303016,한남동
서울특별시 용산구 한남동 644-2,91700,59.95,127.0042271,37.5329101,한남동
서울특별시 용산구 한남동 684-82,130000,83.6,127.0008728,37.5344351,한남동
서울특별시 용산구 한남동 723-3,37750,60.63,127.0055263,37.5381475,한남동
서울특별시 용산구 한남동 732-19,174000,76.66,126.9980569,37.5341638,한남동
서울특별시 용산구 한남동 799,174500,84.97,127.0122253,37.5330171,한남동
서울특별시 용산구 한남동 802,158000,84.77,127.0083301,37.5297215,한남동
서울특별시 용산구 한남동 805,434000,203.76,127.004835,37.5276939,한남동
서울특별시 용산구 한남동 807,194700,99.5336666666667,127.0038532,37.5284472,한남동
서울특별시 용산구 한남동 808,141000,84.57,127.0013683,37.5349895,한남동
서울특별시 용산구 한남동 809,158500,97.425,127.0033839,37.5387647,한남동
서울특별시 용산구 한남동 810,510461.538461538,112.429846153846,127.0094956,37.5369784,한남동
서울특별시 용산구 한남동 825,187000,116.0224,127.0033021,37.5391372,한남동
서울특별시 용산구 한남동 828,93833.3333333333,48.0679333333333,127.0072641,37.5323966,한남동
서울특별시 용산구 한남동 829,915000,206.8953,127.0034202,37.5362914,한남동
서울특별시 성동구 하왕십리동 1002,95118.1818181818,64.5431818181818,127.0266933,37.5608597,왕십리2동
서울특별시 성동구 하왕십리동 1050,95000,112.26,127.0267863,37.5631094,왕십리2동
서울특별시 성동구 하왕십리동 1052,79045.4545454545,71.2354545454545,127.025858,37.5614005,왕십리2동
서울특별시 성동구 하왕십리동 1058,83571.4285714286,70.8514285714286,127.0232869,37.5584821,왕십리2동
서울특별시 성동구 하왕십리동 1061,89932.1428571429,67.1459285714286,127.0253044,37.5589775,왕십리2동
서울특별시 성동구 하왕십리동 1064,86250,84.957,127.0311006,37.5608666,왕십리2동
서울특별시 성동구 하왕십리동 1071,106769.565217391,62.1995652173913,127.0247839,37.5604823,왕십리2동
서울특별시 성동구 하왕십리동 890-446,32000,37.61,127.0276196,37.5634419,왕십리2동
서울특별시 성동구 하왕십리동 966-18,13500,12.84,127.032885,37.5623192,왕십리2동
서울특별시 성동구 하왕십리동 966-19,24300,16.76,127.0326954,37.5624081,왕십리2동
서울특별시 성동구 하왕십리동 990,83416.6666666667,70.9366666666667,127.0283666,37.5623584,왕십리2동
서울특별시 성동구 하왕십리동 992,79000,84.645,127.0278845,37.5611646,왕십리2동
서울특별시 성동구 마장동 767-1,60750,81.2,127.0446479,37.5691879,마장동
서울특별시 성동구 마장동 784,79575,55.1925,127.0450273,37.5649915,마장동
서울특별시 성동구 마장동 817,89608.3333333333,72.32,127.0401412,37.5661605,마장동
서울특별시 성동구 마장동 818,80437.5,68.1267857142857,127.0425656,37.5694739,마장동
서울특별시 성동구 마장동 819,86625,72.4,127.0391282,37.5654055,마장동
서울특별시 성동구 마장동 820,118166.666666667,86.6366666666667,127.0406788,37.5630119,마장동
서울특별시 성동구 마장동 822,83816.6666666667,80.8183333333333,127.0437142,37.5689443,마장동
서울특별시 성동구 마장동 825,77575,65.9525,127.0386489,37.5668368,마장동
