아파트명,주소,가격,면적,층수
운현신화타워,종로구 익선동 30-6,"      65,000",84.26,11층
이화에수풀,종로구 연건동 195-10,"      18,600",16.98,7층
CS타워,종로구 충신동 62-2,"      15,300",21.94,10층
동성아파트(1동),종로구 동숭동 4-161,"      35,000",57.96,1층
아남2,종로구 명륜2가 236,"      90,000",84.9,4층
아남2,종로구 명륜2가 236,"      90,000",84.9,4층
아남2,종로구 명륜2가 236,"      90,000",84.9,4층
아남2,종로구 명륜2가 236,"      90,000",84.9,4층
창신쌍용2,종로구 창신동 703,"      59,500",54.7,9층
종로중흥S클래스,종로구 숭인동 202-3,"      12,900",17.811,13층
종로아인스빌,종로구 숭인동 1392-1,"      12,000",12.15,14층
경서,중구 남창동 205-44,"      33,000",55.8,3층
약수하이츠,중구 신당동 842,"      86,000",57.63,15층
신당아르브,중구 신당동 160-5,"      15,700",18.08,6층
약수하이츠,중구 신당동 842,"      85,000",57.63,12층
한양I-Class,중구 황학동 787,"      13,300",16.37,17층
DUO302,중구 황학동 819,"      16,000",15.97,12층
DUO302,중구 황학동 819,"      15,000",15.97,13층
삼정아트테라스정동,중구 정동 37,"      39,000",22.0989,2층
용암한신,용산구 용산동2가 47-5,"      60,000",72.66,5층
프라임펠리스,용산구 문배동 24-8,"      16,500",13.69,18층
프라임펠리스,용산구 문배동 24-8,"      16,500",13.69,14층
프라임펠리스,용산구 문배동 24-8,"      15,500",13.69,17층
용산파크자이,용산구 한강로1가 50-1,"     160,000",99.85,6층
한강로대우아이빌,용산구 한강로2가 2-11,"      36,500",28.22,15층
센트럴파크,용산구 한강로3가 98,"     290,000",102.8617,27층
동아그린,용산구 이촌동 411,"      99,000",43.02,12층
이촌코오롱(A),용산구 이촌동 412,"     200,000",114.69,6층
이촌동삼성리버스위트,용산구 이촌동 426,"     375,000",180.82,5층
나인원한남,용산구 한남동 829,"     945,000",206.8953,8층
장미1,용산구 한남동 732-19,"     169,000",77.39,1층
장미1,용산구 한남동 732-19,"     176,000",74.38,3층
장미1,용산구 한남동 732-19,"     176,000",74.38,3층
주미,용산구 보광동 260-6,"     149,150",79.21,7층
주미,용산구 보광동 260-6,"     143,000",69.39,9층
상리제나우스,성동구 하왕십리동 966-18,"      13,900",12.84,9층
한양마이라움,성동구 사근동 315,"      16,000",17.99,3층
행당한진타운,성동구 행당동 346,"     111,000",84.71,7층
신동아,성동구 행당동 344,"      93,000",84.96,10층
대림(1차),성동구 응봉동 100,"      95,000",75.51,3층
대림(1차),성동구 응봉동 100,"      95,000",75.51,3층
신금호파크자이,성동구 금호동2가 1,"     107,000",59.98,2층
현대,성동구 옥수동 4,"     180,000",123.51,9층
옥수삼성,성동구 옥수동 250,"     123,800",84.822,1층
성수1차대우아파트,성동구 성수동2가 279-50,"      55,000",59.49,18층
구의현대2단지,광진구 구의동 611,"     100,000",84.91,5층
유진스웰,광진구 광장동 121,"     185,000",165.327,3층
한강극동,광진구 자양동 57-103,"     105,000",84.45,11층
자양호반써밋,광진구 자양동 861,"      80,000",40.2673,10층
우성2,광진구 자양동 520-2,"      85,000",51.57,12층
씨즈건대힐스,광진구 화양동 530,"      17,000",14.23,4층
