아파트명,주소,가격,면적,층수
경희궁의아침3단지,종로구 내수동 72,"     200,100",174.55,4층
경희궁파크팰리스,종로구 내수동 95,"     181,000",147.62,7층
현대뜨레비앙,종로구 익선동 55,"      35,000",46.64,5층
이화에수풀,종로구 연건동 195-10,"      24,000",19.86,7층
이화에수풀,종로구 연건동 195-10,"      16,000",16.98,5층
(60-1),종로구 연건동 60-1,"      48,500",59.63,2층
CS타워,종로구 충신동 62-2,"      16,000",21.94,11층
아남2,종로구 명륜2가 236,"      89,000",114.36,2층
아남1,종로구 명륜2가 4,"     120,000",84.9,9층
명륜동주상복합아남아파트,종로구 명륜2가 237,"      73,000",47.43,5층
그린,종로구 창신동 23-326,"      49,000",44.6,3층
삼전솔하임4차,종로구 숭인동 318-2,"      12,450",15.09,17층
종로청계힐스테이트,종로구 숭인동 766,"     117,000",84.9478,2층
삼전솔하임2차,종로구 숭인동 296-19,"      12,000",14.69,5층
경희궁자이(2단지),종로구 홍파동 199,"     269,000",101.9914,2층
경희궁자이(2단지),종로구 홍파동 199,"     222,500",84.614,9층
경희궁자이(4단지),종로구 교북동 126,"      90,000",37.2635,8층
경희궁자이(4단지),종로구 교북동 126,"      92,000",37.2635,14층
롯데낙천대,종로구 평창동 72,"     145,000",133.34,6층
삼성,종로구 평창동 596,"      67,000",59.97,2층
인왕산아이파크,종로구 무악동 60,"     135,000",84.858,7층
인왕산아이파크,종로구 무악동 60,"     160,000",114.931,15층
경서,중구 남창동 205-44,"      30,000",50.15,4층
경서,중구 남창동 205-44,"      30,000",50.15,4층
SK리더스뷰남산,중구 회현동1가 206,"     180,000",137.53,8층
쌍용남산플래티넘,중구 회현동2가 87,"      83,000",166.24,25층
쌍용남산플래티넘,중구 회현동2가 87,"     235,000",177,15층
남산센트럴자이,중구 충무로4가 306,"     130,000",139.936,22층
충무로헤센스마트,중구 충무로5가 90,"      47,500",40.65,7층
충무로헤센스마트,중구 충무로5가 90,"      23,000",21.04,4층
충무로헤센스마트,중구 충무로5가 90,"      44,000",40.65,3층
충무로헤센스마트,중구 충무로5가 90,"      22,100",21.04,3층
인현상가/신성아파트,중구 인현동2가 192-30,"      34,000",40.83,9층
남산타운,중구 신당동 844,"      99,400",59.94,1층
유정,중구 신당동 432-1970,"      28,000",59.65,2층
남산타운,중구 신당동 844,"     165,000",114.88,3층
남산타운,중구 신당동 844,"     140,000",84.88,11층
남산타운,중구 신당동 844,"     121,500",59.94,12층
신당KCC스위첸,중구 신당동 856,"     120,000",59.4458,15층
남산타운,중구 신당동 844,"     105,000",59.94,2층
동산,중구 신당동 432-579,"      18,000",53.83,5층
신신(2차),중구 신당동 432-1957,"      24,000",55.73,-1층
청구e편한세상,중구 신당동 852,"     152,500",84.96,3층
남산타운,중구 신당동 844,"     112,500",59.94,12층
약수역더시티,중구 신당동 857,"      23,800",18.86,9층
약수하이츠,중구 신당동 842,"      93,000",57.63,7층
약수(372-13),중구 신당동 372-13,"      39,000",48.07,5층
동대문와이즈캐슬,중구 흥인동 119,"      23,700",16.3,12층
청계리버팰리스A,중구 황학동 2033,"      31,000",26.14,10층
한양I-Class,중구 황학동 787,"      12,400",16.37,14층
골드캐슬Ⅲ,중구 황학동 1743,"      31,500",29.52,10층
롯데캐슬,중구 황학동 2545,"     105,000",84.89,26층
삼정아트테라스정동,중구 정동 37,"      42,000",23.4274,5층
신주에지앙,용산구 후암동 302,"     105,000",111.4,3층
센트레빌아스테리움서울,용산구 동자동 45,"     165,000",131.05,12층
용산더프라임,용산구 원효로1가 41,"     220,000",142.901,9층
용산더프라임,용산구 원효로1가 41,"     210,000",142.901,32층
리첸시아용산A,용산구 원효로1가 133-3,"     450,000",198.32,24층
GS자이,용산구 청암동 181,"     210,000",157.43,11층
산호,용산구 원효로4가 118-16,"     150,000",100.56,2층
풍전,용산구 원효로4가 109-4,"     107,000",81.72,1층
강변삼성스위트,용산구 원효로4가 178,"     135,000",84.9,22층
효창로즈,용산구 효창동 3-4,"      90,000",84.76,6층
효창파크푸르지오,용산구 효창동 274,"     171,500",84.45,11층
제일1,용산구 도원동 3-4,"      29,500",45.26,1층
CJ나인파크,용산구 문배동 24-6,"     156,000",84.98,26층
용산KCC웰츠타워,용산구 문배동 11-10,"     147,500",84.03,38층
용산큐브,용산구 문배동 24-4,"      19,000",13.01,19층
이안용산1차(101동),용산구 문배동 11-14,"     136,000",84.99,5층
용산큐브,용산구 문배동 24-4,"      19,200",13.01,20층
용산e편한세상,용산구 신계동 48,"     210,000",84.89,20층
용산e편한세상,용산구 신계동 48,"     237,500",158.26,20층
용산푸르지오써밋(420),용산구 한강로2가 420,"     250,000",112.1122,17층
용산푸르지오써밋(420),용산구 한강로2가 420,"     250,000",112.1122,17층
용산파크타워(24-0),용산구 용산동5가 24,"     270,000",149.92,32층
용산시티파크(1단지),용산구 한강로3가 63-389,"     400,000",177.52,16층
센트럴파크,용산구 한강로3가 98,"     290,000",114.8905,28층
센트럴파크,용산구 한강로3가 98,"     405,215",135.3849,13층
용산시티파크(1단지),용산구 한강로3가 63-389,"     210,500",144.95,13층
한가람,용산구 이촌동 404,"     186,000",59.88,18층
강촌,용산구 이촌동 402,"     260,000",114.595,7층
반도,용산구 이촌동 301-170,"     340,000",167.18,4층
장미(203-14),용산구 이촌동 203-14,"     103,500",46.78,3층
한강맨숀,용산구 이촌동 300-23,"     450,000",120.56,2층
반도,용산구 이촌동 301-170,"     360,000",166.34,6층
강촌,용산구 이촌동 402,"     266,000",106.645,10층
퀸스리버빌,용산구 이촌동 302-140,"     140,000",199.05,2층
한가람,용산구 이촌동 404,"     186,000",59.88,18층
현대한강,용산구 이촌동 400,"     165,000",59.55,3층
한강(대우),용산구 이촌동 415,"     187,000",60,7층
강촌,용산구 이촌동 402,"     210,000",84.85,8층
왕궁,용산구 이촌동 300-11,"     240,000",102.48,1층
로얄맨숀,용산구 이촌동 301-10,"     247,998",186.12,12층
한강맨숀,용산구 이촌동 300-23,"     400,000",101.95,4층
주공1,용산구 이태원동 728,"     164,000",84.66,1층
청화1,용산구 이태원동 22-2,"     215,000",106.12,10층
한남동리첸시아,용산구 한남동 72-1,"     130,000",73.39,4층
한남더힐,용산구 한남동 810,"     835,000",233.062,7층
형우베스트빌3차,용산구 한남동 27-2,"     212,200",228.21,9층
한남더힐,용산구 한남동 810,"     300,000",59.686,5층
한남파라곤,용산구 한남동 825,"     170,000",82.5437,7층
르가든더메인한남,용산구 한남동 386,"     900,000",225.41,6층
성아1,용산구 한남동 263-10,"      35,500",28.36,5층
한남더힐,용산구 한남동 810,"   1,100,000",240.305,3층
센트럴큐브,성동구 상왕십리동 12-47,"      24,800",19.42,13층
벽산,성동구 하왕십리동 258,"     139,500",114.46,5층
왕십리지음재,성동구 하왕십리동 966-19,"      23,000",16.76,5층
상리제나우스,성동구 하왕십리동 966-18,"      13,000",12.84,4층
왕십리KCC스위첸,성동구 하왕십리동 1002,"     125,000",84.897,2층
센트라스,성동구 하왕십리동 1070,"     192,000",84.96,16층
왕십리자이,성동구 하왕십리동 1071,"     129,000",59.99,16층
상리제나우스,성동구 하왕십리동 966-18,"      13,000",12.84,4층
현대,성동구 마장동 818,"      92,000",59.91,5층
현대,성동구 마장동 818,"      91,000",59.91,15층
현대,성동구 마장동 818,"     106,500",84.91,11층
마장동중앙하이츠,성동구 마장동 819,"     116,000",84.8,22층
드림시드,성동구 사근동 198-1,"      43,000",84.97,6층
두산,성동구 행당동 345,"     105,500",59.94,12층
대림e-편한세상,성동구 행당동 347,"     130,500",84.87,6층
