아파트명,주소,가격,면적,층수
포레스트힐시티,종로구 효제동 65-2,"      19,000",18.7352,7층
이지마루종로,종로구 효제동 126-2,"      33,800",20.87,7층
이지마루종로,종로구 효제동 126-2,"      46,500",25.55,8층
이화에수풀,종로구 연건동 195-10,"      19,500",16.98,7층
아남1,종로구 명륜2가 4,"     122,000",84.9,13층
창신쌍용2,종로구 창신동 703,"      67,500",54.7,7층
삼전솔하임4차,종로구 숭인동 318-2,"      11,800",15.09,15층
종로센트레빌,종로구 숭인동 2-1,"      95,000",59.92,11층
종로유케이201,종로구 숭인동 201-11,"       9,500",12.01,10층
숭인한양LEEPS,종로구 숭인동 1421-2,"      11,900",12.78,4층
경희궁자이(3단지),종로구 평동 233,"     230,000",116.9383,9층
경희궁자이(4단지),종로구 교북동 126,"     108,000",45.879,14층
대아파크빌,종로구 신영동 254,"      45,000",59.22,3층
경희궁롯데캐슬,종로구 무악동 89,"     142,500",59.6737,14층
인왕산아이파크,종로구 무악동 60,"     135,000",84.858,8층
현대,종로구 무악동 82,"     103,000",60,6층
현대,종로구 무악동 82,"     103,000",60,6층
진양상가,중구 충무로4가 120-3,"      88,000",95.8,10층
충무로헤센스마트,중구 충무로5가 90,"      22,100",21.04,3층
충무로헤센스마트,중구 충무로5가 90,"      23,300",21.04,4층
충무로헤센스마트,중구 충무로5가 90,"      39,800",31.02,5층
충무로헤센스마트,중구 충무로5가 90,"      22,200",19.76,4층
묵정,중구 묵정동 11-67,"      53,700",52.46,8층
현대,중구 신당동 840,"      87,500",66.6,5층
남산타운,중구 신당동 844,"     116,000",59.94,13층
남산타운,중구 신당동 844,"     127,500",59.94,15층
남산타운,중구 신당동 844,"     140,000",84.88,1층
탑힐,중구 신당동 313-8,"     100,000",39.72,3층
약수하이츠,중구 신당동 842,"     117,000",57.63,9층
황학동코아루,중구 황학동 882,"      95,000",84.96,10층
DUO302,중구 황학동 819,"      14,300",15.97,15층
롯데캐슬,중구 황학동 2545,"      98,000",59.91,30층
롯데캐슬,중구 황학동 2545,"      98,000",59.91,30층
삼정아트테라스정동,중구 정동 37,"      26,000",14.2664,8층
삼정아트테라스정동,중구 정동 37,"      48,000",32.0134,2층
덕수궁롯데캐슬,중구 순화동 217,"     130,000",69.5135,8층
남산애지앙,용산구 후암동 1-10,"      56,500",44.88,1층
뉴후암,용산구 후암동 426,"      75,000",67.11,3층
한울글로리A,용산구 청파동3가 132-50,"      52,000",91.03,5층
제일1,용산구 도원동 3-4,"      24,000",45.26,5층
용산큐브,용산구 문배동 24-4,"      18,400",13.01,15층
프라임펠리스,용산구 문배동 24-8,"      25,300",21.39,19층
래미안용산더센트럴,용산구 한강로2가 422,"     390,000",161.48,23층
용산파크타워(24-1),용산구 용산동5가 24-1,"     285,000",139.7,12층
한강맨숀,용산구 이촌동 300-23,"     425,000",120.56,1층
현대한강,용산구 이촌동 400,"     167,000",59.55,18층
한가람,용산구 이촌동 404,"     240,000",84.89,17층
강촌,용산구 이촌동 402,"     259,500",106.645,6층
LG한강자이,용산구 이촌동 430,"     440,000",203.21,23층
청화1,용산구 이태원동 22-2,"     289,000",174.38,2층
청화1,용산구 이태원동 22-2,"     289,000",174.38,2층
남산대림,용산구 이태원동 729,"     190,000",149.53,1층
현대하이페리온,용산구 한남동 805,"     470,000",203.76,15층
성아1,용산구 한남동 263-10,"      54,500",52,11층
텐즈힐(2단지),성동구 상왕십리동 811,"     169,000",84.92,7층
센트라스,성동구 하왕십리동 1070,"     180,000",84.96,13층
벽산,성동구 하왕십리동 258,"     130,000",84.94,20층
왕십리풍림아이원,성동구 하왕십리동 1061,"      95,000",59.936,2층
현대,성동구 마장동 818,"      89,500",59.91,23층
세림,성동구 마장동 784,"      87,000",40.86,3층
세림,성동구 마장동 784,"     108,000",72.84,8층
세림,성동구 마장동 784,"     109,000",72.84,2층
세림,성동구 마장동 784,"     109,000",72.84,2층
행당두산위브,성동구 행당동 375,"     129,900",84.99,2층
서울숲 한신 더 휴,성동구 행당동 349,"     137,500",84.95,5층
대림강변타운,성동구 응봉동 15,"     109,500",59.76,17층
금호자이2차,성동구 금호동3가 700,"     162,000",84.9796,21층
대우,성동구 금호동4가 800,"     177,000",114.71,11층
옥수삼성,성동구 옥수동 250,"     184,500",114.666,10층
옥수삼성,성동구 옥수동 250,"     187,000",114.666,7층
옥수어울림,성동구 옥수동 560,"     183,000",84.699,16층
서울숲대림,성동구 성수동1가 656-234,"     200,000",84.015,9층
성수우방2차아파트,성동구 성수동2가 286,"      99,000",59.82,7층
덕현해밀,성동구 용답동 252,"     103,000",84.99,2층
삼성쉐르빌,광진구 구의동 199-18,"     111,000",84.94,16층
현대프라임,광진구 구의동 631-1,"     117,000",59.82,4층
AZ0213,광진구 구의동 252-9,"      38,300",42.97,6층
극동1,광진구 광장동 218-1,"     233,000",126.94,11층
자양10차현대홈타운,광진구 자양동 792,"     155,000",84.46,10층
한강아남,광진구 자양동 830,"     105,000",84.24,9층
광진하우스토리한강,광진구 자양동 813,"     162,855",141.54,13층
더샵스타시티,광진구 자양동 227-7,"     227,000",139.6,23층
자양현대6,광진구 자양동 786,"     108,300",59.98,15층
자양2현대,광진구 자양동 761,"     137,500",84.88,6층
대동,광진구 자양동 784-1,"     106,000",59.54,9층
씨즈건대힐스,광진구 화양동 530,"      15,000",14.23,5층
위너스힐(111-89),광진구 화양동 111-89,"      50,000",58.05,10층
위너스힐(111-89),광진구 화양동 111-89,"      50,000",52.04,13층
포레스트힐시티,동대문구 신설동 100-26,"      17,400",14.75,15층
신동아,동대문구 용두동 779,"      99,000",84.63,15층
서안팰리스,동대문구 용두동 235-30,"      55,000",81.85,5층
동대문푸르지오시티(도시형생활주택),동대문구 용두동 104-3,"      42,500",30.11,20층
청계한양아이클래스,동대문구 용두동 255-49,"      18,000",14.22,17층
현대,동대문구 제기동 892-66,"     104,200",90.95,16층
한신아파트,동대문구 제기동 1212,"      84,700",59.84,17층
래미안크레시티,동대문구 전농동 690,"     121,800",59.99,11층
전농동신성미소지움,동대문구 전농동 687,"     120,000",80.325,6층
청계지웰에스테이트,동대문구 답십리동 498-7,"      13,900",19.525,14층
한신휴플러스그린파크,동대문구 답십리동 1001,"      99,000",84.98,3층
답십리파크자이,동대문구 답십리동 1014,"     110,000",59.85,16층
한신휴플러스그린파크,동대문구 답십리동 1001,"     109,000",84.98,8층
센시티16,동대문구 답십리동 488-18,"      10,000",14.244,14층
청계지웰에스테이트,동대문구 답십리동 498-7,"      13,900",19.525,12층
현대썬앤빌청계,동대문구 답십리동 530-15,"      16,300",18.38,12층
래미안미드카운티,동대문구 답십리동 1013,"     126,000",75.01,6층
청계푸르지오시티,동대문구 답십리동 497-23,"      13,000",18.92,12층
보광타워,동대문구 답십리동 530-4,"      24,000",24.27,13층
현대썬앤빌청계,동대문구 답십리동 530-15,"      13,200",14.82,5층
답십리엘림퍼스트,동대문구 답십리동 1015,"      73,000",52.7678,10층
청계푸르지오시티,동대문구 답십리동 497-23,"      15,000",18.92,3층
힐스테이트청계,동대문구 답십리동 1009,"     112,500",59.86,2층
청계푸르지오시티,동대문구 답십리동 497-23,"      14,200",18.92,11층
답십리파크자이,동대문구 답십리동 1014,"     115,000",59.91,19층
장안현대홈타운(336),동대문구 장안동 336,"      91,500",59.54,20층
장안현대홈타운(336),동대문구 장안동 336,"     115,000",112.78,9층
장안푸르미에,동대문구 장안동 466-5,"      12,000",12.9463,3층
에메랄드(351-5),동대문구 장안동 351-5,"      41,300",55.111,8층
장한평월드메르디앙,동대문구 장안동 573,"      83,800",84.81,8층
신부파스카(319-2),동대문구 장안동 319-2,"      66,500",84.94,5층
우성2차아파트(334-6),동대문구 장안동 334-6,"      58,000",71.35,7층
장안뉴시티,동대문구 장안동 372-5,"      11,500",17.63,14층
홍릉동부,동대문구 청량리동 212,"      87,000",59.7,14층
한신,동대문구 청량리동 60,"     118,000",114.95,6층
한신,동대문구 청량리동 60,"      70,500",59.97,3층
미주,동대문구 청량리동 235-1,"     145,000",127.11,12층
미주,동대문구 청량리동 235-1,"     128,000",101.65,8층
휘경제이스카이아파트,동대문구 휘경동 369,"      64,000",84.43,7층
휘경베스트빌현대,동대문구 휘경동 52,"      69,000",59.92,10층
대림e-편한세상,동대문구 이문동 225,"      83,000",59.958,18층
쌍용,동대문구 이문동 64,"      79,000",59.99,12층
대림e-편한세상,동대문구 이문동 225,"     101,000",84.972,20층
중앙하이츠빌,동대문구 이문동 84,"      98,000",114.84,14층
중앙하이츠빌,동대문구 이문동 84,"      98,000",114.84,14층
현대,동대문구 이문동 54,"      75,800",59.92,11층
대우,동대문구 이문동 45,"      92,000",84.891,4층
신성,중랑구 면목동 1519,"      57,500",59.91,15층
늘푸른동아,중랑구 면목동 715,"      70,300",59.65,10층
용마한신,중랑구 면목동 1077-1,"      60,000",59.22,11층
개인택시주택조합(미성아파트),중랑구 면목동 1-41,"      40,500",55.4,7층
성원상떼빌,중랑구 면목동 1515,"      51,000",84.96,18층
한양수자인사가정파크,중랑구 면목동 1543,"      41,000",23.1074,3층
용마한신,중랑구 면목동 1077-1,"      56,000",44.35,12층
포시티,중랑구 상봉동 113-1,"      10,000",14.855,16층
건영캐스빌,중랑구 상봉동 499,"      94,000",84.6475,6층
센트럴파크55,중랑구 상봉동 87-27,"      46,200",48.49,7층
상봉힐스테이,중랑구 상봉동 106,"      30,500",17.25,11층
상봉힐스테이,중랑구 상봉동 106,"      30,500",17.25,10층
리더스,중랑구 상봉동 104-10,"      27,800",29.34,4층
"엘지,쌍용아파트",중랑구 상봉동 484,"      71,400",68.12,7층
상봉힐스테이,중랑구 상봉동 106,"      30,000",17.25,13층
상봉힐스테이,중랑구 상봉동 106,"      29,000",14.75,11층
범양프레체,중랑구 중화동 208-4,"      11,000",17.94,14층
신내,중랑구 묵동 13,"      50,000",39.84,11층
신내,중랑구 묵동 13,"      50,000",39.84,6층
묵동자이(2단지),중랑구 묵동 170-1,"     102,500",101.91,16층
풀내음(A동),중랑구 묵동 58-1,"      42,000",66.12,7층
풀내음(A동),중랑구 묵동 58-1,"      40,000",66.12,5층
신내,중랑구 묵동 13,"      53,000",39.84,9층
신내,중랑구 묵동 13,"      58,500",49.77,2층
우성,중랑구 묵동 245-64,"      30,000",55.74,4층
우성,중랑구 묵동 245-64,"      31,500",48.13,2층
동성3,중랑구 신내동 618,"      87,000",129.37,21층
성원,중랑구 신내동 783,"      70,000",84.32,3층
경원,중랑구 신내동 449-1,"      26,500",55.89,5층
경원,중랑구 신내동 449-1,"      26,500",55.89,5층
다우훼밀리,중랑구 신내동 796,"      57,500",59.96,12층
돈암동 풍림아파트 101~105동,성북구 돈암동 632,"      67,000",59.64,10층
한신,성북구 돈암동 609-1,"     110,000",132.96,9층
이수브라운스톤돈암,성북구 돈암동 636,"      89,900",84.97,6층
한진(609-1),성북구 돈암동 609-1,"      62,000",59.58,17층
삼선에스케이뷰,성북구 삼선동3가 116,"      90,000",59.97,12층
삼선에스케이뷰,성북구 삼선동3가 116,"     210,000",195.21,13층
보문파크뷰자이,성북구 보문동6가 458,"      85,000",45.81,9층
이편한세상보문,성북구 보문동3가 230,"     140,000",116.721,13층
정릉2차e-편한세상,성북구 정릉동 1035,"      80,000",59.92,8층
길음뉴타운경남아너스빌,성북구 정릉동 1015,"      74,500",84.87,3층
길음뉴타운경남아너스빌,성북구 정릉동 1015,"      58,000",45.77,8층
정릉스카이쌍용아파트,성북구 정릉동 1014,"      69,000",59.9,8층
길음뉴타운데시앙,성북구 정릉동 1018,"      61,500",59.42,9층
정릉2차e-편한세상,성북구 정릉동 1035,"      95,000",84.4,15층
대우,성북구 정릉동 1021,"      57,500",59.98,7층
대우,성북구 정릉동 1021,"      41,000",43.11,12층
"산장아파트가동,나동",성북구 정릉동 780,"      45,000",52.89,7층
길음뉴타운경남아너스빌,성북구 정릉동 1015,"      83,000",84.88,18층
중앙하이츠빌1단지,성북구 정릉동 494,"      68,500",59.98,9층
정릉우성아파트 101~105동,성북구 정릉동 1020,"      60,000",59.97,1층
길음뉴타운4단지(e편한세상),성북구 길음동 1281,"      86,000",59.97,10층
길음뉴타운6단지(래미안),성북구 길음동 1283,"      96,500",59.373,17층
길음뉴타운8단지(래미안),성북구 길음동 1284,"      85,000",59.99,1층
길음동동부센트레빌(1278-0),성북구 길음동 1278,"      89,000",84.844,3층
길음뉴타운4단지(e편한세상),성북구 길음동 1281,"      81,000",59.97,16층
길음뉴타운3단지푸르지오,성북구 길음동 1280-1,"      87,000",84.97,2층
래미안길음센터피스,성북구 길음동 498,"     110,000",59.99,13층
길음뉴타운4단지(e편한세상),성북구 길음동 1281,"     103,000",84.64,6층
길음동동부센트레빌(1278-0),성북구 길음동 1278,"      90,000",84.844,11층
래미안라센트,성북구 종암동 134,"     111,000",59.98,13층
래미안라센트,성북구 종암동 134,"     139,000",114.98,13층
동신,성북구 하월곡동 219,"      71,500",59.88,9층
월곡래미안루나밸리,성북구 하월곡동 226,"      93,500",84.88,1층
삼전솔하임3차,성북구 하월곡동 88-510,"      12,500",15.62,11층
래미안장위퍼스트하이,성북구 장위동 173-114,"     112,000",84.94,2층
석계역한일노벨리아시티,성북구 장위동 8-2,"      11,000",14.7145,9층
래미안장위퍼스트하이,성북구 장위동 173-114,"     110,000",84.94,5층
래미안장위퍼스트하이,성북구 장위동 173-114,"     100,000",59.99,19층
석계역한일노벨리아시티,성북구 장위동 8-2,"      11,800",15.2144,4층
두산,성북구 석관동 10,"      85,000",84.9,15층
두산,성북구 석관동 10,"      69,500",59.97,1층
두산,성북구 석관동 10,"      78,000",59.97,24층
삼각산아이원,강북구 미아동 1357,"      78,800",84.705,1층
에스케이북한산시티,강북구 미아동 1353,"      80,900",84.86,15층
삼각산아이원,강북구 미아동 1357,"      78,500",84.705,1층
현대캐슬,강북구 미아동 133-12,"      44,400",68.74,4층
훼밀리힐,강북구 번동 148-490,"      40,300",59.16,7층
주공1단지,강북구 번동 242,"      52,500",41.3,12층
번동솔그린,강북구 번동 136,"      62,000",84.6,1층
오동공원현대,강북구 번동 760,"      88,000",117.9794,12층
해모로아파트,강북구 번동 139,"      70,000",84.93,19층
예도팔라티움,강북구 수유동 223-7,"      17,800",13.47,8층
수유역하이씨티,강북구 수유동 733,"       9,000",12.33,5층
수유프리미어엠,강북구 수유동 48-8,"      11,000",19,4층
e편한세상,도봉구 쌍문동 731,"      76,500",84.754,7층
동익미라벨,도봉구 쌍문동 285-5,"      48,000",84.53,1층
쌍문동LG트윈빌2,도봉구 쌍문동 20-4,"      94,000",240.97,9층
북한산코오롱하늘채,도봉구 쌍문동 732,"      65,000",59.98,4층
삼익세라믹,도봉구 쌍문동 56,"      55,000",58.77,12층
방학지음재힐스,도봉구 방학동 717-2,"      18,500",21.51,7층
대원그린아파트,도봉구 방학동 444-31,"      33,300",46.86,8층
신동아아파트4,도봉구 방학동 732,"      53,000",84.9,3층
퍼스티안,도봉구 방학동 705-17,"       9,100",13.6794,11층
퍼스티안,도봉구 방학동 705-17,"       9,100",13.6794,5층
