아파트명,주소,가격,면적,층수
광화문스페이스본(101동~105동),종로구 사직동 9,"     172,500",159.01,4층
광화문스페이스본(101동~105동),종로구 사직동 9,"     200,000",158.99,13층
광화문스페이스본(106동),종로구 사직동 9-1,"     154,000",153.42,6층
광화문스페이스본(101동~105동),종로구 사직동 9,"     168,000",108.55,4층
로얄팰리스스위트,종로구 수송동 85,"     100,000",83.26,10층
현대뜨레비앙,종로구 익선동 55,"      43,500",48.54,4층
현대뜨레비앙,종로구 익선동 55,"      43,500",48.54,4층
현대뜨레비앙,종로구 익선동 55,"      29,800",36.08,6층
포레스트힐시티,종로구 효제동 65-2,"      14,100",14.1832,13층
이화에수풀,종로구 연건동 195-10,"      15,500",16.98,6층
아남1,종로구 명륜2가 4,"     109,500",84.9,9층
창신쌍용2,종로구 창신동 703,"      83,000",106.62,2층
삼전솔하임4차,종로구 숭인동 318-2,"      13,400",15.09,12층
종로센트레빌,종로구 숭인동 2-1,"     102,500",84.92,6층
종로센트레빌,종로구 숭인동 2-1,"     130,000",114.67,7층
종로동광모닝스카이,종로구 숭인동 1421-1,"      11,500",15.855,14층
종로아인스빌,종로구 숭인동 1392-1,"      11,500",12.15,13층
종로청계힐스테이트,종로구 숭인동 766,"      80,500",59.9426,13층
삼전솔하임2차,종로구 숭인동 296-19,"      10,250",15,10층
오성,종로구 숭인동 888,"      30,000",56.66,5층
종로유케이201,종로구 숭인동 201-11,"       8,900",12.08,11층
경희궁자이(3단지),종로구 평동 233,"     148,000",59.7547,4층
경희궁자이(3단지),종로구 평동 233,"     155,000",59.8547,6층
경희궁자이(3단지),종로구 평동 233,"     200,000",84.8359,12층
경희궁자이(2단지),종로구 홍파동 199,"     192,000",84.614,19층
경희궁자이(2단지),종로구 홍파동 199,"     182,000",84.8359,8층
노블레스빌,종로구 평창동 155-1,"     130,000",169.75,6층
롯데낙천대,종로구 평창동 72,"      92,000",91.06,4층
남산롯데캐슬아이리스,중구 회현동1가 208,"      64,000",33.81,20층
SK리더스뷰남산,중구 회현동1가 206,"     180,000",137.57,12층
진양상가,중구 충무로4가 120-3,"      65,000",71.93,12층
진양상가,중구 충무로4가 120-3,"      84,000",107.9,5층
진양상가,중구 충무로4가 120-3,"      57,000",71.93,6층
충무로헤센스마트,중구 충무로5가 90,"      37,800",40.65,5층
인현상가/신성아파트,중구 인현동2가 192-30,"      31,500",40.83,9층
삼성파크빌,중구 을지로5가 39-1,"      78,000",84.87,11층
이지마루오장,중구 오장동 206-34,"      13,000",14.49,8층
남산타운,중구 신당동 844,"     101,000",59.94,10층
남산타운,중구 신당동 844,"     148,500",114.88,15층
신당KCC스위첸,중구 신당동 856,"      97,000",59.7807,7층
남산타운,중구 신당동 844,"     128,500",84.88,17층
남산타운,중구 신당동 844,"     148,000",114.88,12층
래미안하이베르,중구 신당동 851,"     100,000",59.95,15층
남산타운,중구 신당동 844,"     102,000",59.94,17층
약수하이츠,중구 신당동 842,"      83,000",57.63,7층
남산타운,중구 신당동 844,"     136,000",84.88,12층
래미안하이베르,중구 신당동 851,"      99,000",59.95,6층
남산타운,중구 신당동 844,"     119,500",84.88,14층
남산타운,중구 신당동 844,"     130,000",114.88,8층
푸른마을(B),중구 신당동 432-922,"      25,000",59.42,5층
다오아트빌,중구 신당동 432-498,"      32,000",53.7,2층
동대문와이즈캐슬,중구 흥인동 119,"      14,500",16.55,11층
롯데캐슬,중구 황학동 2545,"      92,500",84.92,20층
롯데캐슬,중구 황학동 2545,"     103,000",84.92,30층
롯데캐슬,중구 황학동 2545,"     134,800",114.9,32층
그랜드힐오피스텔,중구 황학동 19,"      42,500",55.33,12층
롯데캐슬,중구 황학동 2545,"     100,000",84.97,12층
한양I-Class,중구 황학동 787,"      13,000",16.37,16층
한양I-Class,중구 황학동 787,"      13,000",16.37,16층
위너빌(Winnervill),중구 황학동 1200,"      35,500",29.87,10층
위너빌(Winnervill),중구 황학동 1200,"      35,500",29.87,9층
DUO302,중구 황학동 819,"      15,800",15.97,10층
황학아크로타워,중구 황학동 2523,"     110,000",111.224,19층
롯데캐슬,중구 황학동 2545,"      78,000",59.94,17층
덕수궁롯데캐슬,중구 순화동 217,"     133,000",69.5135,10층
덕수궁롯데캐슬,중구 순화동 217,"     133,000",69.5135,10층
LIG서울역리가,중구 만리동1가 231,"     134,900",84.9566,9층
서울역센트럴자이,중구 만리동2가 176-1,"     128,000",59.943,17층
서울역센트럴자이,중구 만리동2가 176-1,"     150,000",84.972,6층
서울역센트럴자이,중구 만리동2가 176-1,"     129,000",59.9808,5층
서울역센트럴자이,중구 만리동2가 176-1,"     129,000",59.9808,5층
브라운스톤남산,용산구 후암동 458,"     182,000",162.06,5층
센트레빌아스테리움서울,용산구 동자동 45,"     165,000",149.05,13층
용산더프라임,용산구 원효로1가 41,"     162,000",84.976,24층
용산더프라임,용산구 원효로1가 41,"     157,000",84.976,24층
리버힐삼성,용산구 산천동 193,"     102,530",59.55,2층
리버힐삼성,용산구 산천동 193,"     145,000",114.48,9층
한강타운,용산구 산천동 204,"      78,000",59.69,1층
효창파크푸르지오,용산구 효창동 274,"     162,500",84.45,13층
삼성래미안,용산구 도원동 23,"     107,850",59.94,14층
이안용산1차(102동),용산구 문배동 7-6,"     102,600",79.63,6층
