주소,평균가격,평균면적,lat,lng
서울특별시 강남구 개포동 1164-12,111500.0,73.5,127.0529493,37.4731929
서울특별시 강남구 개포동 1167,180000.0,197.91,127.0523762,37.4732159
서울특별시 강남구 개포동 12,117404.16666666669,41.443333333333335,127.0752094,37.4941774
서울특별시 강남구 개포동 12-2,274500.0,169.37,127.0766243,37.4962963
서울특별시 강남구 개포동 1280,256833.3333333333,74.39388888888888,127.0644350,37.4811997
서울특별시 강남구 개포동 1282,268214.28571428574,83.97571428571429,127.0538871,37.4786400
서울특별시 강남구 개포동 138,322357.14285714284,84.947,127.0673577,37.4841358
서울특별시 강남구 개포동 179,240000.0,79.61,127.0623917,37.4881753
서울특별시 강남구 개포동 185,243300.0,73.232,127.0716669,37.4888519
서울특별시 강남구 개포동 649,371500.0,154.72,127.0541788,37.4845189
서울특별시 강남구 개포동 653,275000.0,95.4,127.0544302,37.4826743
서울특별시 강남구 개포동 654,276166.6666666667,100.48333333333336,127.0512552,37.4824870
서울특별시 강남구 개포동 658-1,218666.66666666663,79.97,127.0568592,37.4762762
서울특별시 강남구 논현동 103,105000.0,84.87,127.0381504,37.5196344
서울특별시 강남구 논현동 105,263500.0,108.39,127.0365959,37.5193579
서울특별시 강남구 논현동 105-4,185250.0,94.45,127.0371689,37.5207209
서울특별시 강남구 논현동 107-44,129000.0,74.758,127.0373725,37.5178383
서울특별시 강남구 논현동 108-2,71000.0,52.54,127.0379561,37.5180522
서울특별시 강남구 논현동 114-23,139000.0,106.59,127.0368859,37.5171806
서울특별시 강남구 논현동 118-8,49500.0,26.96,127.0397007,37.5171946
서울특별시 강남구 논현동 194-22,31000.0,46.06,127.0307137,37.5072124
서울특별시 강남구 논현동 194-23,137000.0,83.7,127.0307463,37.5076906
서울특별시 강남구 논현동 195-1,192000.0,129.8748,127.0287625,37.5068651
서울특별시 강남구 논현동 196,44666.66666666666,34.02833333333333,127.0276540,37.5063732
서울특별시 강남구 논현동 205-2,85600.0,67.671,127.0304120,37.5068275
서울특별시 강남구 논현동 211-21,106750.0,43.10825,127.0349855,37.5138447
서울특별시 강남구 논현동 22,126500.0,53.93,127.0226915,37.5147190
서울특별시 강남구 논현동 221-7,22285.714285714286,17.41857142857143,127.0335380,37.5097184
서울특별시 강남구 논현동 225-6,147500.0,66.175,127.0359609,37.5105435
서울특별시 강남구 논현동 245,289166.6666666667,163.33833333333334,127.0381516,37.5147528
서울특별시 강남구 논현동 252-1,219000.0,110.778,127.0387894,37.5135520
서울특별시 강남구 논현동 258,206000.0,106.829,127.0383858,37.5125392
서울특별시 강남구 논현동 268-12,159140.0,132.96,127.0428443,37.5112779
서울특별시 강남구 논현동 274,131000.0,83.72,127.0382213,37.5106852
서울특별시 강남구 논현동 275,195000.0,84.9875,127.0376735,37.5103594
서울특별시 강남구 논현동 276-1,254000.0,98.6835,127.0389835,37.5095288
서울특별시 강남구 논현동 46-3,106000.0,129.24,127.0229768,37.5130511
서울특별시 강남구 논현동 47-11,65000.0,86.51,127.0226615,37.5129135
서울특별시 강남구 논현동 58-2,39375.0,36.29,127.0289105,37.5138873
서울특별시 강남구 대치동 1014-3,254000.0,97.35,127.0584123,37.4963884
서울특별시 강남구 대치동 1027,400000.0,106.13285714285716,127.0580090,37.4942944
서울특별시 강남구 대치동 316,223635.13513513515,79.88729729729731,127.0653085,37.4974139
서울특별시 강남구 대치동 503,369500.0,111.365,127.0598974,37.4911201
서울특별시 강남구 대치동 506,363000.0,112.91,127.0625620,37.4921192
서울특별시 강남구 대치동 511,400800.0,139.998,127.0673333,37.4933830
서울특별시 강남구 대치동 602,210000.0,76.6,127.0609474,37.4941742
서울특별시 강남구 대치동 63,265000.0,115.59,127.0691028,37.5002340
서울특별시 강남구 대치동 65,310000.0,120.76,127.0704548,37.4994723
서울특별시 강남구 대치동 650,270000.0,163.8,127.0571818,37.4924447
서울특별시 강남구 대치동 66,274500.0,83.56,127.0711932,37.4980810
서울특별시 강남구 대치동 670,460000.0,143.7175,127.0557529,37.4927840
서울특별시 강남구 대치동 888,330000.0,98.17,127.0545804,37.4950374
서울특별시 강남구 대치동 889-74,29250.0,30.46,127.0505510,37.5033752
서울특별시 강남구 대치동 890-49,22750.0,25.6175,127.0515755,37.5045003
서울특별시 강남구 대치동 891-23,31008.33333333333,34.77,127.0535400,37.5050842
서울특별시 강남구 대치동 891-26,43416.66666666666,42.62616666666667,127.0537681,37.5046356
서울특별시 강남구 대치동 891-28,86000.0,59.855,127.0542241,37.5045468
서울특별시 강남구 대치동 891-6,47646.15384615384,38.068461538461534,127.0540217,37.5056902
서울특별시 강남구 대치동 893,277000.0,120.455,127.0564708,37.5047593
