아파트명,주소,가격,면적,층수
광화문스페이스본(101동~105동),종로구 사직동 9,"     155,000",126.34,1층
경희궁의아침4단지,종로구 내수동 73,"     169,000",124.17,8층
로얄팰리스스위트,종로구 수송동 85,"      74,000",83.26,13층
현대뜨레비앙,종로구 익선동 55,"      32,000",46.64,3층
효성쥬얼리시티,종로구 인의동 48-2,"      87,500",84.64,7층
CS타워,종로구 충신동 62-2,"      15,000",22.17,13층
창신쌍용1,종로구 창신동 702,"      66,500",54.7,4층
창신쌍용1,종로구 창신동 702,"      79,400",79.87,6층
창신쌍용2,종로구 창신동 703,"      77,800",79.87,14층
창신쌍용2,종로구 창신동 703,"      68,000",64.66,8층
창신이수,종로구 창신동 23-816,"      74,800",68.06,6층
창신쌍용1,종로구 창신동 702,"      64,000",54.7,10층
창신쌍용1,종로구 창신동 702,"      54,000",54.7,10층
종로청계힐스테이트,종로구 숭인동 766,"     104,000",84.9478,14층
종로청계힐스테이트,종로구 숭인동 766,"      92,400",59.9426,6층
종로센트레빌,종로구 숭인동 2-1,"      98,000",59.92,8층
삼전솔하임2차,종로구 숭인동 296-19,"      10,300",16.67,4층
동문(482-0),종로구 숭인동 482,"      36,000",60,-1층
경희궁자이(3단지),종로구 평동 233,"     185,000",84.836,17층
경희궁자이(2단지),종로구 홍파동 199,"     185,000",84.836,21층
경희궁자이(4단지),종로구 교북동 126,"      85,500",37.2635,2층
경희궁자이(4단지),종로구 교북동 126,"      85,900",37.2635,8층
경희궁자이(4단지),종로구 교북동 126,"      89,500",37.2635,11층
대성아파트,종로구 행촌동 41-1,"      23,000",45.39,1층
밀레니엄,종로구 평창동 179-5,"      74,000",108.18,3층
형우럭스빌(33-1),종로구 평창동 33-1,"      44,000",91.87,5층
삼성,종로구 평창동 596,"      54,000",59.97,10층
롯데낙천대,종로구 평창동 72,"     105,000",133.34,5층
롯데낙천대,종로구 평창동 72,"     108,000",110.53,8층
부암스카이뷰,종로구 부암동 218-1,"      50,000",81.08,5층
현대,종로구 무악동 82,"     119,950",84.92,15층
현대,종로구 무악동 82,"     119,960",84.92,4층
경희궁롯데캐슬,종로구 무악동 89,"     163,000",84.8792,5층
인왕산2차아이파크,종로구 무악동 88,"     126,000",84.4541,12층
인왕산아이파크,종로구 무악동 60,"     140,000",114.931,11층
인왕산아이파크,종로구 무악동 60,"     120,000",84.858,2층
현대,종로구 무악동 82,"     124,950",84.92,10층
경희궁롯데캐슬,종로구 무악동 89,"     151,000",84.8792,1층
인왕산아이파크,종로구 무악동 60,"     120,000",84.858,2층
인왕산아이파크,종로구 무악동 60,"     130,000",84.858,13층
인왕산아이파크,종로구 무악동 60,"     144,000",84.858,13층
남산롯데캐슬아이리스,중구 회현동1가 208,"      83,000",44.99,10층
남산롯데캐슬아이리스,중구 회현동1가 208,"     165,000",133.98,16층
남산센트럴자이,중구 충무로4가 306,"     101,000",80.473,8층
진양상가,중구 충무로4가 120-3,"      49,500",71.93,7층
남산센트럴자이,중구 충무로4가 306,"     107,000",80.473,12층
남산센트럴자이,중구 충무로4가 306,"     125,000",114.84,22층
진양상가,중구 충무로4가 120-3,"      54,000",71.93,8층
충무로엘크루메크로시티2차,중구 충무로5가 36-2,"      34,000",35.55,20층
충무로헤센스마트,중구 충무로5가 90,"      40,000",40.65,2층
충무로엘크루메크로시티2차,중구 충무로5가 36-2,"      20,000",22.75,20층
인현상가/신성아파트,중구 인현동2가 192-30,"      22,500",40.13,10층
장충,중구 장충동2가 193-29,"      10,750",31.24,6층
오렌지카운티을지로,중구 오장동 145-1,"      20,450",15.79,8층
오렌지카운티을지로,중구 오장동 145-1,"      20,450",15.79,8층
오렌지카운티을지로,중구 오장동 145-1,"      20,450",15.79,8층
오렌지카운티을지로,중구 오장동 145-1,"      20,450",15.79,8층
오렌지카운티을지로,중구 오장동 145-1,"      20,450",15.79,8층
오렌지카운티을지로,중구 오장동 145-1,"      20,450",15.79,8층
오렌지카운티을지로,중구 오장동 145-1,"      20,450",15.79,8층
오렌지카운티을지로,중구 오장동 145-1,"      20,450",15.79,8층
오렌지카운티을지로,중구 오장동 145-1,"      20,450",15.79,9층
오렌지카운티을지로,중구 오장동 145-1,"      20,450",15.79,9층
오렌지카운티을지로,중구 오장동 145-1,"      20,450",15.79,9층
오렌지카운티을지로,중구 오장동 145-1,"      20,450",15.79,9층
오렌지카운티을지로,중구 오장동 145-1,"      20,450",15.79,9층
오렌지카운티을지로,중구 오장동 145-1,"      20,450",15.79,9층
오렌지카운티을지로,중구 오장동 145-1,"      20,450",15.79,9층
오렌지카운티을지로,중구 오장동 145-1,"      20,450",15.79,9층
오렌지카운티을지로,중구 오장동 145-1,"      20,600",15.79,10층
오렌지카운티을지로,중구 오장동 145-1,"      20,600",15.79,10층
오렌지카운티을지로,중구 오장동 145-1,"      20,600",15.79,10층
오렌지카운티을지로,중구 오장동 145-1,"      20,600",15.79,10층
오렌지카운티을지로,중구 오장동 145-1,"      20,600",15.79,10층
오렌지카운티을지로,중구 오장동 145-1,"      20,600",15.79,10층
오렌지카운티을지로,중구 오장동 145-1,"      20,600",15.79,10층
오렌지카운티을지로,중구 오장동 145-1,"      20,600",15.79,10층
오렌지카운티을지로,중구 오장동 145-1,"      20,850",15.79,11층
오렌지카운티을지로,중구 오장동 145-1,"      20,850",15.79,11층
오렌지카운티을지로,중구 오장동 145-1,"      20,850",15.79,11층
오렌지카운티을지로,중구 오장동 145-1,"      20,850",15.79,11층
오렌지카운티을지로,중구 오장동 145-1,"      20,850",15.79,11층
오렌지카운티을지로,중구 오장동 145-1,"      20,850",15.79,11층
오렌지카운티을지로,중구 오장동 145-1,"      20,850",15.79,11층
오렌지카운티을지로,중구 오장동 145-1,"      20,850",15.79,11층
오렌지카운티을지로,중구 오장동 145-1,"      20,850",15.79,12층
오렌지카운티을지로,중구 오장동 145-1,"      20,850",15.79,12층
오렌지카운티을지로,중구 오장동 145-1,"      20,850",15.79,12층
오렌지카운티을지로,중구 오장동 145-1,"      20,850",15.79,12층
오렌지카운티을지로,중구 오장동 145-1,"      20,850",15.79,12층
오렌지카운티을지로,중구 오장동 145-1,"      20,850",15.79,12층
오렌지카운티을지로,중구 오장동 145-1,"      20,850",15.79,12층
오렌지카운티을지로,중구 오장동 145-1,"      20,850",15.79,12층
오렌지카운티을지로,중구 오장동 145-1,"      20,850",15.79,13층
오렌지카운티을지로,중구 오장동 145-1,"      20,850",15.79,13층
오렌지카운티을지로,중구 오장동 145-1,"      20,850",15.79,13층
오렌지카운티을지로,중구 오장동 145-1,"      20,850",15.79,13층
오렌지카운티을지로,중구 오장동 145-1,"      20,850",15.79,13층
오렌지카운티을지로,중구 오장동 145-1,"      20,850",15.79,14층
오렌지카운티을지로,중구 오장동 145-1,"      20,850",15.79,14층
오렌지카운티을지로,중구 오장동 145-1,"      20,850",15.79,14층
오렌지카운티을지로,중구 오장동 145-1,"      20,850",15.79,14층
오렌지카운티을지로,중구 오장동 145-1,"      17,000",12.43,8층
현대,중구 신당동 840,"      93,000",79.11,11층
남산타운,중구 신당동 844,"     145,000",114.88,17층
약수하이츠,중구 신당동 842,"     122,000",84.88,16층
