아파트명,주소,가격,면적,층수
광화문스페이스본(101동~105동),종로구 사직동 9,"     155,000",158.99,7층
광화문스페이스본(101동~105동),종로구 사직동 9,"     134,000",95.88,5층
광화문스페이스본(101동~105동),종로구 사직동 9,"     134,500",95.88,5층
광화문스페이스본(101동~105동),종로구 사직동 9,"     144,000",108.07,5층
광화문스페이스본(101동~105동),종로구 사직동 9,"     144,000",108.07,5층
광화문스페이스본(101동~105동),종로구 사직동 9,"     184,000",159.01,5층
현대뜨레비앙,종로구 익선동 55,"      33,000",48.54,6층
현대뜨레비앙,종로구 익선동 55,"      26,000",36.08,6층
현대뜨레비앙,종로구 익선동 55,"      25,000",45.5,3층
현대뜨레비앙,종로구 익선동 55,"      30,000",46.64,4층
효성쥬얼리시티,종로구 인의동 48-2,"      78,000",84.98,8층
포레스트힐시티,종로구 효제동 65-2,"      26,000",22.0584,11층
렉스빌,종로구 명륜1가 19,"      91,000",107.94,7층
송림아마레스아파트,종로구 명륜1가 2-12,"      48,000",53.42,6층
아남1,종로구 명륜2가 4,"     107,500",84.9,19층
아남1,종로구 명륜2가 4,"     109,250",84.9,9층
창신쌍용2,종로구 창신동 703,"      66,000",64.66,4층
창신쌍용2,종로구 창신동 703,"      89,700",106.62,11층
창신쌍용1,종로구 창신동 702,"      68,500",54.7,10층
창신쌍용1,종로구 창신동 702,"      98,500",106.62,12층
창신쌍용2,종로구 창신동 703,"      80,000",79.87,7층
창신쌍용2,종로구 창신동 703,"      63,300",54.7,4층
덕산,종로구 창신동 639-50,"      53,000",59.28,4층
덕산,종로구 창신동 639-50,"      53,000",59.28,4층
두산,종로구 창신동 232,"      79,500",59.95,14층
창신쌍용1,종로구 창신동 702,"      86,500",79.87,13층
종로동광모닝스카이,종로구 숭인동 1421-1,"      11,450",15.855,12층
롯데캐슬천지인,종로구 숭인동 76,"     104,500",84.95,20층
종로유케이201,종로구 숭인동 201-11,"      11,000",12.01,12층
동문A,종로구 숭인동 545,"      31,000",59,2층
삼전솔하임4차,종로구 숭인동 318-2,"      12,250",15.09,12층
경희궁자이(3단지),종로구 평동 233,"     151,000",59.755,2층
경희궁자이(2단지),종로구 홍파동 199,"     175,000",84.934,4층
경희궁자이(2단지),종로구 홍파동 199,"     220,000",101.991,6층
경희궁자이(2단지),종로구 홍파동 199,"     160,000",59.855,13층
경희궁자이(2단지),종로구 홍파동 199,"     192,000",84.836,15층
대성아파트,종로구 행촌동 41-1,"       7,500",19.27,1층
엘리시아,종로구 평창동 66-1,"     125,000",213.07,2층
밀레니엄,종로구 평창동 179-5,"      65,000",84.41,3층
삼성,종로구 평창동 596,"      50,000",84.98,1층
엘리시아,종로구 평창동 66-1,"     120,000",200.19,1층
일성빌라트,종로구 평창동 145-5,"      51,500",59.82,2층
부암스카이뷰,종로구 부암동 218-1,"      48,500",81,5층
구암하이빌,종로구 신영동 105-22,"      45,000",84.94,3층
인왕산아이파크,종로구 무악동 60,"     139,800",84.858,8층
인왕산아이파크,종로구 무악동 60,"     139,800",84.858,8층
인왕산아이파크,종로구 무악동 60,"     165,000",157.289,7층
현대,종로구 무악동 82,"     144,950",114.9,19층
SK리더스뷰남산,중구 회현동1가 206,"     158,000",137.57,16층
SK리더스뷰남산,중구 회현동1가 206,"     160,000",205.62,4층
SK리더스뷰남산,중구 회현동1가 206,"     188,000",205.62,9층
이지-빌,중구 회현동1가 100-12,"      47,500",68.8,4층
남산롯데캐슬아이리스,중구 회현동1가 208,"     159,350",113.46,18층
쌍용남산플래티넘,중구 회현동2가 87,"     187,000",177,8층
쌍용남산플래티넘,중구 회현동2가 87,"     230,000",177,31층
