아파트명,주소,가격,면적,층수
이지마루종로,종로구 효제동 126-2,"      35,500",25.55,15층
이지마루종로,종로구 효제동 126-2,"      34,800",24.44,13층
이지마루종로,종로구 효제동 126-2,"      46,500",26.65,12층
아남1,종로구 명륜2가 4,"     112,000",84.9,19층
아남1,종로구 명륜2가 4,"     114,000",84.9,19층
아남1,종로구 명륜2가 4,"     111,500",84.9,17층
두산,종로구 창신동 232,"      74,000",84.9,11층
두산,종로구 창신동 232,"      82,000",59.95,2층
두산,종로구 창신동 232,"      79,500",59.95,1층
삼전솔하임2차,종로구 숭인동 296-19,"      10,500",15,9층
종로중흥S클래스,종로구 숭인동 202-3,"      13,000",17.811,12층
종로동광모닝스카이,종로구 숭인동 1421-1,"      11,000",15.855,15층
삼전솔하임2차,종로구 숭인동 296-19,"      10,900",16.67,5층
경희궁자이(3단지),종로구 평동 233,"     209,000",84.8359,6층
경희궁자이(2단지),종로구 홍파동 199,"     190,500",77.974,10층
경희궁자이(4단지),종로구 교북동 126,"      80,000",33.982,6층
엘리시아,종로구 평창동 66-1,"     135,000",236.07,4층
경희궁롯데캐슬,종로구 무악동 89,"     138,000",59.6737,13층
SK리더스뷰남산,중구 회현동1가 206,"     175,000",137.53,17층
삼풍,중구 회현동1가 146-1,"      45,000",47.54,9층
남산센트럴자이,중구 충무로4가 306,"     162,000",128.952,11층
충무로헤센스마트,중구 충무로5가 90,"      45,500",40.65,6층
충무로헤센스마트,중구 충무로5가 90,"      45,500",40.65,6층
예장동삼익,중구 예장동 9,"      89,500",115.17,1층
오렌지카운티을지로,중구 오장동 145-1,"      15,000",12.43,14층
청구e편한세상,중구 신당동 852,"     129,000",59.89,3층
남산타운,중구 신당동 844,"     146,000",84.88,6층
남산타운,중구 신당동 844,"     116,000",59.94,11층
약수역더시티,중구 신당동 857,"      27,100",20.73,11층
남산타운,중구 신당동 844,"     119,000",59.94,17층
스위스빌라,중구 신당동 432-2000,"      20,000",52.09,1층
롯데캐슬,중구 황학동 2545,"      99,300",59.91,24층
황학아크로타워,중구 황학동 2523,"     120,000",109.146,6층
골드캐슬Ⅲ,중구 황학동 1743,"      28,500",33.47,13층
골드캐슬Ⅲ,중구 황학동 1743,"      32,300",32.75,10층
덕수궁롯데캐슬,중구 순화동 217,"      80,000",42.3686,5층
서울역센트럴자이,중구 만리동2가 176-1,"     183,000",84.9791,14층
한강타운,용산구 산천동 204,"      92,000",59.69,5층
리버힐삼성,용산구 산천동 193,"     120,000",59.55,6층
