아파트명,주소,가격,면적,층수
종로중흥S클래스,종로구 숭인동 202-3,"      13,400",17.811,14층
삼전솔하임4차,종로구 숭인동 318-2,"      12,350",15.09,17층
삼전솔하임4차,종로구 숭인동 318-2,"      12,500",15.09,17층
삼전솔하임2차,종로구 숭인동 296-19,"      13,500",16.67,5층
쌍용남산플래티넘,중구 회현동2가 87,"     185,000",139.8,7층
오렌지카운티을지로,중구 오장동 145-1,"      20,000",14.54,9층
남산FORESTHOUSE,중구 신당동 432-1666,"     325,000",201.85,1층
신당아르브,중구 신당동 160-5,"      15,100",18.08,4층
다다아파트,중구 신당동 432-1982,"      22,831",59.97,5층
현대,중구 신당동 840,"      90,000",122.275,1층
란스미어,중구 신당동 404-2,"      61,000",84.84,3층
동대문솔하임,중구 흥인동 8,"      27,500",23.42,19층
동대문솔하임,중구 흥인동 8,"      27,500",23.42,19층
동대문와이즈캐슬,중구 흥인동 119,"      14,000",15.55,8층
동대문와이즈캐슬,중구 흥인동 119,"      24,000",22.07,15층
DUO302,중구 황학동 819,"      15,500",15.97,9층
DUO302,중구 황학동 819,"      15,000",15.97,12층
롯데캐슬,중구 황학동 2545,"      94,500",84.89,26층
롯데캐슬,중구 황학동 2545,"      94,500",84.89,26층
삼정아트테라스정동,중구 정동 37,"      48,000",32.0134,2층
후암미주,용산구 후암동 423-1,"     107,000",63.44,2층
한울글로리A,용산구 청파동3가 132-50,"      49,500",65.3,2층
용산큐브,용산구 문배동 24-4,"      18,000",13.01,17층
용산파크자이,용산구 한강로1가 50-1,"     160,000",99.85,6층
이촌동삼성리버스위트,용산구 이촌동 426,"     320,000",137.37,6층
한강(대우),용산구 이촌동 415,"     180,000",84.98,8층
현대하이페리온,용산구 한남동 805,"     355,000",197.22,12층
시범,용산구 한남동 1-349,"     120,000",59.5,5층
한성1,용산구 한남동 29-4,"      53,000",48.69,1층
센트럴큐브,성동구 상왕십리동 12-47,"      25,000",19.42,8층
왕십리풍림아이원,성동구 하왕십리동 1061,"      83,500",59.936,15층
왕십리풍림아이원,성동구 하왕십리동 1061,"      87,500",59.936,6층
센트라스,성동구 하왕십리동 1070,"     129,500",59.94,13층
블루빌,성동구 하왕십리동 890-446,"      37,000",36.85,3층
왕십리금호어울림,성동구 마장동 820,"     100,000",84.97,21층
다울아크로빌,성동구 행당동 347-4,"     103,000",137.86,1층
다울아크로빌,성동구 행당동 347-4,"     103,000",137.86,1층
대림e-편한세상,성동구 행당동 347,"     112,500",84.87,6층
행당두산위브,성동구 행당동 375,"     159,750",114.99,14층
행당한진타운,성동구 행당동 346,"     145,300",114.62,16층
대림강변타운,성동구 응봉동 15,"     101,800",59.76,20층
대림강변타운,성동구 응봉동 15,"     122,000",84.42,9층
이편한세상금호파크힐스,성동구 금호동1가 280,"     136,000",59.949,4층
벽산,성동구 금호동1가 633,"     124,000",114.57,6층
두산,성동구 금호동3가 1331,"     130,000",84.99,13층
금호한신,성동구 금호동3가 1662,"     140,000",130.92,9층
대우,성동구 금호동4가 800,"     145,000",84.71,7층
성수우방2차아파트,성동구 성수동2가 286,"     120,000",84.75,11층
에이탑,광진구 중곡동 168-1,"      39,000",75.32,2층
현대프라임,광진구 구의동 631-1,"     111,000",59.82,16층
e편한세상광진그랜드파크,광진구 구의동 680,"     160,000",115.9468,24층
워커힐,광진구 광장동 145-8,"     270,000",226.45,7층
광장동현대Ⅰ빌라트,광진구 광장동 350-1,"      95,000",163.79,1층
더샵스타시티,광진구 자양동 227-7,"     188,000",139.54,4층
청정(A),광진구 자양동 24-28,"      80,000",69.09,7층
우성3,광진구 자양동 516,"     130,000",72.34,1층
광진코지웰,광진구 화양동 113-1,"      13,000",14.73,8층
청재제일타운,동대문구 용두동 785,"      60,000",83.76,7층
동대문롯데캐슬노블레스,동대문구 전농동 695,"     120,000",84.98,17층
래미안크레시티,동대문구 전농동 690,"     105,000",84.96,4층
청계푸르지오시티,동대문구 답십리동 497-23,"      14,000",18.92,21층
래미안미드카운티,동대문구 답십리동 1013,"      98,000",59.98,5층
청계푸르지오시티,동대문구 답십리동 497-23,"      15,500",18.92,20층
현대썬앤빌청계,동대문구 답십리동 530-15,"      13,125",14.21,9층
동아,동대문구 답십리동 10,"      75,000",84.72,16층
가우디트윈캐슬2,동대문구 장안동 374-8,"      32,000",47.72,13층
청솔아파트(B동),동대문구 장안동 372-16,"      37,900",53.79,8층
장안삼성쉐르빌,동대문구 장안동 371-1,"      74,000",100.7,10층
장안푸르미에,동대문구 장안동 466-5,"      12,500",12.6512,3층
태솔타워,동대문구 장안동 364-9,"      25,700",39.24,7층
스마트트라움,동대문구 장안동 364-7,"      43,500",48.02,12층
현대,동대문구 청량리동 234-2,"      88,000",76.63,10층
주공2,동대문구 휘경동 57,"      45,000",39.97,2층
휘경센트레빌,동대문구 휘경동 367,"     120,000",114.99,10층
래미안이문2차,동대문구 이문동 311,"     114,800",114.5,11층
쌍용,동대문구 이문동 64,"      66,000",59.99,22층
대우,동대문구 이문동 45,"      80,000",114.521,16층
민족통일MJ캠퍼스외대3차,동대문구 이문동 327-1,"      23,000",18.24,12층
주성아우라,동대문구 이문동 254-40,"       9,000",13.263,13층
쌍용,동대문구 이문동 64,"      72,000",114.35,14층
투니온,동대문구 이문동 256-2,"       7,000",14.26,11층
쌍용,동대문구 이문동 64,"      63,000",59.99,13층
용마한신,중랑구 면목동 1077-1,"      45,500",59.22,10층
용마한신,중랑구 면목동 1077-1,"      38,000",35.44,6층
신영,중랑구 면목동 538,"       8,650",14.43,6층
사가정센트럴아이파크,중랑구 면목동 1545,"     115,000",84.956,7층
쌍용더플래티넘용마산,중랑구 면목동 1548,"     111,000",84.9731,4층
사가정센트럴아이파크,중랑구 면목동 1545,"     120,000",84.87,12층
포시티,중랑구 상봉동 113-1,"      13,600",14.855,5층
포시티,중랑구 상봉동 113-1,"      10,500",14.855,5층
상봉베스트원,중랑구 상봉동 101-19,"      22,000",22.14,9층
건영1,중랑구 상봉동 1,"      75,000",84.96,6층
상봉어반뷰,중랑구 상봉동 113,"      17,300",18.45,16층
범양프레체,중랑구 중화동 208-4,"      11,500",17.94,8층
묵동포레시타,중랑구 묵동 393,"      12,500",14.95,4층
신내,중랑구 묵동 13,"      51,000",59.76,1층
우성,중랑구 묵동 245-64,"      33,000",48.13,4층
백림금호,중랑구 망우동 574,"      54,000",84.23,11층
더하이어,중랑구 망우동 508-6,"      10,500",12.0156,15층
더하이어,중랑구 망우동 508-6,"      10,000",12.0156,5층
문수해오름,중랑구 망우동 490-30,"      50,000",83.61,5층
중앙하이츠,중랑구 신내동 479,"      58,000",84.97,1층
중앙하이츠,중랑구 신내동 479,"      60,000",84.97,9층
신내11대명,중랑구 신내동 661,"      38,300",39.76,11층
새한,중랑구 신내동 795,"      42,500",59.77,22층
한신,성북구 돈암동 609-1,"      87,000",84.87,7층
동부센트레빌,성북구 돈암동 633,"     109,300",115.51,18층
돈암동더샵아파트,성북구 돈암동 603,"      75,000",84.817,9층
한진(609-1),성북구 돈암동 609-1,"      73,000",84.87,20층
돈암동일하이빌,성북구 동소문동5가 120,"     100,000",84.958,9층
삼선푸르지오,성북구 삼선동2가 425,"      89,500",84.83,12층
보문파크뷰자이,성북구 보문동6가 458,"     102,000",59.81,11층
갤럭시더정릉,성북구 정릉동 150-27,"      19,300",12.85,10층
갤럭시더정릉,성북구 정릉동 150-27,"      19,300",12.85,9층
갤럭시더정릉,성북구 정릉동 150-27,"      19,300",12.33,9층
대우,성북구 정릉동 1021,"      69,000",84.83,10층
갤럭시더정릉,성북구 정릉동 150-27,"      18,800",12.85,5층
갤럭시더정릉,성북구 정릉동 150-27,"      18,500",12.32,5층
대원아파트,성북구 정릉동 822-1,"      35,700",79.05,1층
갤럭시더정릉,성북구 정릉동 150-27,"      19,300",11.79,10층
갤럭시더정릉,성북구 정릉동 150-27,"      18,800",11.79,5층
갤럭시더정릉,성북구 정릉동 150-27,"      18,800",12.33,5층
정릉힐스테이트3차,성북구 정릉동 1031,"      70,000",114.78,6층
래미안길음센터피스,성북구 길음동 498,"     104,000",59.99,20층
길음뉴타운6단지(래미안),성북구 길음동 1283,"      82,000",59.373,16층
길음뉴타운8단지(래미안),성북구 길음동 1284,"      76,000",59.99,1층
길음뉴타운8단지(래미안),성북구 길음동 1284,"      75,000",59.99,14층
래미안길음센터피스,성북구 길음동 498,"     100,000",59.99,14층
길음동동부센트레빌(1278-0),성북구 길음동 1278,"      73,700",84.844,3층
길음뉴타운3단지푸르지오,성북구 길음동 1280-1,"      54,500",59.99,16층
길음동동부센트레빌(1278-0),성북구 길음동 1278,"      69,000",84.844,23층
길음뉴타운8단지(래미안),성북구 길음동 1284,"      76,000",59.99,4층
우림카이저팰리스,성북구 종암동 132,"      73,000",84.98,22층
월곡래미안루나밸리,성북구 하월곡동 226,"      70,500",59.98,2층
월곡두산위브,성북구 하월곡동 222,"      73,000",84.647,17층
월곡래미안루나밸리,성북구 하월곡동 226,"     100,000",114.93,19층
동아에코빌,성북구 상월곡동 101,"      72,000",84.97,5층
래미안포레카운티,성북구 장위동 322,"      92,000",84.97,15층
래미안포레카운티,성북구 장위동 322,"      80,000",59.92,18층
래미안장위퍼스트하이,성북구 장위동 173-114,"      95,000",84.94,8층
래미안포레카운티,성북구 장위동 322,"      78,500",59.92,17층
꿈의숲대명루첸아파트,성북구 장위동 317,"      68,000",59.988,4층
꿈의숲코오롱하늘채,성북구 장위동 319,"      94,000",84.71,3층
래미안포레카운티,성북구 장위동 322,"      95,000",84.97,3층
래미안포레카운티,성북구 장위동 322,"      91,400",84.97,11층
래미안장위퍼스트하이,성북구 장위동 173-114,"      77,000",59.99,7층
래미안장위퍼스트하이,성북구 장위동 173-114,"      91,000",84.98,11층
래미안아트리치,성북구 석관동 410,"      80,000",59.42,11층
에스케이북한산시티,강북구 미아동 1353,"      65,000",84.86,12층
두산위브트레지움,강북구 미아동 811,"      68,000",59.99,17층
삼각산아이원,강북구 미아동 1357,"      70,000",84.705,5층
에스케이북한산시티,강북구 미아동 1353,"      58,000",59.98,19층
푸르지오시티,강북구 미아동 160-3,"      13,300",18.6479,7층
번동한양아파트,강북구 번동 133-1,"      54,800",84.67,15층
궁전,강북구 수유동 280-14,"      28,500",65.61,2층
태솔타운,강북구 수유동 77-9,"      15,500",30.5,8층
파크(나),강북구 수유동 282-12,"      23,000",65.82,5층
한원힐트리움수유,강북구 수유동 738,"      28,000",27.39,10층
극동,강북구 수유동 553-61,"      56,000",84.99,5층
하루방,도봉구 쌍문동 315-48,"      40,500",80.25,2층
한양7,도봉구 쌍문동 158,"      60,000",84.86,15층
한양2,도봉구 쌍문동 59,"      50,000",76.92,6층
한양2,도봉구 쌍문동 59,"      24,800",35.1,9층
방학지음재힐스,도봉구 방학동 717-2,"      13,500",14.86,11층
신동아아파트1,도봉구 방학동 271-1,"      47,000",70.62,10층
벽산아파트1,도봉구 방학동 275,"      34,700",52.36,10층
퍼스티안,도봉구 방학동 705-17,"       9,000",13.6794,5층
월가타워,도봉구 창동 7,"       9,500",13.09,13층
주공19단지(창동리버타운),도봉구 창동 27,"      66,000",60.5,5층
창동주공4단지,도봉구 창동 373,"      47,000",49.94,8층
창동주공2단지,도봉구 창동 316,"      44,000",45.55,6층
북한산아이파크5차,도봉구 창동 825,"     147,000",165.1717,12층
창동주공4단지,도봉구 창동 373,"      42,000",41.3,11층
주공17단지,도봉구 창동 38,"      31,500",36.16,15층
한신,도봉구 도봉동 30-1,"      54,500",84.94,8층
한신,도봉구 도봉동 30-1,"      54,200",84.94,1층
한진한화그랑빌,노원구 월계동 18,"      85,000",75.81,14층
풍림아이원,노원구 월계동 944,"      83,000",84.491,10층
미성,노원구 월계동 13,"      61,000",50.14,10층
월계센트럴아이파크,노원구 월계동 951,"      75,000",84.99,19층
삼호3,노원구 월계동 13,"      71,500",59.22,2층
동부아파트,노원구 공릉동 705,"      85,000",114.17,8층
진명비베레,노원구 공릉동 395-7,"       9,000",13.0588,3층
풍림아파트B,노원구 공릉동 727,"      35,000",31.32,14층
대아2차아파트,노원구 공릉동 492-1,"      70,000",84.87,3층
태강아파트(아이파크),노원구 공릉동 81,"      56,000",49.6,9층
화랑대디오베이션,노원구 공릉동 760,"      58,000",59.9883,10층
풍림아파트B,노원구 공릉동 727,"      29,000",31.32,3층
청솔(시영7),노원구 하계동 274,"      50,000",39.78,6층
벽산,노원구 하계동 271-3,"      62,000",57.71,11층
한신1,노원구 하계동 284,"      52,800",44.52,13층
건영,노원구 하계동 271-3,"      40,000",45.55,3층
임광,노원구 상계동 694,"     108,000",122.18,4층
상계주공4(고층),노원구 상계동 749-5,"      50,000",32.39,10층
보람아파트,노원구 상계동 639,"      50,000",54.59,3층
우림루미아트201동,노원구 상계동 1307,"      60,000",84.569,5층
현대4차,노원구 상계동 1271,"      56,000",84.99,1층
우림루미아트201동,노원구 상계동 1307,"      60,000",84.569,5층
은빛2단지,노원구 상계동 1256,"      42,200",49.77,12층
수락리버시티4단지,노원구 상계동 1313,"      57,000",59.9,4층
상계주공9(고층),노원구 상계동 670,"      50,000",49.94,3층
노원센트럴푸르지오,노원구 상계동 1355,"      70,000",59.996,6층
