주소,평균가격,평균면적
서울특별시 강남구 삼성동 144-14,155000.0,84.94
서울특별시 강남구 삼성동 146,305333.3333333333,158.35
서울특별시 강남구 삼성동 16-2,218100.0,71.6803
서울특별시 강남구 삼성동 17,196450.0,75.585
서울특별시 강남구 삼성동 188,208000.0,59.96
서울특별시 강남구 삼성동 189,354840.4285714286,86.96000000000001
서울특별시 강남구 삼성동 2,171000.0,59.67
서울특별시 강남구 삼성동 3-8,210000.0,131.0534
서울특별시 강남구 삼성동 37,35000.0,28.8
서울특별시 강남구 삼성동 50,235000.0,84.236
서울특별시 강남구 삼성동 52-9,149000.0,84.98
서울특별시 강남구 삼성동 53-2,423333.3333333333,195.21666666666667
서울특별시 강남구 삼성동 65-4,557500.0,237.74
서울특별시 강남구 삼성동 75-3,178800.0,127.82
서울특별시 강남구 삼성동 8-2,387000.0,210.565
서울특별시 강남구 삼성동 82-1,481666.6666666667,223.13333333333335
서울특별시 강남구 삼성동 87,523333.3333333333,162.37433333333334
서울특별시 강남구 세곡동 533,160000.0,84.83
서울특별시 강남구 수서동 708,176750.0,72.24000000000001
서울특별시 강남구 수서동 712,230000.0,163.68
서울특별시 강남구 수서동 736,107681.81818181818,38.163636363636364
서울특별시 강남구 수서동 746,107607.14285714286,37.32857142857143
서울특별시 강남구 수서동 747,183500.0,72.41499999999999
서울특별시 강남구 수서동 795,199100.0,88.226
서울특별시 강남구 수서동 799,312666.6666666667,131.94906666666665
서울특별시 강남구 신사동 510-11,102500.0,99.56
서울특별시 강남구 신사동 524-8,103000.0,84.44
서울특별시 강남구 신사동 547-7,165000.0,111.62
서울특별시 강남구 신사동 588-16,35481.71875,16.621458333333333
서울특별시 강남구 신사동 593-32,110000.0,78.54
서울특별시 강남구 신사동 606-2,228000.0,135.72
서울특별시 강남구 신사동 626-1,183000.0,175.64
서울특별시 강남구 신사동 632,550000.0,213.05
서울특별시 강남구 신사동 658,142000.0,84.96
서울특별시 강남구 신사동 659,188000.0,97.08
서울특별시 강남구 압구정동 369-1,574416.6666666666,153.05833333333334
서울특별시 강남구 압구정동 397,379416.6666666667,107.65000000000002
서울특별시 강남구 압구정동 433,577500.0,183.41
서울특별시 강남구 압구정동 434,550000.0,155.52
서울특별시 강남구 압구정동 443,390000.0,82.5
서울특별시 강남구 압구정동 447,430000.0,84.98
서울특별시 강남구 압구정동 455,410000.0,82.23
서울특별시 강남구 압구정동 456,495000.0,149.98285714285717
서울특별시 강남구 압구정동 481,388500.0,107.64
서울특별시 강남구 압구정동 484,455500.0,154.12
서울특별시 강남구 압구정동 486,350000.0,101.09
서울특별시 강남구 압구정동 490,275000.0,56.925
서울특별시 강남구 압구정동 513,268000.0,100.5
서울특별시 강남구 압구정동 528,445000.0,127.10666666666668
서울특별시 강남구 역삼동 656-30,70000.0,90.15
서울특별시 강남구 역삼동 656-31,128000.0,107.3
서울특별시 강남구 역삼동 682-1,263000.0,127.3819
서울특별시 강남구 역삼동 706-11,20500.0,23.9
서울특별시 강남구 역삼동 706-20,38440.0,38.82
서울특별시 강남구 역삼동 706-24,22200.0,23.85
서울특별시 강남구 역삼동 707-18,74000.0,49.38
서울특별시 강남구 역삼동 708-31,58000.0,36.19
서울특별시 강남구 역삼동 709-5,251250.0,81.72825
서울특별시 강남구 역삼동 711-3,291000.0,96.20416666666667
서울특별시 강남구 역삼동 713-11,165160.0,59.0625
서울특별시 강남구 역삼동 713-7,360000.0,157.37
서울특별시 강남구 역삼동 716-3,270000.0,84.99
서울특별시 강남구 역삼동 720-25,32754.545454545456,31.684545454545457
서울특별시 강남구 역삼동 727-11,104000.0,82.33
서울특별시 강남구 역삼동 727-2,20290.0,17.684
서울특별시 강남구 역삼동 728-6,72000.0,243.52
서울특별시 강남구 역삼동 735-15,18566.666666666668,15.093333333333334
서울특별시 강남구 역삼동 741-22,53500.0,69.97
서울특별시 강남구 역삼동 747-5,100666.66666666667,59.96
서울특별시 강남구 역삼동 754,325000.0,124.75
서울특별시 강남구 역삼동 754-1,212500.0,59.8848
서울특별시 강남구 역삼동 755-1,320000.0,96.2603
서울특별시 강남구 역삼동 755-4,231250.0,72.2985
서울특별시 강남구 역삼동 757,227962.5,67.50875
서울특별시 강남구 역삼동 759-1,170000.0,67.14
서울특별시 강남구 역삼동 762-3,238500.0,82.9
서울특별시 강남구 역삼동 765-32,266000.0,84.891
서울특별시 강남구 역삼동 766-8,58500.0,33.48
서울특별시 강남구 역삼동 783-28,76000.0,80.39
서울특별시 강남구 역삼동 783-30,83000.0,78.08
서울특별시 강남구 역삼동 787-4,85000.0,93.22
서울특별시 강남구 역삼동 789-29,62000.0,59.77
서울특별시 강남구 역삼동 823-7,20500.0,17.18
서울특별시 강남구 역삼동 824-25,34550.0,36.805
서울특별시 강남구 역삼동 835-67,208000.0,132.88
서울특별시 강남구 역삼동 836,42000.0,48.21
