아파트명,주소,가격,면적,층수
광화문스페이스본(101동~105동),종로구 사직동 9,"     138,000",94.51,13층
광화문스페이스본(101동~105동),종로구 사직동 9,"     143,000",94.51,8층
경희궁파크팰리스,종로구 내수동 95,"     180,000",146.33,4층
경희궁의아침4단지,종로구 내수동 73,"     170,000",124.17,7층
디팰리스,종로구 신문로2가 171,"     285,000",118.749,10층
현대뜨레비앙,종로구 익선동 55,"      38,200",46.64,5층
동성아파트(2동),종로구 동숭동 4-157,"      41,000",59.34,1층
창신쌍용1,종로구 창신동 702,"      68,000",54.7,4층
삼전솔하임4차,종로구 숭인동 318-2,"      13,200",15.09,15층
종로중흥S클래스,종로구 숭인동 202-3,"      13,000",19.466,15층
경희궁자이(3단지),종로구 평동 233,"     176,000",84.8359,2층
경희궁자이(3단지),종로구 평동 233,"     187,000",84.8359,20층
경희궁자이(3단지),종로구 평동 233,"     180,000",84.614,7층
경희궁자이(3단지),종로구 평동 233,"     172,000",84.614,9층
경희궁자이(3단지),종로구 평동 233,"     167,000",77.6543,16층
경희궁자이(2단지),종로구 홍파동 199,"     180,000",84.8359,17층
경희궁자이(2단지),종로구 홍파동 199,"     189,500",84.8359,11층
경희궁자이(2단지),종로구 홍파동 199,"     180,000",84.8359,8층
경희궁롯데캐슬,종로구 무악동 89,"     170,000",104.445,10층
현대,종로구 무악동 82,"      72,900",60,12층
현대,종로구 무악동 82,"      72,990",84.92,3층
인왕산아이파크,종로구 무악동 60,"     150,000",84.858,11층
SK리더스뷰남산,중구 회현동1가 206,"     211,840",176.26,19층
삼풍,중구 회현동1가 146-1,"      41,000",63.88,8층
남산센트럴자이,중구 충무로4가 306,"     101,000",80.473,19층
진양상가,중구 충무로4가 120-3,"      56,700",72.6,5층
인현상가/신성아파트,중구 인현동2가 192-30,"      35,500",49.22,9층
장충레지던스,중구 장충동1가 106-1,"     228,000",309.7,4층
삼성,중구 신당동 843,"      70,000",84.96,13층
남산타운,중구 신당동 844,"     125,000",114.88,1층
약수하이츠,중구 신당동 842,"      80,000",57.63,13층
신당푸르지오,중구 신당동 850,"     150,000",145.1,5층
약수하이츠,중구 신당동 842,"      79,000",57.63,14층
신당역솔하임,중구 신당동 140-23,"      17,500",14.08,15층
신신(1차),중구 신당동 432-1972,"      15,000",38.93,5층
신당아르브,중구 신당동 160-5,"      15,550",18.08,3층
남산타운,중구 신당동 844,"     120,000",84.88,18층
남산타운,중구 신당동 844,"      95,000",59.94,14층
남산타운,중구 신당동 844,"      93,000",59.94,4층
동대문와이즈캐슬,중구 흥인동 119,"      14,000",15.55,8층
청계천두산위브더제니스,중구 흥인동 13-1,"     141,000",116.6232,5층
청계천두산위브더제니스,중구 흥인동 13-1,"     157,500",123.8073,32층
롯데캐슬,중구 황학동 2545,"      89,500",84.97,12층
청계랜드힐아파트,중구 황학동 1531,"      34,000",29.79,7층
롯데캐슬,중구 황학동 2545,"      92,000",84.97,17층
롯데캐슬,중구 황학동 2545,"     119,800",114.9,17층
롯데캐슬,중구 황학동 2545,"     119,800",114.9,17층
롯데캐슬,중구 황학동 2545,"     110,000",114.9,19층
중구리버빌,중구 황학동 981,"      50,000",90.96,10층
삼정아트테라스정동,중구 정동 37,"      49,200",36.7834,2층
순화동더샵,중구 순화동 151,"      70,000",84.95,15층
서울역센트럴자이,중구 만리동2가 176-1,"     132,000",72.8899,9층
서울역센트럴자이,중구 만리동2가 176-1,"     158,000",84.972,21층
서울역센트럴자이,중구 만리동2가 176-1,"     125,000",59.943,3층
후암미주,용산구 후암동 423-1,"     104,500",62.28,3층
후암미주,용산구 후암동 423-1,"     105,000",62.28,4층
용암한신,용산구 용산동2가 47-5,"      39,600",72.66,1층
목화,용산구 청파동1가 84-3,"      40,000",57.5,6층
한강타운,용산구 산천동 204,"      82,500",59.69,7층
풍전,용산구 원효로4가 109-4,"      74,500",67.04,1층
용산롯데캐슬센터포레,용산구 효창동 287,"     153,000",84.9204,1층
용산롯데캐슬센터포레,용산구 효창동 287,"     167,000",84.9204,12층
삼성래미안,용산구 도원동 23,"      95,000",59.94,4층
프라임펠리스,용산구 문배동 24-8,"      16,000",13.69,15층
벽산메가트리움,용산구 한강로2가 2-8,"     165,000",116.28,18층
한강로대우아이빌,용산구 한강로2가 2-11,"      37,000",28.22,11층
용산파크타워(24-0),용산구 용산동5가 24,"     275,000",154.47,24층
용산파크타워(24-0),용산구 용산동5가 24,"     300,000",154.47,26층
용산파크타워(24-1),용산구 용산동5가 24-1,"     260,000",103.12,14층
시티하우스,용산구 한강로3가 65-7,"      29,000",19.9,6층
센트럴파크,용산구 한강로3가 98,"     325,000",114.8905,30층
빌라맨션,용산구 이촌동 302-86,"      25,000",20.26,18층
이촌코오롱(A),용산구 이촌동 412,"     129,000",59.82,6층
우성,용산구 이촌동 399-1,"     179,000",114.74,3층
두산위브트레지움,용산구 이촌동 301-155,"     130,000",89.09,13층
한가람,용산구 이촌동 404,"     148,000",59.88,19층
한가람,용산구 이촌동 404,"     142,000",59.88,12층
한가람,용산구 이촌동 404,"     142,000",59.88,12층
한가람,용산구 이촌동 404,"     150,000",59.88,10층
한강(대우),용산구 이촌동 415,"     172,500",84.98,1층
강촌,용산구 이촌동 402,"     175,000",84.85,14층
빌라맨션,용산구 이촌동 302-86,"      25,000",20.26,18층
대림,용산구 이촌동 395,"     170,000",84.78,6층
한가람,용산구 이촌동 404,"     180,000",84.96,21층
점보,용산구 이촌동 300-10,"     195,000",217.36,7층
점보,용산구 이촌동 300-10,"     195,000",217.36,7층
이촌코오롱(A),용산구 이촌동 412,"     121,000",59.82,15층
한가람,용산구 이촌동 404,"     170,000",84.96,2층
한가람,용산구 이촌동 404,"     155,000",59.88,16층
한가람,용산구 이촌동 404,"     197,000",84.89,16층
한가람,용산구 이촌동 404,"     148,000",59.88,19층
한가람,용산구 이촌동 404,"     150,000",59.88,6층
남산대림,용산구 이태원동 729,"     142,000",59.92,2층
청화1,용산구 이태원동 22-2,"     230,000",142.68,12층
한남더힐,용산구 한남동 810,"   1,100,000",240.305,5층
한남동동원베네스트,용산구 한남동 522-1,"     118,500",81.83,6층
한남아이파크애비뉴,용산구 한남동 828,"     103,000",48.7897,16층
신동아,용산구 서빙고동 241-21,"     393,000",210.25,6층
텐즈힐(2단지),성동구 상왕십리동 811,"     200,000",157.29,9층
텐즈힐(2단지),성동구 상왕십리동 811,"     132,000",84.92,9층
텐즈힐(2단지),성동구 상왕십리동 811,"     108,000",59.96,7층
텐즈힐(2단지),성동구 상왕십리동 811,"     110,000",59.96,8층
텐즈힐(2단지),성동구 상왕십리동 811,"     134,000",84.92,10층
텐즈힐(2단지),성동구 상왕십리동 811,"     135,000",84.95,9층
벽산,성동구 하왕십리동 258,"     107,000",114.46,6층
텐즈힐(1단지),성동구 하왕십리동 1066,"     197,000",148.94,5층
벽산,성동구 하왕십리동 258,"      85,000",84.94,19층
왕십리자이,성동구 하왕십리동 1071,"     105,000",59.99,13층
왕십리풍림아이원,성동구 하왕십리동 1061,"      81,000",59.936,2층
왕십리KCC스위첸,성동구 하왕십리동 1002,"      90,000",64.236,14층
센트라스,성동구 하왕십리동 1070,"     155,000",84.96,21층
센트라스,성동구 하왕십리동 1070,"     113,000",59.93,16층
왕십리자이,성동구 하왕십리동 1071,"      98,000",59.99,3층
센트라스,성동구 하왕십리동 1070,"     140,000",84.96,8층
신성미소지움,성동구 마장동 822,"      85,000",84.99,6층
삼성,성동구 마장동 817,"      78,000",59.76,6층
대성유니드,성동구 마장동 825,"      78,000",59.7,13층
현대,성동구 마장동 818,"      69,200",59.94,24층
왕십리금호어울림,성동구 마장동 820,"     135,000",114.97,7층
세림,성동구 마장동 784,"      67,000",40.86,1층
대림e-편한세상,성동구 행당동 347,"      57,400",59.96,7층
서울숲리버뷰자이,성동구 행당동 380,"     160,000",84.9,18층
서울숲 한신 더 휴,성동구 행당동 349,"      92,000",59.94,23층
행당한진타운,성동구 행당동 346,"     129,000",114.62,17층
신동아,성동구 행당동 344,"      71,200",59.97,15층
대림e-편한세상,성동구 행당동 347,"      87,500",59.96,6층
대림e-편한세상,성동구 행당동 347,"      86,000",59.96,13층
서울숲 한신 더 휴,성동구 행당동 349,"     127,000",114.97,10층
서울숲리버뷰자이,성동구 행당동 380,"     165,000",84.95,22층
두산,성동구 행당동 345,"      80,000",59.94,19층
서울숲 한신 더 휴,성동구 행당동 349,"     110,000",84.95,8층
대림e-편한세상,성동구 행당동 347,"     128,800",114.94,14층
서울숲리버뷰자이,성동구 행당동 380,"     148,500",84.9,3층
대림e-편한세상,성동구 행당동 347,"      84,500",59.96,14층
대림e-편한세상,성동구 행당동 347,"      84,500",59.96,14층
신동아,성동구 행당동 344,"      75,500",59.97,11층
대림e-편한세상,성동구 행당동 347,"      87,000",59.96,8층
두산,성동구 행당동 345,"      92,800",84.87,11층
서울숲더샵,성동구 행당동 377,"     140,000",84.06,25층
행당한진타운,성동구 행당동 346,"      80,500",59.96,1층
행당한진타운,성동구 행당동 346,"      89,000",59.96,17층
서울숲 한신 더 휴,성동구 행당동 349,"     110,000",84.95,17층
행당한진타운,성동구 행당동 346,"      90,000",59.96,7층
대림e-편한세상,성동구 행당동 347,"      94,000",84.87,2층
신동아,성동구 행당동 344,"      76,000",59.97,12층
행당한진타운,성동구 행당동 346,"      85,000",59.96,7층
행당한진타운,성동구 행당동 346,"      90,000",59.96,7층
행당브라운스톤,성동구 행당동 364,"      87,000",59.27,5층
서울숲 한신 더 휴,성동구 행당동 349,"     127,500",114.97,17층
서울숲리버뷰자이,성동구 행당동 380,"     155,000",84.9,13층
행당두산위브,성동구 행당동 375,"     126,500",84.99,6층
행당한진타운,성동구 행당동 346,"      86,000",59.96,23층
금호현대,성동구 응봉동 98,"      87,000",79.8,2층
대림(1차),성동구 응봉동 100,"     135,000",126.66,12층
신동아,성동구 응봉동 275,"      73,800",59.97,11층
대림강변타운,성동구 응봉동 15,"      89,900",59.76,18층
대림(1차),성동구 응봉동 100,"     130,000",113.71,11층
서울숲리버그린동아아파트,성동구 응봉동 276,"     122,000",84.65,18층
대림강변타운,성동구 응봉동 15,"      95,000",59.76,10층
대림강변타운,성동구 응봉동 15,"      89,000",59.76,13층
대림강변타운,성동구 응봉동 15,"     113,000",59.76,13층
대림(1차),성동구 응봉동 100,"     140,500",126.66,3층
이편한세상금호파크힐스,성동구 금호동1가 280,"     116,000",59.983,8층
이편한세상금호파크힐스,성동구 금호동1가 280,"     148,500",84.957,13층
벽산,성동구 금호동1가 633,"      86,000",59.9,10층
이편한세상금호파크힐스,성동구 금호동1가 280,"     140,000",84.957,5층
이편한세상금호파크힐스,성동구 금호동1가 280,"     120,000",59.949,13층
벽산,성동구 금호동1가 633,"     118,000",84.82,15층
래미안하이리버,성동구 금호동2가 1217,"     109,500",59.99,8층
신금호파크자이,성동구 금호동2가 1,"     121,000",59.98,13층
신금호파크자이,성동구 금호동2가 1,"     122,500",59.98,11층
