자치구,행정동,평균가격(만원),평균면적(m^2),면적당 가격(만원/m^2)
강남구,개포1동,274183,122,2303
강남구,개포2동,254460,94,2823
강남구,개포3동,227866,90,2692
강남구,개포4동,139868,74,1809
강남구,논현1동,112899,94,1234
강남구,논현2동,161625,107,1577
강남구,대치1동,315471,118,2809
강남구,대치2동,230920,99,2392
강남구,대치4동,93746,58,1348
강남구,도곡1동,200651,118,1742
강남구,도곡2동,269298,124,2248
강남구,삼성1동,252601,123,2098
강남구,삼성2동,193557,93,2164
강남구,세곡동,152234,84,1816
강남구,수서동,191217,91,2192
강남구,신사동,237690,101,2097
강남구,압구정동,318967,120,2634
강남구,역삼1동,105467,81,1304
강남구,역삼2동,146869,73,1860
강남구,일원1동,141285,67,2185
강남구,일원본동,195823,84,2391
강남구,청담동,290660,138,2098
강동구,강일동,112520,84,1340
강동구,고덕1동,132847,86,1570
강동구,고덕2동,138542,66,2073
강동구,길동,58032,64,907
강동구,둔촌2동,85344,76,1113
강동구,명일1동,81043,75,1091
강동구,명일2동,142177,105,1360
강동구,상일1동,128735,72,1762
강동구,상일2동,116863,85,1368
강동구,성내1동,93800,101,1016
강동구,성내2동,84033,81,1059
강동구,성내3동,67647,73,955
강동구,암사1동,72247,75,967
강동구,암사2동,107453,76,1417
강동구,암사3동,91453,74,1222
강동구,천호1동,65810,80,853
강동구,천호2동,71782,73,1015
강동구,천호3동,73497,69,1081
강북구,미아동,46503,74,660
강북구,번1동,55287,74,738
강북구,번2동,53351,80,693
강북구,번3동,57198,77,760
강북구,삼각산동,87530,78,1115
강북구,삼양동,76102,76,992
강북구,송중동,78546,82,962
강북구,송천동,62279,66,917
강북구,수유1동,24915,51,550
강북구,수유2동,44558,66,694
강북구,수유3동,41646,66,638
강북구,우이동,36274,67,535
강북구,인수동,34379,60,550
강서구,가양1동,94112,82,1153
강서구,가양2동,102990,93,1194
강서구,가양3동,83491,68,1271
강서구,공항동,89411,76,1159
강서구,등촌1동,70533,71,1008
강서구,등촌2동,67882,76,907
강서구,등촌3동,77797,73,1180
강서구,발산1동,72681,80,914
강서구,방화1동,88721,80,1087
강서구,방화2동,56503,66,852
강서구,방화3동,67703,69,1021
강서구,염창동,89112,76,1168
강서구,우장산동,67543,81,821
강서구,화곡1동,31225,55,612
강서구,화곡2동,34775,78,444
강서구,화곡3동,55897,76,780
강서구,화곡4동,37757,72,512
강서구,화곡6동,59921,78,754
강서구,화곡8동,35588,58,658
강서구,화곡본동,23644,54,468
관악구,낙성대동,68900,78,888
관악구,난곡동,53816,62,859
관악구,난향동,78496,80,984
관악구,남현동,72919,81,947
관악구,대학동,61348,74,837
관악구,미성동,54942,70,788
관악구,보라매동,70068,88,732
관악구,삼성동,62329,74,831
관악구,서림동,60030,66,912
관악구,서원동,57904,66,892
관악구,성현동,80830,83,1006
관악구,신대방2동,69861,65,1080
관악구,신림동,32052,40,864
관악구,신사동,43170,59,833
관악구,신원동,54238,71,794
관악구,은천동,82484,73,1123
관악구,인헌동,66351,78,858
관악구,조원동,51817,56,971
관악구,중앙동,50282,58,928
관악구,청룡동,61248,53,1096
관악구,청림동,75782,65,1134
관악구,행운동,68022,77,881
광진구,광장동,150922,101,1606
광진구,구의1동,65655,75,880
광진구,구의2동,69479,75,946
광진구,구의3동,113900,87,1319
광진구,군자동,103163,100,1065
광진구,자양1동,70768,65,1084
광진구,자양2동,109715,86,1286
광진구,자양3동,139739,85,1660
광진구,자양4동,110515,75,1447
광진구,중곡1동,54108,68,795
광진구,중곡2동,48991,64,775
광진구,중곡3동,55115,60,932
광진구,중곡4동,55891,85,679
광진구,화양동,39122,39,991
구로구,가리봉동,45916,76,610
구로구,개봉1동,56646,73,767
구로구,개봉2동,57359,75,755
구로구,개봉3동,41088,72,564
구로구,고척1동,64114,72,874
구로구,고척2동,61340,75,809
구로구,구로1동,69439,74,967
구로구,구로2동,39143,57,650
구로구,구로3동,30948,47,621
구로구,구로4동,26744,47,573
구로구,구로5동,51333,62,820
구로구,수궁동,41636,77,533
구로구,신도림동,110202,80,1361
구로구,오류1동,36620,59,624
구로구,오류2동,61704,74,822
구로구,항동,68884,82,841
금천구,가산동,35325,50,804
금천구,독산1동,66225,71,938
금천구,독산2동,30350,60,505
금천구,독산3동,44290,75,612
금천구,독산4동,40693,68,614
금천구,시흥1동,53680,63,850
금천구,시흥2동,51177,71,710
금천구,시흥3동,34127,69,487
금천구,시흥4동,39219,69,565
금천구,시흥5동,54485,75,726
노원구,공릉1동,52000,65,810
노원구,공릉2동,69482,78,904
노원구,상계10동,92127,73,1302
노원구,상계1동,59975,78,767
노원구,상계2동,65806,74,890
노원구,상계3·4동,62224,71,897
노원구,상계5동,55115,69,816
노원구,상계6·7동,78641,61,1347
노원구,상계8동,66075,55,1183
노원구,상계9동,60048,51,1176
노원구,월계1동,74945,74,1007
노원구,월계2동,63333,71,893
노원구,월계3동,76947,67,1179
노원구,중계1동,98064,76,1281
노원구,중계2·3동,78490,65,1198
