아파트명,주소,가격,면적,층수
광화문스페이스본(101동~105동),종로구 사직동 9,"     209,000",159.01,6층
경희궁의아침4단지,종로구 내수동 73,"     200,000",145.96,10층
경희궁의아침4단지,종로구 내수동 73,"     180,000",124.17,10층
현대뜨레비앙,종로구 익선동 55,"      45,800",48.54,9층
현대뜨레비앙,종로구 익선동 55,"      38,000",48.54,3층
현대뜨레비앙,종로구 익선동 55,"      35,000",48.54,2층
CS타워,종로구 충신동 62-2,"      13,400",22.17,15층
브라운스톤창신,종로구 창신동 23-76,"      83,000",84.67,12층
두산,종로구 창신동 232,"     111,000",84.9,10층
창신쌍용1,종로구 창신동 702,"      65,000",54.7,8층
경희궁자이(3단지),종로구 평동 233,"     149,500",59.8547,13층
경희궁자이(3단지),종로구 평동 233,"     158,000",59.4712,3층
경희궁자이(3단지),종로구 평동 233,"     204,500",84.8359,16층
경희궁자이(2단지),종로구 홍파동 199,"     192,000",84.8359,20층
경희궁자이(2단지),종로구 홍파동 199,"     177,000",84.9339,5층
경희궁자이(2단지),종로구 홍파동 199,"     192,500",84.9443,12층
삼성,종로구 평창동 596,"      70,500",59.97,12층
벽산블루밍평창힐스,종로구 평창동 45,"     163,000",186.9,1층
일성빌라트,종로구 평창동 145-5,"      57,800",59.82,3층
갑을아파트,종로구 평창동 595,"      31,900",53.33,6층
현대,종로구 무악동 82,"     106,960",84.92,2층
경희궁롯데캐슬,종로구 무악동 89,"     144,000",84.8792,10층
남산롯데캐슬아이리스,중구 회현동1가 208,"     142,000",103.49,19층
쌍용남산플래티넘,중구 회현동2가 87,"     180,000",139.8,8층
쌍용남산플래티넘,중구 회현동2가 87,"     190,000",166.24,5층
쌍용남산플래티넘,중구 회현동2가 87,"     200,000",166.24,21층
쌍용남산플래티넘,중구 회현동2가 87,"     200,000",166.24,21층
남산센트럴자이,중구 충무로4가 306,"     130,200",135.533,20층
진양상가,중구 충무로4가 120-3,"      59,100",71.93,5층
충무로엘크루메크로시티2차,중구 충무로5가 36-2,"      22,000",22.75,10층
인현상가/신성아파트,중구 인현동2가 192-30,"      35,800",48.56,10층
세운푸르지오헤리시티,중구 인현동2가 240,"      38,700",28.4064,10층
인현상가/신성아파트,중구 인현동2가 192-30,"      35,000",49.88,8층
세운푸르지오헤리시티,중구 인현동2가 240,"      40,000",24.5533,17층
예장동삼익,중구 예장동 9,"      62,000",60.39,3층
장충,중구 장충동2가 193-29,"      12,000",31.24,7층
장충,중구 장충동2가 193-29,"      22,800",62.48,6층
삼성파크빌,중구 을지로5가 39-1,"      80,500",84.92,14층
삼성파크빌,중구 을지로5가 39-1,"      80,500",84.92,14층
힐스테이트세운센트럴1단지,중구 입정동 277,"      44,900",25.0654,17층
남산타운,중구 신당동 844,"      94,500",59.94,6층
약수역더시티,중구 신당동 857,"      28,200",18.86,11층
약수하이츠,중구 신당동 842,"     105,000",57.63,7층
남산타운,중구 신당동 844,"      94,800",59.94,14층
삼성,중구 신당동 843,"      75,000",84.96,13층
남산타운,중구 신당동 844,"      90,000",59.94,4층
삼성,중구 신당동 843,"      88,500",59.98,8층
남산타운,중구 신당동 844,"     170,000",114.88,9층
남산타운,중구 신당동 844,"     140,000",114.88,16층
한진해모로,중구 신당동 845,"      67,800",59.76,3층
신당푸르지오,중구 신당동 850,"     106,700",84.39,23층
약수하이츠,중구 신당동 842,"     132,000",114.92,14층
삼성,중구 신당동 843,"      90,000",59.98,12층
청구e편한세상,중구 신당동 852,"     105,000",59.89,2층
노블레스2,중구 신당동 432-1653,"     100,000",74.1,4층
약수하이츠,중구 신당동 842,"      82,000",57.63,5층
신당푸르지오,중구 신당동 850,"     113,500",84.39,7층
약수하이츠,중구 신당동 842,"      84,000",57.63,11층
삼성,중구 신당동 843,"     105,000",84.96,11층
남산타운,중구 신당동 844,"     120,000",84.88,13층
삼성홈타운,중구 신당동 849,"     103,500",83.94,11층
남산타운,중구 신당동 844,"     135,000",114.88,5층
삼성,중구 신당동 843,"     119,500",114.91,19층
남산타운,중구 신당동 844,"      95,000",59.94,18층
유정,중구 신당동 432-1970,"      10,500",29.4,-1층
남산타운,중구 신당동 844,"      96,800",59.94,5층
남산타운,중구 신당동 844,"      98,000",59.94,17층
