아파트명,주소,가격,면적,층수
광화문스페이스본(101동~105동),종로구 사직동 9,"     138,000",95.88,9층
광화문스페이스본(101동~105동),종로구 사직동 9,"     170,000",146.92,8층
사직아파트,종로구 사직동 1-8,"      84,000",116.23,6층
롯데미도파광화문빌딩,종로구 당주동 145,"      93,000",149.95,9층
디팰리스,종로구 신문로2가 171,"     408,000",148.111,10층
운현신화타워,종로구 익선동 30-6,"      64,500",50.31,14층
현대뜨레비앙,종로구 익선동 55,"      40,000",46.64,3층
포레스트힐시티,종로구 효제동 65-2,"      17,300",15.879,5층
CS타워,종로구 충신동 62-2,"      15,400",22.17,5층
렉스빌,종로구 명륜1가 19,"      60,000",80.5,6층
아남2,종로구 명륜2가 236,"     136,000",114.36,7층
숭인한양LEEPS,종로구 숭인동 1421-2,"      12,000",12.78,11층
롯데캐슬천지인,종로구 숭인동 76,"     120,000",111.73,28층
숭인상가,종로구 숭인동 204-11,"      65,000",78.75,7층
경희궁자이(3단지),종로구 평동 233,"     280,000",116.9383,9층
경희궁자이(2단지),종로구 홍파동 199,"     188,000",84.9443,14층
경희궁자이(2단지),종로구 홍파동 199,"     270,000",116.9862,20층
경희궁자이(2단지),종로구 홍파동 199,"     182,500",84.8359,10층
마운틴뷰,종로구 구기동 125-5,"      56,000",76.66,1층
경희궁롯데캐슬,종로구 무악동 89,"     116,500",59.6737,4층
경희궁롯데캐슬,종로구 무악동 89,"     114,000",59.6737,2층
현대,종로구 무악동 82,"     125,900",114.9,3층
인왕산아이파크,종로구 무악동 60,"     130,000",84.858,15층
인왕산아이파크,종로구 무악동 60,"     158,000",114.931,10층
경희궁롯데캐슬,종로구 무악동 89,"     141,000",84.8792,8층
현대,종로구 무악동 82,"      79,900",60,3층
현대,종로구 무악동 82,"     108,900",84.92,5층
현대,종로구 무악동 82,"     142,000",114.9,17층
인왕산2차아이파크,종로구 무악동 88,"     115,500",84.2395,6층
인왕산아이파크,종로구 무악동 60,"     129,500",84.858,7층
SK리더스뷰남산,중구 회현동1가 206,"     247,000",176.26,11층
충무로엘크루메크로시티2차,중구 충무로5가 36-2,"      21,200",22.75,3층
충무로엘크루메크로시티2차,중구 충무로5가 36-2,"      21,200",22.75,8층
충무로엘크루메크로시티2차,중구 충무로5가 36-2,"      21,500",22.75,4층
충무로엘크루메크로시티2차,중구 충무로5가 36-2,"      34,000",35.57,13층
충무로엘크루메크로시티2차,중구 충무로5가 36-2,"      21,500",22.75,6층
충무로엘크루메크로시티2차,중구 충무로5가 36-2,"      21,500",22.75,6층
충무로엘크루메크로시티2차,중구 충무로5가 36-2,"      21,000",22.75,14층
충무,중구 묵정동 11-2,"      50,000",54.18,4층
충무,중구 묵정동 11-2,"      46,500",54.18,7층
오장동오팰리오,중구 오장동 139-7,"      46,000",29.48,8층
신당푸르지오,중구 신당동 850,"      97,000",59.85,19층
남산타운,중구 신당동 844,"      94,500",59.94,10층
래미안하이베르,중구 신당동 851,"      97,000",59.95,11층
현대,중구 신당동 840,"      84,000",79.11,12층
삼성,중구 신당동 843,"      86,500",59.97,7층
남산타운,중구 신당동 844,"     121,000",84.88,3층
남산타운,중구 신당동 844,"      92,500",59.94,12층
신당동파라다이스,중구 신당동 846,"      62,000",59.9,2층
남산타운,중구 신당동 844,"     116,000",84.88,16층
남산타운,중구 신당동 844,"      96,700",59.94,13층
삼성,중구 신당동 843,"      80,000",59.98,1층
남산타운,중구 신당동 844,"     148,000",114.88,11층
남산타운,중구 신당동 844,"     137,500",114.88,9층
청구e편한세상,중구 신당동 852,"     165,000",147.89,1층
남산타운,중구 신당동 844,"     127,000",84.88,7층
남산타운,중구 신당동 844,"     138,000",114.88,5층
약수하이츠,중구 신당동 842,"     120,000",84.88,13층
약수하이츠,중구 신당동 842,"      81,500",57.63,14층
청구e편한세상,중구 신당동 852,"     140,000",84.95,7층
약수하이츠,중구 신당동 842,"      80,600",84.88,18층
남산타운,중구 신당동 844,"      96,000",59.94,12층
남산타운,중구 신당동 844,"      92,800",59.94,11층
