아파트명,주소,가격,면적,층수
효자,종로구 통인동 5-1,"      29,000",61.49,3층
세종아파트,종로구 옥인동 56,"      93,500",111.31,5층
광화문스페이스본(101동~105동),종로구 사직동 9,"     134,000",94.51,4층
광화문스페이스본(101동~105동),종로구 사직동 9,"     140,000",94.51,5층
광화문스페이스본(101동~105동),종로구 사직동 9,"     170,000",151.81,3층
광화문스페이스본(101동~105동),종로구 사직동 9,"     170,000",158.99,8층
경희궁파크팰리스,종로구 내수동 95,"     183,000",146.39,10층
경희궁파크팰리스,종로구 내수동 95,"     175,000",147.62,5층
경희궁파크팰리스,종로구 내수동 95,"     175,000",147.62,5층
경희궁의아침3단지,종로구 내수동 72,"     189,000",174.55,2층
디팰리스,종로구 신문로2가 171,"     375,000",158.324,14층
대성스카이렉스,종로구 견지동 110,"     124,000",149.8,7층
운현신화타워,종로구 익선동 30-6,"      85,000",100.77,6층
현대뜨레비앙,종로구 익선동 55,"      23,000",28.1,7층
송림아마레스아파트,종로구 이화동 9-1,"      47,500",84.42,5층
창신쌍용2,종로구 창신동 703,"      64,800",64.66,2층
창신쌍용1,종로구 창신동 702,"      69,800",54.7,4층
창신쌍용2,종로구 창신동 703,"      84,000",79.87,12층
창신이수,종로구 창신동 23-816,"      84,800",84.5,5층
삼전솔하임4차,종로구 숭인동 318-2,"      13,000",15.09,14층
도시그린빌라,종로구 숭인동 181-121,"      20,000",44.4,4층
종로청계힐스테이트,종로구 숭인동 766,"      91,900",59.9426,4층
삼전솔하임4차,종로구 숭인동 318-2,"      12,200",15.09,10층
삼전솔하임2차,종로구 숭인동 296-19,"      12,000",16.67,4층
롯데캐슬천지인,종로구 숭인동 76,"     119,500",112.54,25층
경희궁자이(3단지),종로구 평동 233,"     193,000",84.614,19층
경희궁자이(2단지),종로구 홍파동 199,"     175,000",84.836,8층
경희궁자이(2단지),종로구 홍파동 199,"     180,000",84.907,18층
경희궁자이(2단지),종로구 홍파동 199,"     172,000",84.944,2층
경희궁자이(2단지),종로구 홍파동 199,"     172,000",84.944,2층
경희궁자이(4단지),종로구 교북동 126,"      88,000",37.2635,14층
롯데캐슬로잔,종로구 평창동 108,"     175,000",215.146,9층
삼성,종로구 평창동 596,"      75,300",84.93,13층
삼성,종로구 평창동 596,"      52,000",59.97,2층
일성빌라트,종로구 평창동 145-5,"      76,500",84.99,1층
벽산블루밍평창힐스,종로구 평창동 45,"     140,000",150.83,3층
일성빌라트,종로구 평창동 145-5,"      54,900",59.82,5층
삼성,종로구 평창동 596,"      75,700",84.93,5층
인왕산아이파크,종로구 무악동 60,"     165,000",114.931,16층
인왕산2차아이파크,종로구 무악동 88,"     145,000",112.8144,5층
현대,종로구 무악동 82,"     146,000",114.9,17층
인왕산2차아이파크,종로구 무악동 88,"     127,000",84.2395,3층
현대,종로구 무악동 82,"      84,970",60,13층
현대,종로구 무악동 82,"     123,460",84.92,18층
진양상가,중구 충무로4가 120-3,"      48,000",71.93,10층
남산센트럴자이,중구 충무로4가 306,"     130,000",139.936,23층
남산센트럴자이,중구 충무로4가 306,"     144,500",128.952,11층
충무로엘크루메크로시티2차,중구 충무로5가 36-2,"      33,000",35.55,13층
충무로헤센스마트,중구 충무로5가 90,"      22,400",19.76,4층
충무로헤센스마트,중구 충무로5가 90,"      25,500",21.04,7층
충무,중구 묵정동 11-2,"      54,000",67.77,8층
충무,중구 묵정동 11-2,"      52,000",67.77,2층
묵정,중구 묵정동 11-67,"      39,000",52.46,10층
장충,중구 장충동2가 193-29,"      11,100",31.24,5층
오장동오팰리오,중구 오장동 139-7,"      55,400",39.69,12층
약수하이츠,중구 신당동 842,"      83,500",57.63,14층
한진해모로,중구 신당동 845,"      87,300",59.76,7층
도현블랑빌,중구 신당동 432-2164,"      84,200",91.86,2층
래미안하이베르,중구 신당동 851,"     120,000",84.97,14층
약수하이츠,중구 신당동 842,"     123,000",84.88,10층
태원팰리스5차(432-1132),중구 신당동 432-1132,"      58,500",84.15,2층
약수하이츠,중구 신당동 842,"      86,500",57.63,3층
남산타운,중구 신당동 844,"     123,000",59.94,14층
남산타운,중구 신당동 844,"     104,000",59.94,3층
약수하이츠,중구 신당동 842,"      87,800",57.63,4층
청구e편한세상,중구 신당동 852,"     149,500",84.95,9층
신당푸르지오,중구 신당동 850,"     150,950",114.48,10층
청구e편한세상,중구 신당동 852,"     150,000",84.96,7층
신당푸르지오,중구 신당동 850,"     128,500",84.39,23층
남산타운,중구 신당동 844,"     103,500",59.94,2층
남산타운,중구 신당동 844,"     133,000",84.88,10층
약수하이츠,중구 신당동 842,"      98,500",57.63,10층
삼성,중구 신당동 843,"     100,000",84.96,17층
