아파트명,주소,가격,면적,층수
청솔(시영7),노원구 하계동 274,"      35,000",39.78,9층
극동,노원구 하계동 271-3,"      49,800",55.72,4층
장미(시영6),노원구 하계동 273,"      54,700",54.29,9층
한신1,노원구 하계동 284,"      28,500",27,9층
학여울청구,노원구 하계동 354,"      54,000",59.4,15층
상계주공11(고층),노원구 상계동 652,"      58,000",59.2,10층
동아불암,노원구 상계동 1285,"      60,000",84.86,17층
상계주공6(고층),노원구 상계동 720,"      65,500",58.01,9층
상계주공7(고층),노원구 상계동 691,"      51,000",45.55,9층
한신1차,노원구 상계동 135,"      32,000",45.44,14층
수락리버시티4단지,노원구 상계동 1313,"      53,500",59.9,4층
상계주공2(고층),노원구 상계동 740,"      43,700",41.3,2층
벽산,노원구 상계동 173-1,"      38,000",43.35,5층
포레나노원,노원구 상계동 680,"      79,900",59.9908,9층
상계주공14(고층),노원구 상계동 626,"      46,500",49.94,15층
상계주공11(고층),노원구 상계동 652,"      50,000",49.94,12층
상계주공4(고층),노원구 상계동 749-5,"      38,000",32.39,5층
상계주공11(고층),노원구 상계동 652,"      70,000",68.86,10층
상계주공14(고층),노원구 상계동 626,"      41,900",41.3,8층
상계주공3(고층),노원구 상계동 730-2,"      90,000",73.94,8층
상계주공2(고층),노원구 상계동 740,"      61,000",58.01,15층
상계주공14(고층),노원구 상계동 626,"      39,000",45.9,2층
상계주공3(고층),노원구 상계동 730-2,"      69,500",60.5,6층
보람아파트,노원구 상계동 639,"      47,000",54.59,5층
보람아파트,노원구 상계동 639,"      44,000",44.33,4층
상계주공12(고층),노원구 상계동 647,"      52,000",49.94,11층
상계주공11(고층),노원구 상계동 652,"      62,170",68.86,2층
벽산,노원구 상계동 173-1,"      38,000",43.35,14층
상계신동아,노원구 상계동 463,"      59,000",84.99,8층
상계주공7(고층),노원구 상계동 691,"      51,000",41.3,3층
상계주공10(고층),노원구 상계동 666,"      48,000",45.9,11층
상계주공7(고층),노원구 상계동 691,"      51,000",41.3,3층
상계주공1(고층),노원구 상계동 765,"      60,000",58.01,15층
포레나노원,노원구 상계동 680,"      80,000",59.9908,20층
보람아파트,노원구 상계동 639,"      59,000",68.99,4층
상계주공2(고층),노원구 상계동 740,"      38,000",32.39,13층
상계주공7(고층),노원구 상계동 691,"      54,000",45.55,8층
은빛2단지,노원구 상계동 1256,"      51,000",59.92,10층
상계주공4(고층),노원구 상계동 749-5,"      58,500",59.2,2층
상계주공11(고층),노원구 상계동 652,"      69,000",68.86,8층
상계주공9(고층),노원구 상계동 670,"      49,000",49.94,12층
동아불암,노원구 상계동 1285,"      69,000",114.24,1층
상계2차중앙하이츠,노원구 상계동 1282,"      70,300",84.6,20층
상계주공13(고층),노원구 상계동 637,"      40,000",58.01,1층
노원센트럴푸르지오,노원구 상계동 1355,"      76,000",59.996,9층
상계주공16(고층),노원구 상계동 624,"      39,000",45.77,14층
상계주공12(고층),노원구 상계동 647,"      41,000",41.3,8층
수락산벨리체,노원구 상계동 1265,"      80,000",134.94,8층
상계주공9(고층),노원구 상계동 670,"      51,500",49.94,3층
벽산,노원구 상계동 173-1,"      39,000",43.35,14층
불암현대,노원구 상계동 1293,"      46,800",59.4,17층
포레나노원,노원구 상계동 680,"     137,000",114.9123,11층
건영,노원구 상계동 1321,"      50,000",84.77,5층
