주소,평균가격,평균면적
서울특별시 강남구 개포동 1164-13,74800.0,59.67
서울특별시 강남구 개포동 1164-14,58816.666666666664,57.93
서울특별시 강남구 개포동 1164-30,66200.0,76.31
서울특별시 강남구 개포동 1164-7,68666.66666666667,76.62666666666667
서울특별시 강남구 개포동 12,136376.25,42.521125
서울특별시 강남구 개포동 12-2,240418.75,145.7425
서울특별시 강남구 개포동 1260-11,65900.0,59.7
서울특별시 강남구 개포동 1280,255333.33333333334,73.9339393939394
서울특별시 강남구 개포동 1282,230518.18181818182,67.46
서울특별시 강남구 개포동 138,260615.38461538462,72.4052423076923
서울특별시 강남구 개포동 166-4,120000.0,84.89
서울특별시 강남구 개포동 176-1,350000.0,161.07
서울특별시 강남구 개포동 177,293250.0,136.1
서울특별시 강남구 개포동 179,207750.0,79.44
서울특별시 강남구 개포동 185,235781.25,69.4125
서울특별시 강남구 개포동 187,276750.0,81.68333333333334
서울특별시 강남구 개포동 649,310133.3333333333,155.26133333333334
서울특별시 강남구 개포동 651-1,254571.5,84.9
서울특별시 강남구 개포동 652,240590.9090909091,117.35454545454546
서울특별시 강남구 개포동 653,291437.5,134.37625
서울특별시 강남구 개포동 654,260285.7142857143,109.71142857142857
서울특별시 강남구 개포동 655-1,192000.0,82.2
서울특별시 강남구 개포동 655-2,174000.0,77.75
서울특별시 강남구 개포동 658-1,207500.0,79.97
서울특별시 강남구 논현동 103,108333.33333333333,59.91
서울특별시 강남구 논현동 105,191857.14285714287,89.88428571428572
서울특별시 강남구 논현동 105-4,175750.0,84.94
서울특별시 강남구 논현동 107-44,120750.0,76.9925
서울특별시 강남구 논현동 108,115500.0,92.34
서울특별시 강남구 논현동 108-2,95000.0,75.12
서울특별시 강남구 논현동 109-9,80500.0,82.67
서울특별시 강남구 논현동 16-42,56488.88888888889,46.986111111111114
서울특별시 강남구 논현동 180-6,105000.0,110.1
서울특별시 강남구 논현동 192-3,122000.0,137.325
서울특별시 강남구 논현동 194-22,60000.0,64.23
서울특별시 강남구 논현동 194-23,146000.0,100.5175
서울특별시 강남구 논현동 195-1,145000.0,129.1841
서울특별시 강남구 논현동 196,45488.88888888889,37.40611111111111
서울특별시 강남구 논현동 205-2,130500.0,67.671
서울특별시 강남구 논현동 211-21,107666.66666666667,43.392
서울특별시 강남구 논현동 212-20,95000.0,98.81
서울특별시 강남구 논현동 214-2,115500.0,112.46000000000001
서울특별시 강남구 논현동 216-1,82000.0,84.92
서울특별시 강남구 논현동 22,132910.0,64.6065
서울특별시 강남구 논현동 221-7,20566.666666666668,16.2
서울특별시 강남구 논현동 225-6,147000.0,53.605000000000004
서울특별시 강남구 논현동 241-1,191000.0,144.20499999999998
서울특별시 강남구 논현동 245,318000.0,179.66
서울특별시 강남구 논현동 252,453000.0,240.03
서울특별시 강남구 논현동 258,180000.0,91.93433333333333
서울특별시 강남구 논현동 261-7,185000.0,194.92
서울특별시 강남구 논현동 261-8,232666.66666666666,243.9
서울특별시 강남구 논현동 271-6,127800.0,114.3
서울특별시 강남구 논현동 274,172000.0,114.27
서울특별시 강남구 논현동 275,213166.66666666666,104.66116666666666
서울특별시 강남구 논현동 276-1,250285.7142857143,92.40385714285715
서울특별시 강남구 논현동 39-10,95000.0,78.54
서울특별시 강남구 논현동 43-3,256666.66666666666,237.42999999999998
서울특별시 강남구 논현동 44-6,130000.0,109.36
서울특별시 강남구 논현동 44-8,98000.0,80.4
서울특별시 강남구 논현동 44-9,90000.0,77.7
서울특별시 강남구 논현동 55,156666.66666666666,137.76
서울특별시 강남구 논현동 58-2,36673.53846153846,36.29
서울특별시 강남구 논현동 62-3,137800.0,89.944
서울특별시 강남구 논현동 79-7,124500.0,104.64
서울특별시 강남구 대치동 1007-2,229500.0,111.54
서울특별시 강남구 대치동 1014-3,237000.0,80.60333333333334
서울특별시 강남구 대치동 1016-2,243000.0,150.03
서울특별시 강남구 대치동 1017-1,225000.0,168.04
서울특별시 강남구 대치동 1027,364187.5,95.543125
서울특별시 강남구 대치동 316,237345.7627118644,80.28627118644069
서울특별시 강남구 대치동 500,354400.0,110.54400000000001
서울특별시 강남구 대치동 503,331142.85714285716,100.09571428571428
서울특별시 강남구 대치동 506,347125.0,112.52625
서울특별시 강남구 대치동 511,327880.0,117.836
서울특별시 강남구 대치동 63,248115.38461538462,91.82076923076923
서울특별시 강남구 대치동 65,277142.85714285716,105.21571428571428
서울특별시 강남구 대치동 66,263562.5,108.39125
서울특별시 강남구 대치동 670,433100.0,151.241
서울특별시 강남구 대치동 888,304285.71428571426,97.6842857142857
서울특별시 강남구 대치동 889-74,25950.0,30.46
서울특별시 강남구 대치동 890-49,24825.0,27.61
서울특별시 강남구 대치동 891-23,28975.0,33.915000000000006
서울특별시 강남구 대치동 891-26,41816.666666666664,39.597
서울특별시 강남구 대치동 891-28,72900.0,59.97
서울특별시 강남구 대치동 891-6,50002.2,41.86
서울특별시 강남구 대치동 894,54000.0,35.61
서울특별시 강남구 대치동 902,318000.0,152.20999999999998
서울특별시 강남구 대치동 907-2,157000.0,84.99
서울특별시 강남구 대치동 929-8,164000.0,83.58
서울특별시 강남구 대치동 950,150000.0,97.85
서울특별시 강남구 대치동 974,209833.33333333334,75.17666666666666
서울특별시 강남구 대치동 985,295000.0,110.39
서울특별시 강남구 대치동 986,184000.0,145.34
서울특별시 강남구 대치동 988-4,155000.0,59.84
서울특별시 강남구 대치동 992,193666.66666666666,84.47666666666667
서울특별시 강남구 도곡동 161,184362.5,75.89750000000001
서울특별시 강남구 도곡동 164-6,330000.0,209.03
서울특별시 강남구 도곡동 184-3,225000.0,164.9
서울특별시 강남구 도곡동 190-3,157000.0,90.85
서울특별시 강남구 도곡동 192-2,270000.0,228.63
서울특별시 강남구 도곡동 193-1,365000.0,244.55000000000004
서울특별시 강남구 도곡동 194,179500.0,154.54
서울특별시 강남구 도곡동 200-1,205000.0,189.39
서울특별시 강남구 도곡동 202,559680.0,211.968
서울특별시 강남구 도곡동 462-1,482500.0,244.11
서울특별시 강남구 도곡동 462-2,412500.0,244.66
서울특별시 강남구 도곡동 463-1,208687.5,74.94
서울특별시 강남구 도곡동 464,222750.0,61.32714285714285
서울특별시 강남구 도곡동 465,300000.0,107.31333333333333
서울특별시 강남구 도곡동 467,357635.13513513515,160.78378378378378
서울특별시 강남구 도곡동 467-10,165000.0,119.72999999999999
서울특별시 강남구 도곡동 467-17,361557.6923076923,158.50269230769229
서울특별시 강남구 도곡동 467-19,42578.260869565216,33.96326086956522
서울특별시 강남구 도곡동 467-29,394490.9090909091,177.03809090909093
서울특별시 강남구 도곡동 467-6,257409.0909090909,151.64972727272726
서울특별시 강남구 도곡동 467-7,193832.14285714287,125.53821428571429
서울특별시 강남구 도곡동 514-3,72000.0,49.44
